case_id,cores,status,selected,quality_source,makespan_cycles,singlecore_cycles,singlecore_speedup,bounded_cycles,bounded_speedup,makespan_delta_vs_bounded,quality_comparison,extra_ddr_bytes,bounded_extra_ddr_bytes,solver_wall_seconds,new_E0_wall_seconds,new_E0_calls,historical_E0_wall_seconds,historical_E0_attempt_id,bounded_source_commit,bounded_attempt_id,plan_sha256
024,4,ok,fork,historical_exact_plan_bytes,1072818,2555343,2.3818979547323034,2555343,1.0,-1482525,win,39327448,0,1.9983761000003142,,0,4.525120799999058,fang-q1-stage-c-20260924-chain-atomic-grain4-024-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-024-k4-r0,553232840a8a53a3c53315174d4569d0f30fa2e0136d391b80a26eba412f466f
025,4,ok,bounded,historical_exact_plan_bytes,1221396,4863026,3.9815309694808234,1221396,3.9815309694808234,0,tie,525312,525312,4.733187700003327,,0,3.825026375008747,nikolastarx-20260924T1439Z-boundedfull4-99-P1-025-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-025-k4-r0,9325eb7b6b85a494cb2e512ee18a98accc28b4a9d20feeb58b51a2502f6ee43e
026,4,ok,bounded,historical_exact_plan_bytes,42226,99203,2.3493345332259743,42226,2.3493345332259743,0,tie,170832,170832,0.6392641999991611,,0,0.18101341699366458,nikolastarx-20260924T1439Z-boundedfull4-99-P1-026-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-026-k4-r0,8bb801eb4844e6cd848a9810b75767994636ec50f34a39803d44a2bac850e68c
027,4,ok,bounded,historical_exact_plan_bytes,559196,2363952,4.227412213249022,559196,4.227412213249022,0,tie,3317760,3317760,1.1794021999994584,,0,0.29277454101247713,nikolastarx-20260924T1439Z-boundedfull4-99-P1-027-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-027-k4-r0,6e095e0521472042da1c7bca7df09964b204ba31ebeb1c616715fb9cd0f9d5ab
028,4,ok,bounded,historical_exact_plan_bytes,13736020,43836040,3.1913203387880915,13736020,3.1913203387880915,0,tie,280672992,280672992,4.722966400000587,,0,4.6528720000060275,nikolastarx-20260924T1439Z-boundedfull4-99-P1-028-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-028-k4-r0,fb371f4cf60161d89c41206c29b28dc715ee5a958e330c62c556de1d180e0cd8
029,4,ok,bounded,historical_exact_plan_bytes,11028,37555,3.405422560754443,11028,3.405422560754443,0,tie,0,0,0.8810689999991155,,0,0.12898666600813158,nikolastarx-20260924T1439Z-boundedfull4-99-P1-029-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-029-k4-r0,ca3c0fa3b6b0ee96f9cb2400a49acb3de82161aad7d2295978434fbb660e632b
030,4,ok,fork,new_external_E0,702148,2808034,3.999205295749614,700342,4.009518206818954,1806,loss,8232960,10404864,3.134276199998567,55.86796880000111,1,,,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-030-k4-r0,1b098902f3f0d67e4d66668008848efd1af592f78a6d004c0a239f85f0ba4913
031,4,ok,bounded,historical_exact_plan_bytes,400883,1414369,3.5281341438773905,400883,3.5281341438773905,0,tie,7641600,7641600,1.0045761999972456,,0,4.026939667004626,nikolastarx-20260924T1439Z-boundedfull4-99-P1-031-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-031-k4-r0,d011c706d6d3636f0579ce4322eb9457a6f5aeead5235c3ef52ba8646b66706b
032,4,ok,bounded,historical_exact_plan_bytes,14274,41443,2.9033907804399606,14274,2.9033907804399606,0,tie,12360,12360,0.6674812999990536,,0,0.12383933298406191,nikolastarx-20260924T1439Z-boundedfull4-99-P1-032-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-032-k4-r0,e076c7d4e0e284580f855fb6d26152d0f5f510f9d67b91cdb5394ba49439e826
033,4,ok,bounded,historical_exact_plan_bytes,461829,1774196,3.8416730001797204,461829,3.8416730001797204,0,tie,7177824,7177824,0.6936015999999654,,0,1.7083582920022309,nikolastarx-20260924T1439Z-boundedfull4-99-P1-033-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-033-k4-r0,ed2ea08e661ae8ce70461d829930e637cdba8f5eb4eebd1f80f7fbee22496d5a
