case_id,stage,status,started_at,finished_at,wall_seconds,overlap_P2_5C_seconds,overlap_P2_k1_r6a_seconds,overlap_P2_k2_r7a_seconds,overlap_any_confirmed_P2_seconds,overlap_both_P2_k1_k2_seconds
063,solver,ok,2026-09-24T17:05:53.565111Z,2026-09-24T17:05:54.760827Z,1.1944226999985403,0,0,0,0,0
064,solver,ok,2026-09-24T17:05:55.146870Z,2026-09-24T17:05:55.643486Z,0.4940227999977651,0,0,0,0,0
065,solver,ok,2026-09-24T17:05:55.987680Z,2026-09-24T17:05:56.521849Z,0.5311789000006684,0,0,0,0,0
066,solver,ok,2026-09-24T17:05:56.889691Z,2026-09-24T17:05:58.897274Z,2.0050645000010263,0,0,0,0,0
067,solver,ok,2026-09-24T17:05:59.314370Z,2026-09-24T17:06:00.631511Z,1.3142236999992747,0,0,0,0,0
068,solver,ok,2026-09-24T17:06:01.046545Z,2026-09-24T17:06:02.037277Z,0.9888556000005337,0,0,0,0,0
069,solver,ok,2026-09-24T17:06:02.429829Z,2026-09-24T17:06:03.397877Z,0.9655020999998669,0,0,0,0,0
070,solver,ok,2026-09-24T17:06:03.853984Z,2026-09-24T17:06:04.456929Z,0.5994062999998278,0,0,0,0,0
071,solver,ok,2026-09-24T17:06:05.318379Z,2026-09-24T17:06:06.022282Z,0.7005834999981744,0,0,0,0,0
072,solver,ok,2026-09-24T17:06:06.382087Z,2026-09-24T17:06:12.267984Z,5.884213500001351,0,0,0,0,0
072,evaluation,timeout,2026-09-24T17:06:12.342520Z,2026-09-24T17:07:42.465828Z,90.1178273000005,0,0,0,0,0
073,solver,ok,2026-09-24T17:07:42.471837Z,2026-09-24T17:07:43.409920Z,0.9353964000001724,0,0,0,0,0
074,solver,ok,2026-09-24T17:07:43.799845Z,2026-09-24T17:07:44.715330Z,0.9138714000000618,0,0,0,0,0
075,solver,ok,2026-09-24T17:07:45.090027Z,2026-09-24T17:07:47.101720Z,2.0090205000014976,0,0,0,0,0
075,evaluation,ok,2026-09-24T17:07:47.305710Z,2026-09-24T17:07:55.255630Z,7.946240100001887,0,0,0,0,0
076,solver,ok,2026-09-24T17:07:56.211269Z,2026-09-24T17:08:06.098319Z,9.883877700001904,0,0,0,0,0
076,evaluation,timeout,2026-09-24T17:08:06.164516Z,2026-09-24T17:09:36.353438Z,90.18578809999963,7.819971,39.44335,0,47.263321000000005,0
077,solver,ok,2026-09-24T17:09:36.360813Z,2026-09-24T17:09:37.832271Z,1.46826560000045,0,1.471458,0,1.471458,0
078,solver,ok,2026-09-24T17:09:38.349847Z,2026-09-24T17:09:39.267980Z,0.9156776999989233,0,0.918133,0,0.918133,0
079,solver,ok,2026-09-24T17:09:40.086486Z,2026-09-24T17:09:45.556618Z,5.466991400000552,0,5.470132,0,5.470132,0
079,evaluation,timeout,2026-09-24T17:09:45.601375Z,2026-09-24T17:11:15.848001Z,90.23895780000021,0,90.246626,0,90.246626,0
080,solver,ok,2026-09-24T17:11:15.854000Z,2026-09-24T17:11:17.144326Z,1.2879983999991964,0,1.290326,0,1.290326,0
081,solver,ok,2026-09-24T17:11:17.621680Z,2026-09-24T17:11:18.757808Z,1.1334099000014248,0,1.136128,0,1.136128,0
082,solver,ok,2026-09-24T17:11:19.918067Z,2026-09-24T17:11:21.483009Z,1.5590272000008554,0,1.564942,0,1.564942,0
082,evaluation,ok,2026-09-24T17:11:21.509241Z,2026-09-24T17:11:24.775630Z,3.264832100001513,0,3.266389,0,3.266389,0
083,solver,ok,2026-09-24T17:11:25.129139Z,2026-09-24T17:11:25.872435Z,0.7405419999995502,0,0.743296,0,0.743296,0
