case_id,cores,fang_makespan_cycles,history_makespan_cycles,fang_baseline_speedup,history_baseline_speedup,history_algorithm,history_variant,history_solver_commit,history_record_id,history_ddr_bytes,history_extra_ddr_bytes,history_solver_wall_seconds
087,4,1253447,1253447,3.170513791169471,3.170513791169471,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,91483a9733da908ac18625d640d9b9878f4cfe1d394815446a0961e0c458d770,14135182,8216084,0.5685182920133229
088,4,244782,244782,0.9952651747268999,0.9952651747268999,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,d787fa4f6b616c94e632139d5ba93afe08e20a89a0ceb0d0246908020faa1475,1991270,161472,0.2743556250061374
089,4,178160,178160,3.8902784014369107,3.8902784014369107,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,e59d63cef87c1d6fa062cece3cefccbc12ab430536fb2313fae4971bf97736a1,1282560,716160,0.281733042007545
090,4,665339,665339,1.7710715890696322,1.7710715890696322,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,ea95c3349a47c030c6efe0d9265ed5e1b1fa6db8fdbf04285ab8ae7e132df373,23627832,21399480,0.27531845899648033
091,4,5874135,5874135,1.563935626266676,1.563935626266676,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,4013533a73eb2469e443273aa42bffad1602924ff11de8fed99e9d9853f984e0,47554680,40977024,0.555481499992311
092,4,1918830,1918830,2.5096303476597717,2.5096303476597717,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,c887661ba5de098056cebb848896ada994da30f344b57fe5ced22e5b2fce2a7c,69918400,66661472,0.279714292002609
093,4,57341,57341,1.2941002075303885,1.2941002075303885,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,a15cf53e09963308414c6ecbac2dc55347830104aa27c6cfad21f49259cab09d,776192,61440,0.278180124994833
094,4,79907,79907,1.1875305042111455,1.1875305042111455,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,2c7477e4ded81b79061d7e330fc9bae1ccc816654d9b72d9bab22b64656dd187,703400,176708,0.2786761249881238
095,4,526154,526154,3.962438753672879,3.962438753672879,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,020f1a3f26642784104bd98e7e9e5ef59a959e51891ad0504acb391e31993fbb,11428764,73728,0.28000700002303347
096,4,52364,52364,1.607860362080819,1.607860362080819,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cf6d6fe382040540a355bcd4f4f5f9e883612a69ed6a949e948dfa3727fab17e,358214,138656,0.27886991601553746
097,4,3006668,3006668,3.8220079503290685,3.8220079503290685,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,d2e5c9306a8e0dbe9083163015b2d9c7507cf16492e9209b7eeed9922e6e9c78,15630336,10584064,0.2786285000038333
098,4,134871,134871,1.3155533806377946,1.3155533806377946,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,ac58388050082e3f27025441bcb3d8b03567894890c4a7ded690d3b2dd64abf5,1091362,393368,0.27881454199086875
099,4,745736,745736,2.176372067326775,2.176372067326775,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cbfed5ec1fa6a91edd6e9e00d1099f5242267bf69352dfeb2f2cc79e52331e66,6544048,4010012,0.27750679198652506
100,4,78518,78518,1.9259660205303242,1.9259660205303242,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,7edade38dc49f751b1bb2a68646d021ea18330d528cf37556a8fc65c803d2a38,896502,441904,0.2757876249961555
001,5,47502,47502,4.9073723211654245,4.9073723211654245,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,3f6aa0a37696496afd985aa85f59ef647897e7a045624ea4f5be48d51ef7254c,1644160,4608,0.2772540829901118
002,5,108100,108100,2.423172987974098,2.423172987974098,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,89fa2488595607b8576b3c95a98624ed3a7308de79b8d9585291af0cbee03622,1755648,531456,0.27358008301234804
003,5,594167,594167,1.0135399643534562,1.0135399643534562,q2-contiguous-baseline,contiguous,0b58c123cccf02fc993b741d79dcd8511e4dd38f,0c1a1304209d736846b4c76979538a74d96288886c6e116fb7e109d2007db549,1719422,435158,0.9015410000001793
004,5,97615,97615,4.019433488705629,4.019433488705629,q2-contiguous-baseline,contiguous,0b58c123cccf02fc993b741d79dcd8511e4dd38f,09256e762c54ecc68e6706512daedc273fe61e97a1f740b509a9175918addf57,1327104,534528,0.358579999999165
005,5,95825,95825,0.9978398121575789,0.9978398121575789,q2-contiguous-baseline,contiguous,0b58c123cccf02fc993b741d79dcd8511e4dd38f,584b94602bffdcab971cabeaca3f4c3908f4f07bea74f6e2960f91b7224b1939,681242,347828,0.48020869999982096
006,5,47039,47039,1.7610280830799974,1.7610280830799974,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,12759805fb2f6842a2305945b7b55cbaf247be9534dbd38a59106ab427eb221b,835836,292488,0.27315170801011845
007,5,203834,203834,4.967581463347626,4.967581463347626,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,3b0a103ec1dd65c78fca60e2796214dd004cf94433e69bf702a43d5f5bb55465,1843200,110592,0.2724931669945363
008,5,107462,107462,4.537464406022594,4.537464406022594,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,38a1821fcc7a5fc90a53d40ad1c3575103d28680b50bc522ed3d8483d7feca6f,2765784,111360,0.27815383300185204
009,5,145820,145820,1.0510286654779866,1.0510286654779866,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,90a287632e0b1c03d6ddd538a3b51b5007cc7adfd4acb7ea3533a360250c2853,598518,103186,0.27262762500322424
010,5,50753,50753,1.7135735818572302,1.7135735818572302,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,12d877ea8ae3597f136706a12feadb3219e6769eaaeec5276aaca8087ac7b40c,703174,319024,0.2750256249855738
011,5,74868,74868,2.4669685312817227,2.4669685312817227,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,c70d73665faec8178e19e9b42f821434b3398f7da4d88d886807718dad15b6e6,1906688,1300480,0.27745925000635907
012,5,29328,29328,2.0147299509001635,2.0147299509001635,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,289a386c9862b409e70b30731d9251d2f8ebe04f6584b7a3427fe1468d28255f,662944,108046,0.27736370798083954
013,5,213223,213223,1.2379011645085192,1.2379011645085192,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,11aac9dccb379c6cad9d7377eee84c6b7c45823b25dacf0e9072aefebf97b2c2,2600960,73728,0.272876292001456
014,5,4193196,4193196,4.220796261371994,4.220796261371994,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,97a969213a2782e45724ef510de2fdc16a14ad0cd94c0f02608f144e4f06283c,78712872,68780132,0.8238947500067297
015,5,114322,114322,1.5514249225870786,1.5514249225870786,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cbbe1f0a9d1bce49500b35a6bc6ed9961b3f7e34cbad78bfcc489bb76a4735c3,1662982,778368,0.2756309579999652
016,5,7719719,7719719,0.9994564568995322,0.9994564568995322,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,8b3f47f6405e49f1fe89de582aacd3cfa8b12719b8efe8151cdc6fdf2a77dca4,1966098,1572880,0.2785005839832593
017,5,83320,83320,1.9540326452232357,1.9540326452232357,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,ac76787f10bd53e0025d3cae7d93294322040341a47fe9aec332c0403f3e37e1,1007750,363888,0.27996962500037625
018,5,418708,418708,2.3987289471421613,2.3987289471421613,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,15ed3342b95f4ead80291a31fdba001a1d36e1f0b14368d09e025919138e3665,4673160,3080312,0.2763248750125058
019,5,27832,27832,2.915492957746479,2.915492957746479,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,fbb7b0f423da2636cb660ba338207c48dc2e63f5dc2ad8148a30f5270426db1d,307624,120640,0.27905849998933263
020,5,111938,111938,4.759295324197324,4.759295324197324,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,c57cf3c980f912bf3783036272b11f2f2e32e6c3d93391663e860af31aaa3391,2494464,135168,0.27774758398300037
