case_id,cores,old_B,old_M,old_B_over_M,new_B,new_M,new_B_over_M,delta_B_over_M,old_selected_strategy,new_selected_strategy,old_extraDDR_bytes,new_extraDDR_bytes,old_spill_bytes,new_spill_bytes
074,5,1682239,369653,4.550859860463732,1682239,369653,4.550859860463732,0.0,component_envelope,component_envelope,8282112,8282112,1482752,1482752
075,5,1441809,415695,3.4684299787103527,1441809,415695,3.4684299787103527,0.0,dag_eft,dag_eft,14007830,14007830,0,0
076,5,6185113,1223373,5.05578674696924,6185113,1223373,5.05578674696924,0.0,component_envelope,component_envelope,26246144,26246144,9948160,9948160
077,5,495320,113920,4.347963483146067,495320,206264,2.4013885118101075,-1.9465749713359597,component_envelope,dominant_component_dag,172032,7182544,0,0
078,5,2296143,663941,3.458353980248245,2296143,511983,4.484803206356461,1.026449226108216,component_envelope,shared_input_wave,13620024,8593920,5026104,0
079,5,31052251,6212296,4.998514397897331,31052251,6212296,4.998514397897331,0.0,component_envelope,component_envelope,70828032,70828032,47579136,47579136
080,5,292138,110852,2.635387724172771,292138,110852,2.635387724172771,0.0,component_envelope,component_envelope,4571136,4571136,0,0
081,5,151795,40036,3.791462683584774,151795,40036,3.791462683584774,0.0,component_envelope,component_envelope,0,0,0,0
082,5,721041,237977,3.029876836837173,721041,237977,3.029876836837173,0.0,dag_eft,dag_eft,8913592,8913592,0,0
083,5,1057993,442480,2.3910527029470257,1057993,184594,5.73145931070349,3.340406607756464,component_envelope,shared_input_wave,15058048,3721600,11336448,0
084,5,2507412,254640,9.84688972667295,2507412,254640,9.84688972667295,0.0,resource_word,resource_word,0,0,0,0
085,5,3187899,1021521,3.1207376059816685,3187899,1021521,3.1207376059816685,0.0,dag_eft,dag_eft,43921144,43921144,0,0
086,5,118403,102180,1.1587688393031905,118403,102180,1.1587688393031905,0.0,dag_eft,dag_eft,4888756,4888756,0,0
087,5,3974071,898591,4.422558205012069,3974071,1665499,2.3861143116867676,-2.0364438933253015,component_envelope,dominant_component_dag,6156288,78341744,2147328,16566528
088,5,243623,200888,1.2127304766835252,243623,107753,2.2609393705975704,1.0482088939140453,component_envelope,dominant_component_dag,147456,3742846,0,0
089,5,693092,119306,5.80936415603574,693092,119306,5.80936415603574,0.0,component_envelope,component_envelope,954880,954880,0,0
090,5,1178363,542638,2.171545302761694,1178363,260978,4.5151813562829055,2.3436360535212115,component_envelope,shared_input_wave,21724704,8593920,13130784,0
091,5,9186769,1851628,4.961455000680482,9186769,1851628,4.961455000680482,0.0,component_envelope,component_envelope,46414336,46414336,20500992,20500992
092,5,4815554,1649430,2.919526139332982,4815554,791297,6.085646729356992,3.1661205900240104,component_envelope,shared_input_wave,66980256,3950976,63258656,229376
093,5,74205,15630,4.747600767754319,74205,15630,4.747600767754319,0.0,component_envelope,component_envelope,32768,32768,0,0
094,5,94892,20349,4.663226694186447,94892,20349,4.663226694186447,0.0,component_envelope,component_envelope,425088,425088,0,0
095,5,2084853,216624,9.62429370706847,2084853,216624,9.62429370706847,0.0,resource_word,resource_word,0,0,0,0
096,5,84194,27053,3.112187188112224,84194,29930,2.8130304042766454,-0.29915678383557864,component_envelope,dominant_component_dag,134784,1312488,0,0
097,5,11491509,2102348,5.466035594487687,11491509,2102348,5.466035594487687,0.0,component_envelope,component_envelope,21311488,21311488,4272128,4272128
098,5,177430,90511,1.9603142159516522,177430,118489,1.4974385807965296,-0.46287563515512264,component_envelope,dominant_component_dag,0,5707732,0,0
099,5,1622999,325402,4.987673708213226,1622999,325402,4.987673708213226,0.0,component_envelope,component_envelope,7479296,7479296,425984,425984
100,5,151223,61671,2.452092555658251,151223,76999,1.9639605709165053,-0.4881319847417456,component_envelope,dominant_component_dag,211968,3503176,0,0
