case_id,graph_sha256,route_or_strategy,status,baseline_M,LB_B,new_M,gap_B_minus_LB,fraction_gap_closed,solver_seconds,speedup_remaining_upper_gap
044,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,affine_eighth,ok,154407,14881,85406,139526,0.4945386522941961,0.3647064999968279,8.568199719901074
071,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,attention_rows_ffn,ok,18919,2507,8517,16412,0.6338045332683402,0.2800829589832574,5.325147822565058
069,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,attention_rows_ffn,ok,25144,3335,9949,21809,0.6967307075060755,0.32091108299209736,5.0121411100661355
010,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,affine_eighth,ok,86969,11100,30674,75869,0.7420026624840185,0.22876383300172165,4.999777391657812
100,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19,affine_eighth,ok,151223,20402,61639,130821,0.6847830241322111,0.27412662500864826,4.958799909963341
026,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,affine_eighth,ok,99203,14154,45673,85049,0.6294018742136885,0.2567969170049764,4.836804188646868
096,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a,affine_eighth,ok,84194,10626,27053,73568,0.7767099826011309,0.23622029199032113,4.8112082570223516
015,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,affine_eighth,ok,177362,20300,44782,157062,0.8441252499013129,0.29288024999550544,4.776479822448015
005,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,attention_rows_ffn,ok,95618,12777,31468,82841,0.7743750075445733,0.879555416002404,4.445024475992581
065,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,affine_eighth,ok,53068,5904,11270,47164,0.8862267831396828,0.2498668749758508,4.279698001505304
068,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,attention_rows_ffn,ok,362095,49821,120727,312274,0.7729365877402538,1.4711430000024848,4.268631501565817
088,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825,attention_rows_ffn,ok,243623,34722,87816,208901,0.7458413315398204,0.6608036250108853,4.242143431324957
086,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a,attention_rows_ffn,ok,118403,15837,36442,102566,0.7991049665581187,0.7635483329941053,4.227272113579765
090,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312,affine_eighth,ok,1178363,168106,397492,1010257,0.7729429244241812,0.28476741700433195,4.045147842507362
012,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,affine_eighth,ok,59088,7115,13322,51973,0.8805726050064456,0.28792883301503025,3.8693382980593247
055,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,affine_eighth,ok,118835,13810,23526,105025,0.9074886931682933,0.30752983401180245,3.5537764525457938
098,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8,affine_eighth,ok,177430,32541,90471,144889,0.6001766869810683,0.2570015829987824,3.491325138360428
046,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,affine_eighth,ok,276455,41850,88200,234605,0.8024338782208393,0.3052986249967944,3.47144381049911
006,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,affine_eighth,ok,82837,13800,31775,69037,0.7396323710474093,0.20624604102340527,3.3956945347153336
019,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,affine_eighth,ok,81144,12234,24346,68910,0.8242345087795675,0.24551366601372138,3.2997130988845744
009,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,attention_rows_ffn,ok,153261,23999,43163,129262,0.8517429716389968,1.281353875005152,2.8353916046998524
064,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280,attention_rows_ffn,ok,19116,3528,6981,15588,0.7784834488067744,0.3189861249993555,2.6800777036211993
003,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,attention_rows_ffn,ok,602212,87759,142025,514453,0.8945170890246533,3.401369832979981,2.6219279421959705
094,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec,affine_eighth,ok,94892,14189,23168,80703,0.8887401955317646,0.20326537499204278,2.591894013006729
047,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,attention_rows_ffn,ok,326508,51874,87818,274634,0.8691203565472593,3.410647999990033,2.576243757711239
