case,route,baseline,ours_makespan,fang_makespan,ours_speedup,fang_speedup,ours_over_fang,mean_delta_contribution,quality,ours_ddr,fang_ddr,ours_extra,fang_extra,ours_spill,fang_spill,ours_wall,fang_wall,fang_run_path,fang_run_sha256,fang_result_sha256
033,component_envelope,1774196,441108,468384,4.022135168711517,3.7879090660654504,0.9417657306825169,0.002342261026460668,win,9674574,10865934,6701664,7893024,1459200,1886208,0.2839810420118738,0.7987209999992047,results/a/q2-yuanzhifang/feedback-20260924/round5a/033-tensor_packet/run.json,fb5a0b9ff094fabc8bca2fe8e2a8c04259fc0c4720810d0d84fbf792da8ab503,0790150c58b4de33cbe3c126feba6929c218d02e95d609b512437965f5ab1ddc
034,component_envelope,842996,193847,219293,4.348769906163108,3.844153712156795,0.8839634644060685,0.005046161940063132,win,5370306,5360066,3089920,3079680,0,0,0.2848316250019707,0.5613687000004575,results/a/q2-yuanzhifang/feedback-20260924/round5a/034-tensor_packet/run.json,5d17b6c19fb061ab0a2c9fd5d07d3dfa93b73ba16cc3432720eb25639a5d24aa,dd1792c3fd231bec96bd3fd7777c12a84ad615a31fcbc6e91a2132acc7bfd965
035,component_envelope,169571,88511,88511,1.915818372857611,1.915818372857611,1.0,0.0,tie,410854,410854,0,0,0,0,0.28151912498287857,1.0532676000002539,results/a/q2-yuanzhifang/feedback-20260924/round4/035-tensor_packet/run.json,017e9e5bbaba9d7967df419710063f0473d3e14ff34fa3b8134fc73afbbb80a8,a7f6e79daf2a32c981042a17f16dbed436ad28c77cd1401e9daaffa0cd2f2e86
036,component_envelope,931510,233584,503212,3.987901568600589,1.8511283514701558,0.4641860686947052,0.021367732171304336,win,6558208,17781248,3456,11226496,0,11223040,0.2814469170116354,0.8981052000017371,results/a/q2-yuanzhifang/feedback-20260924/round5b/036-tensor_packet/run.json,b65a9150ef65c7eeb36a62f4da8b602f05e1538deba00e4b1cc4ee6e83c02e4a,b936a87671b57d2dc3b2c5db21d3dbd81bd7df2b1b5f66e397c8211ef831ee29
037,component_envelope,210001,57428,53852,3.656770216619071,3.8995951868082894,1.0664042189705119,-0.0024282497018921845,loss,1228800,1228800,614400,614400,0,0,0.2874942079943139,0.7385649999996531,results/a/q2-yuanzhifang/feedback-20260924/round5b/037-tensor_packet/run.json,b9bb143ffd3fe79121c1c94a2fb00225aec5559f1c8e72de6d1b327bf359e432,9f74310e00afeec7a3add1ffa9555028e96423f01412162365de8d870fe01c3f
038,component_envelope,1364555,336414,352648,4.056177804728698,3.869453392618135,0.9539654272815953,0.0018672441211056289,win,9552134,9802502,6749184,6999552,235008,345600,0.2845279170142021,0.8368827999984205,results/a/q2-yuanzhifang/feedback-20260924/round5b/038-tensor_packet/run.json,50f72697b1a4a2076f8ccb57157cbbb78b9cbba2aac4b529bad9819b2df588cc,ded8cd6c4bf8e4f1e386a97c72142263b01a6de1109a102af4018ccc2267121b
039,component_envelope,1435262,409739,400402,3.5028688994701507,3.584552524712664,1.023319064340338,-0.0008168362524251327,loss,23207936,21786624,18718720,17297408,6111232,6402048,0.2963713339995593,1.389606200000344,results/a/q2-yuanzhifang/feedback-20260924/round5b/039-tensor_packet/run.json,43c70c2c510545c7a5c887695faf9f45620096d8e96fc835ae7c1010e0dcdef4,8930856635623ff4f5538556c2080f61fc76f9818dd8bc8166d111cf2695a608
040,component_envelope,253454,103829,103829,2.441071376975604,2.441071376975604,1.0,0.0,tie,964998,923526,53760,12288,0,0,0.28087562500149943,0.6404844999997295,results/a/q2-yuanzhifang/feedback-20260924/round4/040-tensor_packet/run.json,e6351e7c7fdd8be5ad459643906e1c3674424dd12984754dac423596b94fcd7a,12154876e32c201dd2b85ca3d51f52d64d0b406cc914c5526ca998d9625ca986
041,component_envelope,6003957,1498613,1486049,4.006342531394029,4.040214690094337,1.0084546337301126,-0.00033872158700307684,loss,29836252,39270364,24886272,34320384,10567680,21046272,0.5625845000031404,2.545009100000243,results/a/q2-yuanzhifang/feedback-20260924/round5b/041-tensor_packet/run.json,ce7b366cd652d151c02cc5e9560d10c4f93d8e6779530ac2ed67d403673be88c,bc40a3b8ce5e71d157d3a2e5090a9a1fa219daf1da7ea91ab690097c16e3fa9a
042,component_envelope,1686740,500651,436031,3.3690934403406763,3.868394678360025,1.14820047198479,-0.004993012380193487,loss,9839140,8947684,7450176,6558720,2291712,1127424,0.2851894170162268,1.5334082999997918,results/a/q2-yuanzhifang/feedback-20260924/round5b/042-tensor_packet/run.json,85b53267dd4fa3dc5a568c0192f2236accad6f3c74eddfc26f4fb021eb6a8ba0,69fbe0fb42e2a977b871c34c1bbfabaa5676eb11e17398300d8807769de1ba13
