case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
020,3,component_envelope,ok,180314,0.2892768750025425,1.1526502920023631,2359296,0,0,,532746,2.9545459587164613
020,4,component_envelope,ok,146116,0.28642883300199173,0.846008124994114,2359296,0,0,,532746,3.6460483451504286
020,5,component_envelope,ok,110112,0.28416708298027515,0.8460103749821428,2359296,0,0,,532746,4.838219267654751
021,1,component_envelope,ok,6560801,0.2876337500056252,0.8460726669873111,10219520,6881280,6881280,,6567937,1.0010876720693098
021,2,component_envelope,ok,3253018,0.28937808398040943,0.8378437919891439,11264000,7925760,6389760,,6567937,2.0190287911102858
021,3,component_envelope,ok,2170286,0.28182454098714516,0.8500486669945531,13340672,10002432,5292032,,6567937,3.0263002203396234
021,4,component_envelope,ok,1605196,0.28654199998709373,0.8399924999976065,13279232,9940992,5332992,,6567937,4.091672917201389
021,5,component_envelope,ok,1272517,0.28315695899073035,0.8486360830138437,16363520,13025280,3604480,,6567937,5.161374661399416
022,1,component_envelope,ok,54123,0.28522858300129883,0.2797909590008203,213686,0,0,,56780,1.0490918833028473
022,2,component_envelope,ok,27951,0.2907640000048559,0.28596641699550673,220598,6912,0,,56780,2.0314121140567423
022,3,component_envelope,ok,19220,0.28650758299045265,0.280658833013149,227510,13824,0,,56780,2.9542143600416235
022,4,component_envelope,ok,15012,0.29638704101671465,0.2824687090178486,227510,13824,0,,56780,3.782307487343459
022,5,component_envelope,ok,12863,0.2842714170110412,0.28429470799164847,234422,20736,0,,56780,4.414211303739408
023,1,component_envelope,ok,88278,0.28273483298835345,0.28593212499981746,443444,0,0,,122614,1.3889530800425927
023,2,component_envelope,ok,45705,0.28484820798621513,0.2857536250085104,527828,84384,0,,122614,2.68272617875506
023,3,component_envelope,ok,30521,0.2895187500107568,0.28067562499199994,650708,207264,0,,122614,4.017365092886865
023,4,component_envelope,ok,24256,0.28243008299614303,0.28106300000217743,724436,280992,0,,122614,5.0549967018469655
023,5,component_envelope,ok,19530,0.2827310000138823,0.2824073329975363,714068,270624,0,,122614,6.278238607270866
024,1,component_envelope,ok,2555343,0.28323649999219924,1.1212930000037886,393218,0,0,,2555343,1.0
024,2,vector_arrival,ok,1334375,0.5663338339945767,1.1251675829989836,396242,3024,0,,2555343,1.9150111475409837
024,3,vector_arrival,ok,957207,0.560420082998462,1.125493582978379,397250,4032,0,,2555343,2.669582441415493
024,4,dag_eft,ok,751695,0.28299495799001306,1.1215739999897778,922570,529352,0,,2555343,3.3994412627461936
024,5,dag_eft,ok,746832,0.28157633400405757,1.1335278329788707,661798,268580,0,,2555343,3.421576740150395
025,1,component_envelope,ok,4703066,0.8414844170038123,8.098812249983894,8217600,0,0,,4863026,1.034011855245068
025,2,component_envelope,ok,2351860,0.8479592920048162,5.931364582997048,8245248,27648,0,,4863026,2.0677361747723078
025,3,component_envelope,ok,1568824,0.8433154170052148,5.043437416985398,8272896,55296,0,,4863026,3.099790671228895
025,4,component_envelope,ok,1177396,0.8489914590027183,4.525752582994755,8300544,82944,0,,4863026,4.130323187780492
025,5,component_envelope,ok,942938,0.839766499993857,4.506572624988621,8328192,110592,0,,4863026,5.157312569861433
026,1,component_envelope,ok,95694,0.284264791989699,0.2842021670076065,528854,0,0,,99203,1.036668965661379
026,2,component_envelope,ok,44946,0.3227132920001168,0.28202683400013484,548054,19200,0,,99203,2.2071597027544163
026,3,component_envelope,ok,42071,0.2792047080001794,0.2823847920226399,624518,95664,0,,99203,2.3579900644149174
026,4,component_envelope,ok,44173,0.28489220899064094,0.2829266659973655,699686,170832,0,,99203,2.2457836234804067
026,5,component_envelope,ok,46161,0.28593866698793136,0.28806912500294857,740534,211680,0,,99203,2.149065228222959
027,1,component_envelope,ok,2363952,0.2864856249943841,0.2889753329800442,3440640,1400832,1400832,,2363952,1.0
027,2,component_envelope,ok,1120962,0.28580491701723076,0.2785359999979846,3784704,1744896,638976,,2363952,2.10886006840553
027,3,component_envelope,ok,837049,0.28447891600080766,0.2846761669788975,5726208,3686400,0,,2363952,2.8241500796249683
027,4,component_envelope,ok,559196,0.28403883398277685,0.2826974999916274,5357568,3317760,0,,2363952,4.227412213249022
027,5,component_envelope,ok,558753,0.2823414159938693,0.28330870799254626,7569408,5529600,0,,2363952,4.230763861670542
028,1,component_envelope,ok,43836040,0.5648339999897871,9.286749791994225,283320864,277412256,277412256,,43836040,1.0
