case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
010,4,p1_v4_a0537aeb,86969,29856,2.9129488210075025,86969,29856,2.9129488210075025,2.9129488210075025,nikolastarx-20260924T1952Z-s59ee-P1-010-k4-r0,1
010,5,p1_v4_a0537aeb,86969,29434,2.9547122375484136,86969,29434,2.9547122375484136,2.9547122375484136,nikolastarx-20260924T1952Z-s59ee-P1-010-k5-r0,1
011,1,p1_v4_a0537aeb,184697,184697,1.0,184697,184697,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-011-k1-r0,1
011,2,p1_v4_a0537aeb,184697,92646,1.9935777043801135,184697,92646,1.9935777043801135,1.9935777043801135,nikolastarx-20260924T1952Z-s59ee-P1-011-k2-r0,1
011,3,p1_v4_a0537aeb,184697,69625,2.6527396768402154,184697,69625,2.6527396768402154,2.6527396768402154,nikolastarx-20260924T1952Z-s59ee-P1-011-k3-r0,1
011,4,p1_v4_a0537aeb,184697,46880,3.9397824232081913,184697,46880,3.9397824232081913,3.9397824232081913,nikolastarx-20260924T1952Z-s59ee-P1-011-k4-r0,1
011,5,p1_v4_a0537aeb,184697,46880,3.9397824232081913,184697,46880,3.9397824232081913,3.9397824232081913,nikolastarx-20260924T1952Z-s59ee-P1-011-k5-r0,1
012,1,p1_v4_a0537aeb,59088,59088,1.0,59088,59088,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-012-k1-r0,1
012,2,p1_v4_a0537aeb,59088,30094,1.9634478633614674,59088,30094,1.9634478633614674,1.9634478633614674,nikolastarx-20260924T1952Z-s59ee-P1-012-k2-r0,1
012,3,p1_v4_a0537aeb,59088,21894,2.6988215949575225,59088,21894,2.6988215949575225,2.6988215949575225,nikolastarx-20260924T1952Z-s59ee-P1-012-k3-r0,1
012,4,p1_v4_a0537aeb,59088,17253,3.424795687706486,59088,17253,3.424795687706486,3.424795687706486,nikolastarx-20260924T1952Z-s59ee-P1-012-k4-r0,1
012,5,p1_v4_a0537aeb,59088,14300,4.132027972027972,59088,14300,4.132027972027972,4.132027972027972,nikolastarx-20260924T1952Z-s59ee-P1-012-k5-r0,1
013,1,p1_v4_a0537aeb,263949,263949,1.0,263949,263949,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-013-k1-r0,1
013,2,p1_v4_a0537aeb,263949,132198,1.9966187083011846,263949,132198,1.9966187083011846,1.9966187083011846,nikolastarx-20260924T1952Z-s59ee-P1-013-k2-r0,1
013,3,p1_v4_a0537aeb,263949,88351,2.98750438591527,263949,88351,2.98750438591527,2.98750438591527,nikolastarx-20260924T1952Z-s59ee-P1-013-k3-r0,1
013,4,p1_v4_a0537aeb,263949,66982,3.9405959810098237,263949,66982,3.9405959810098237,3.9405959810098237,nikolastarx-20260924T1952Z-s59ee-P1-013-k4-r0,1
013,5,p1_v4_a0537aeb,263949,54363,4.855305998565201,263949,54363,4.855305998565201,4.855305998565201,nikolastarx-20260924T1952Z-s59ee-P1-013-k5-r0,1
014,1,p1_v4_a0537aeb,17698626,17579821,1.0067580324054495,17698626,17579821,1.0067580324054495,1.0,nikolastarx-20260924T1952Z-s59ee-P1-014-k1-r0,1
014,2,p1_v4_a0537aeb,17698626,8752017,2.02223396046877,17698626,8752017,2.02223396046877,2.02223396046877,nikolastarx-20260924T1952Z-s59ee-P1-014-k2-r0,1
014,3,p1_v4_a0537aeb,17698626,5882800,3.008537771129394,17698626,5882800,3.008537771129394,3.008537771129394,nikolastarx-20260924T1952Z-s59ee-P1-014-k3-r0,1
014,4,p1_v4_a0537aeb,17698626,4500863,3.9322738772542065,17698626,4500863,3.9322738772542065,3.9322738772542065,nikolastarx-20260924T1952Z-s59ee-P1-014-k4-r0,1
014,5,p1_v4_a0537aeb,17698626,3642307,4.859180184427068,17698626,3642307,4.859180184427068,4.859180184427068,nikolastarx-20260924T1952Z-s59ee-P1-014-k5-r0,1
015,1,p1_v4_a0537aeb,177362,177362,1.0,177362,177362,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-015-k1-r0,1
015,2,p1_v4_a0537aeb,177362,92810,1.9110225191250942,177362,92810,1.9110225191250942,1.9110225191250942,nikolastarx-20260924T1952Z-s59ee-P1-015-k2-r0,1
015,3,p1_v4_a0537aeb,177362,61224,2.896935842153404,177362,61224,2.896935842153404,2.896935842153404,nikolastarx-20260924T1952Z-s59ee-P1-015-k3-r0,1
015,4,p1_v4_a0537aeb,177362,53474,3.3167894677787335,177362,53474,3.3167894677787335,3.3167894677787335,nikolastarx-20260924T1952Z-s59ee-P1-015-k4-r0,1
015,5,p1_v4_a0537aeb,177362,43411,4.085646495127963,177362,43411,4.085646495127963,4.085646495127963,nikolastarx-20260924T1952Z-s59ee-P1-015-k5-r0,1
016,1,p1_v4_a0537aeb,7715523,7715523,1.0,7715523,7715523,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-016-k1-r0,1
016,2,p1_v4_a0537aeb,7715523,4550194,1.6956470427414743,7715523,4550194,1.6956470427414743,1.6956470427414743,nikolastarx-20260924T1952Z-s59ee-P1-016-k2-r0,1
016,3,p1_v4_a0537aeb,7715523,3712678,2.0781557140155975,7715523,3712678,2.0781557140155975,2.0781557140155975,nikolastarx-20260924T1952Z-s59ee-P1-016-k3-r0,1
016,4,p1_v4_a0537aeb,7715523,3241338,2.380351262349067,7715523,3241338,2.380351262349067,2.380351262349067,nikolastarx-20260924T1952Z-s59ee-P1-016-k4-r0,1
016,5,p1_v4_a0537aeb,7715523,3223183,2.3937589023024755,7715523,3223183,2.3937589023024755,2.3937589023024755,nikolastarx-20260924T1952Z-s59ee-P1-016-k5-r0,1
