case,cores,baseline_cycles,old_makespan_cycles,new_makespan_cycles,delta_cycles
035,1,169571,169571,169571,0
035,2,169571,95406,95406,0
035,3,169571,76666,76666,0
035,4,169571,63590,63590,0
035,5,169571,55444,55444,0
036,1,931510,931510,931510,0
036,2,931510,466068,466068,0
036,3,931510,311345,311345,0
036,4,931510,233584,233584,0
036,5,931510,187182,187182,0
037,1,210001,210001,210001,0
037,2,210001,105374,105374,0
037,3,210001,74038,73241,-797
037,4,210001,53320,53320,0
037,5,210001,43013,43013,0
038,1,1364555,1349031,1349031,0
038,2,1364555,681518,681518,0
038,3,1364555,462369,462369,0
038,4,1364555,345206,345206,0
038,5,1364555,283932,283932,0
039,1,1435262,1408153,1408153,0
039,2,1435262,708430,708430,0
039,3,1435262,478013,469999,-8014
039,4,1435262,368961,368961,0
039,5,1435262,347811,347811,0
040,1,253454,253454,253454,0
040,2,253454,143799,143799,0
040,3,253454,97215,97215,0
040,4,253454,94410,94410,0
040,5,253454,94410,94410,0
041,1,6003957,5963927,5963927,0
041,2,6003957,2973041,2973041,0
041,3,6003957,1999093,1999093,0
041,4,6003957,1493783,1493783,0
041,5,6003957,1196379,1196379,0
042,1,1686740,1673390,1673390,0
042,2,1686740,840111,840111,0
042,3,1686740,571947,571947,0
042,4,1686740,444745,444745,0
042,5,1686740,370832,370832,0
043,1,677656,677890,677890,0
043,2,677656,355922,355922,0
043,3,677656,261380,261380,0
043,4,677656,190343,190343,0
043,5,677656,178035,178035,0
044,1,154407,154407,154407,0
044,2,154407,64624,64624,0
044,3,154407,64624,64624,0
044,4,154407,64624,64624,0
044,5,154407,64624,64624,0
045,1,125614,125614,125614,0
045,2,125614,63059,63059,0
045,3,125614,42601,42601,0
045,4,125614,31878,31878,0
045,5,125614,26164,26164,0
046,1,276455,276455,276455,0
046,2,276455,133856,133856,0
046,3,276455,110311,110311,0
046,4,276455,103846,103846,0
046,5,276455,103846,103846,0
047,1,326508,326508,326508,0
047,2,326508,207016,192446,-14570
047,3,326508,158686,143184,-15502
047,4,326508,123184,123184,0
047,5,326508,126217,111229,-14988
048,1,222220,222220,222220,0
048,2,222220,147475,147475,0
048,3,222220,120628,120628,0
048,4,222220,116460,116460,0
048,5,222220,117606,117606,0
049,1,196276,196483,196483,0
049,2,196276,110741,110741,0
049,3,196276,82595,82595,0
049,4,196276,64043,64043,0
049,5,196276,57111,57111,0
050,1,149690,149860,149860,0
050,2,149690,84123,84123,0
050,3,149690,61092,61092,0
050,4,149690,48585,48585,0
050,5,149690,42597,42597,0
051,1,607628,607628,607628,0
051,2,607628,357955,357955,0
051,3,607628,291222,278618,-12604
051,4,607628,254308,244533,-9775
051,5,607628,253856,231551,-22305
052,1,180301,180301,180301,0
052,2,180301,91267,91267,0
052,3,180301,63144,63144,0
052,4,180301,47938,47938,0
052,5,180301,48793,48793,0
053,1,1472686,1476736,1476736,0
053,2,1472686,772652,772652,0
053,3,1472686,546659,546659,0
053,4,1472686,486261,486261,0
053,5,1472686,417165,417165,0
054,1,815051,815523,815523,0
054,2,815051,443792,443792,0
054,3,815051,305592,305592,0
054,4,815051,244120,244120,0
054,5,815051,211904,211904,0
055,1,118835,118835,118835,0
055,2,118835,64056,60797,-3259
055,3,118835,43674,43674,0
055,4,118835,31367,31367,0
055,5,118835,26781,26781,0
056,1,277285,277588,277588,0
056,2,277285,155158,155158,0
056,3,277285,107614,107614,0
056,4,277285,87414,87414,0
056,5,277285,77253,77253,0
057,1,59726,59726,59726,0
057,2,59726,33730,33730,0
057,3,59726,25250,25250,0
057,4,59726,19009,19009,0
057,5,59726,16538,16538,0
058,1,4539717,4365891,4365891,0
058,2,4539717,2194055,2194055,0
058,3,4539717,1538256,1538256,0
058,4,4539717,1141935,1141935,0
058,5,4539717,1004819,1004819,0
059,1,829473,829473,829473,0
059,2,829473,369318,369318,0
059,3,829473,254073,254073,0
059,4,829473,185216,185216,0
059,5,829473,150782,150782,0
060,1,888789,871518,871518,0
060,2,888789,461979,461979,0
060,3,888789,331607,331607,0
060,4,888789,231814,231814,0
060,5,888789,183430,183430,0
061,1,77191,77191,77191,0
061,2,77191,39298,39298,0
061,3,77191,28342,28342,0
061,4,77191,27170,27170,0
061,5,77191,22283,22283,0
062,1,2854809,2854809,2854809,0
062,2,2854809,1514274,1510687,-3587
062,3,2854809,1007281,1007281,0
062,4,2854809,838616,756285,-82331
062,5,2854809,589173,589173,0
063,1,1070397,1070397,1070397,0
063,2,1070397,567330,567330,0
063,3,1070397,400009,400009,0
063,4,1070397,294704,294704,0
063,5,1070397,233223,233223,0
064,1,19116,19116,19116,0
064,2,19116,17551,17551,0
064,3,19116,16262,16262,0
064,4,19116,12982,12982,0
064,5,19116,13028,13028,0
065,1,53068,53068,53068,0
065,2,53068,26928,26928,0
065,3,53068,18135,18135,0
065,4,53068,14617,14617,0
065,5,53068,12169,12169,0
066,1,359070,359505,359505,0
066,2,359070,192974,192974,0
066,3,359070,142595,142595,0
066,4,359070,110219,110219,0
066,5,359070,99777,99777,0
067,1,63834834,63950466,63950466,0
067,2,63834834,31349962,31349962,0
067,3,63834834,20677204,20677204,0
067,4,63834834,15594873,15594873,0
067,5,63834834,12908390,12908390,0
068,1,362095,362138,362138,0
068,2,362095,208664,208664,0
068,3,362095,167136,167136,0
068,4,362095,132506,132506,0
068,5,362095,131234,131234,0
069,1,25144,25144,25144,0
069,2,25144,16769,16769,0
069,3,25144,14021,14021,0
069,4,25144,13107,12665,-442
069,5,25144,14135,13351,-784
070,1,117300,117300,117300,0
070,2,117300,58498,58498,0
070,3,117300,45660,45660,0
070,4,117300,36336,36336,0
070,5,117300,26669,26669,0
071,1,18919,18919,18919,0
071,2,18919,14501,13851,-650
071,3,18919,12080,12080,0
071,4,18919,12078,11343,-735
071,5,18919,10760,10760,0
072,1,23897828,23616371,23616371,0
072,2,23897828,11768616,11768616,0
072,3,23897828,7919200,7919200,0
072,4,23897828,5897473,5897473,0
072,5,23897828,4764999,4764999,0
073,1,10081626,10133074,10133074,0
073,2,10081626,4417545,4417545,0
073,3,10081626,2994137,2994137,0
073,4,10081626,2347408,2347408,0
073,5,10081626,1974363,1974363,0
074,1,1682239,1682239,1682239,0
074,2,1682239,826889,826889,0
074,3,1682239,548347,548347,0
074,4,1682239,424418,424418,0
074,5,1682239,345470,345470,0
075,1,1441809,1441809,1441809,0
075,2,1441809,784026,784026,0
075,3,1441809,669164,590847,-78317
075,4,1441809,464500,464500,0
075,5,1441809,378832,378832,0
076,1,6185113,6084070,6084070,0
076,2,6185113,3041124,3041124,0
076,3,6185113,2028575,2028575,0
076,4,6185113,1523838,1523838,0
076,5,6185113,1231527,1231527,0
077,1,495320,495604,495604,0
077,2,495320,250735,250735,0
077,3,495320,178739,178739,0
077,4,495320,144734,144734,0
077,5,495320,121081,121081,0
078,1,2296143,2296143,2296143,0
078,2,2296143,1110808,1110808,0
078,3,2296143,847980,847980,0
078,4,2296143,643992,643992,0
078,5,2296143,599211,599211,0
079,1,31052251,29441984,29441984,0
079,2,31052251,15048600,15048600,0
079,3,31052251,9819501,9819501,0
079,4,31052251,7559556,7559556,0
079,5,31052251,6063040,6020518,-42522
080,1,292138,292138,292138,0
080,2,292138,145825,145825,0
080,3,292138,100325,100325,0
080,4,292138,91774,91774,0
080,5,292138,97383,97383,0
081,1,151795,151795,151795,0
081,2,151795,76860,76860,0
081,3,151795,51943,51943,0
081,4,151795,39588,39588,0
081,5,151795,30943,30943,0
082,1,721041,721041,721041,0
082,2,721041,380215,380215,0
082,3,721041,270269,270269,0
082,4,721041,232100,202725,-29375
082,5,721041,228535,198803,-29732
083,1,1057993,1057993,1057993,0
083,2,1057993,450094,450094,0
083,3,1057993,323229,323229,0
083,4,1057993,272906,272906,0
083,5,1057993,247686,247686,0
084,1,2507412,2509460,2509460,0
084,2,2507412,792218,792218,0
084,3,2507412,560475,559980,-495
084,4,2507412,446068,446024,-44
084,5,2507412,399121,390425,-8696
085,1,3187899,3187899,3187899,0
085,2,3187899,1639782,1639782,0
085,3,3187899,1149298,1149298,0
085,4,3187899,900325,900325,0
085,5,3187899,783703,681874,-101829
086,1,118403,118403,118403,0
086,2,118403,69001,69001,0
086,3,118403,55741,54350,-1391
086,4,118403,43378,43378,0
086,5,118403,48800,48204,-596
087,1,3974071,3948695,3948695,0
087,2,3974071,1975773,1975773,0
087,3,3974071,1378740,1378740,0
087,4,3974071,1046678,1046678,0
087,5,3974071,869315,869315,0
088,1,243623,243623,243623,0
088,2,243623,139970,139970,0
088,3,243623,112172,110325,-1847
088,4,243623,89713,89713,0
088,5,243623,91469,91469,0
089,1,693092,694660,694660,0
089,2,693092,330406,330406,0
089,3,693092,232396,232396,0
089,4,693092,178160,178160,0
089,5,693092,147432,147432,0
090,1,1178363,1178363,1178363,0
090,2,1178363,512913,512913,0
090,3,1178363,403245,403245,0
090,4,1178363,354097,354097,0
090,5,1178363,319844,319844,0
091,1,9186769,9094590,9094590,0
091,2,9186769,4540779,4540779,0
091,3,9186769,3038706,3038706,0
091,4,9186769,2293515,2293515,0
091,5,9186769,1861803,1861803,0
092,1,4815554,4912704,4912704,0
092,2,4815554,1955568,1955568,0
092,3,4815554,1343229,1343229,0
092,4,4815554,1045928,1045928,0
092,5,4815554,888151,888151,0
093,1,74205,74205,74205,0
093,2,74205,37827,37827,0
093,3,74205,25103,25103,0
093,4,74205,19779,19779,0
093,5,74205,15876,15876,0
094,1,94892,94892,94892,0
094,2,94892,53135,53135,0
094,3,94892,39889,39889,0
094,4,94892,29962,29962,0
094,5,94892,24943,24943,0
095,1,2084853,2084853,2084853,0
095,2,2084853,822952,822952,0
095,3,2084853,695775,695775,0
095,4,2084853,524422,524422,0
095,5,2084853,420852,420852,0
096,1,84194,84194,84194,0
096,2,84194,47196,47196,0
096,3,84194,33662,33606,-56
096,4,84194,26984,24330,-2654
096,5,84194,27053,24546,-2507
097,1,11491509,11215101,11215101,0
097,2,11491509,5617602,5617602,0
097,3,11491509,3660459,3651815,-8644
097,4,11491509,2626908,2626908,0
097,5,11491509,2102348,2102348,0
098,1,177430,177430,177430,0
098,2,177430,89756,89756,0
098,3,177430,76808,76808,0
098,4,177430,65648,65648,0
098,5,177430,60140,60140,0
099,1,1622999,1612248,1612248,0
099,2,1622999,811243,811243,0
099,3,1622999,544403,544403,0
099,4,1622999,405655,405655,0
099,5,1622999,337075,337075,0
100,1,151223,151223,151223,0
100,2,151223,88721,88721,0
100,3,151223,57811,57811,0
100,4,151223,58086,58086,0
100,5,151223,58085,58085,0
