case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
021,4,p1_branch_refine_834d8c9,6567937,1550324,4.236493145948847,6567937,1550324,4.236493145948847,4.236493145948847,20260925T1525Z-s6607-branch-full500-p1-021-k4,1
021,5,p1_branch_refine_834d8c9,6567937,1250168,5.253643510312214,6567937,1250168,5.253643510312214,5.253643510312214,20260925T1525Z-s6607-branch-full500-p1-021-k5,1
022,1,p1_branch_refine_834d8c9,56780,56780,1.0,56780,56780,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-022-k1,1
022,2,p1_branch_refine_834d8c9,56780,28415,1.9982403660038712,56780,28415,1.9982403660038712,1.9982403660038712,20260925T1525Z-s6607-branch-full500-p1-022-k2,1
022,3,p1_branch_refine_834d8c9,56780,19197,2.9577538157003698,56780,19197,2.9577538157003698,2.9577538157003698,20260925T1525Z-s6607-branch-full500-p1-022-k3,1
022,4,p1_branch_refine_834d8c9,56780,14654,3.874709976798144,56780,14654,3.874709976798144,3.874709976798144,20260925T1525Z-s6607-branch-full500-p1-022-k4,1
022,5,p1_branch_refine_834d8c9,56780,11828,4.800473452823808,56780,11828,4.800473452823808,4.800473452823808,20260925T1525Z-s6607-branch-full500-p1-022-k5,1
023,1,p1_branch_refine_834d8c9,122614,122614,1.0,122614,122614,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-023-k1,1
023,2,p1_branch_refine_834d8c9,122614,61829,1.983114719629947,122614,61829,1.983114719629947,1.983114719629947,20260925T1525Z-s6607-branch-full500-p1-023-k2,1
023,3,p1_branch_refine_834d8c9,122614,41488,2.955408792903972,122614,41488,2.955408792903972,2.955408792903972,20260925T1525Z-s6607-branch-full500-p1-023-k3,1
023,4,p1_branch_refine_834d8c9,122614,31518,3.890284916555619,122614,31518,3.890284916555619,3.890284916555619,20260925T1525Z-s6607-branch-full500-p1-023-k4,1
023,5,p1_branch_refine_834d8c9,122614,24940,4.91635926222935,122614,24940,4.91635926222935,4.91635926222935,20260925T1525Z-s6607-branch-full500-p1-023-k5,1
024,1,p1_branch_refine_834d8c9,2555343,2555343,1.0,2555343,2555343,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-024-k1,1
024,2,p1_branch_refine_834d8c9,2555343,1506718,1.6959663321205427,2555343,1506718,1.6959663321205427,1.6959663321205427,20260925T1525Z-s6607-branch-full500-p1-024-k2,1
024,3,p1_branch_refine_834d8c9,2555343,1173974,2.1766606415474277,2555343,1173974,2.1766606415474277,2.1766606415474277,20260925T1525Z-s6607-branch-full500-p1-024-k3,1
024,4,p1_branch_refine_834d8c9,2555343,1030318,2.4801498178232353,2555343,1030318,2.4801498178232353,2.4801498178232353,20260925T1525Z-s6607-branch-full500-p1-024-k4,1
024,5,p1_branch_refine_834d8c9,2555343,974062,2.6233884496058772,2555343,974062,2.6233884496058772,2.6233884496058772,20260925T1525Z-s6607-branch-full500-p1-024-k5,1
025,1,p1_branch_refine_834d8c9,4863026,4869182,0.998735721934403,4863026,4869182,0.998735721934403,1.0,20260925T1525Z-s6607-branch-full500-p1-025-k1,1
025,2,p1_branch_refine_834d8c9,4863026,2436772,1.9956836339222546,4863026,2436772,1.9956836339222546,1.9956836339222546,20260925T1525Z-s6607-branch-full500-p1-025-k2,1
025,3,p1_branch_refine_834d8c9,4863026,1626688,2.989525957036629,4863026,1626688,2.989525957036629,2.989525957036629,20260925T1525Z-s6607-branch-full500-p1-025-k3,1
025,4,p1_branch_refine_834d8c9,4863026,1221396,3.9815309694808234,4863026,1221396,3.9815309694808234,3.9815309694808234,20260925T1525Z-s6607-branch-full500-p1-025-k4,1
025,5,p1_branch_refine_834d8c9,4863026,975282,4.986276789687495,4863026,975282,4.986276789687495,4.986276789687495,20260925T1525Z-s6607-branch-full500-p1-025-k5,1
026,1,p1_branch_refine_834d8c9,99203,99203,1.0,99203,99203,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-026-k1,1
026,2,p1_branch_refine_834d8c9,99203,58112,1.707100082599119,99203,58112,1.707100082599119,1.707100082599119,20260925T1525Z-s6607-branch-full500-p1-026-k2,1
026,3,p1_branch_refine_834d8c9,99203,38785,2.5577671780327447,99203,38785,2.5577671780327447,2.5577671780327447,20260925T1525Z-s6607-branch-full500-p1-026-k3,1
026,4,p1_branch_refine_834d8c9,99203,39602,2.5049997474875005,99203,39602,2.5049997474875005,2.5049997474875005,20260925T1525Z-s6607-branch-full500-p1-026-k4,1
026,5,p1_branch_refine_834d8c9,99203,42014,2.3611891274337125,99203,42014,2.3611891274337125,2.3611891274337125,20260925T1525Z-s6607-branch-full500-p1-026-k5,1
027,1,p1_branch_refine_834d8c9,2363952,2363952,1.0,2363952,2363952,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-027-k1,1
027,2,p1_branch_refine_834d8c9,2363952,1120962,2.10886006840553,2363952,1120962,2.10886006840553,2.10886006840553,20260925T1525Z-s6607-branch-full500-p1-027-k2,1
027,3,p1_branch_refine_834d8c9,2363952,837049,2.8241500796249683,2363952,837049,2.8241500796249683,2.8241500796249683,20260925T1525Z-s6607-branch-full500-p1-027-k3,1
027,4,p1_branch_refine_834d8c9,2363952,559196,4.227412213249022,2363952,559196,4.227412213249022,4.227412213249022,20260925T1525Z-s6607-branch-full500-p1-027-k4,1
027,5,p1_branch_refine_834d8c9,2363952,508076,4.652752737779387,2363952,508076,4.652752737779387,4.652752737779387,20260925T1525Z-s6607-branch-full500-p1-027-k5,1
028,1,p1_branch_refine_834d8c9,43836040,43896686,0.9986184378474493,43836040,43896686,0.9986184378474493,1.0,20260925T1525Z-s6607-branch-full500-p1-028-k1,1
028,2,p1_branch_refine_834d8c9,43836040,20304493,2.1589330006910292,43836040,20304493,2.1589330006910292,2.1589330006910292,20260925T1525Z-s6607-branch-full500-p1-028-k2,1
028,3,p1_branch_refine_834d8c9,43836040,13802319,3.1759909331178333,43836040,13802319,3.1759909331178333,3.1759909331178333,20260925T1525Z-s6607-branch-full500-p1-028-k3,1
028,4,p1_branch_refine_834d8c9,43836040,10263317,4.271137683850163,43836040,10263317,4.271137683850163,4.271137683850163,20260925T1525Z-s6607-branch-full500-p1-028-k4,1
028,5,p1_branch_refine_834d8c9,43836040,8279736,5.2943765356769825,43836040,8279736,5.2943765356769825,5.2943765356769825,20260925T1525Z-s6607-branch-full500-p1-028-k5,1
029,1,p1_branch_refine_834d8c9,37555,37555,1.0,37555,37555,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-029-k1,1
029,2,p1_branch_refine_834d8c9,37555,19740,1.9024822695035462,37555,19740,1.9024822695035462,1.9024822695035462,20260925T1525Z-s6607-branch-full500-p1-029-k2,1
029,3,p1_branch_refine_834d8c9,37555,12743,2.9471082162756024,37555,12743,2.9471082162756024,2.9471082162756024,20260925T1525Z-s6607-branch-full500-p1-029-k3,1
029,4,p1_branch_refine_834d8c9,37555,11028,3.405422560754443,37555,11028,3.405422560754443,3.405422560754443,20260925T1525Z-s6607-branch-full500-p1-029-k4,1
029,5,p1_branch_refine_834d8c9,37555,9383,4.002451241607162,37555,9383,4.002451241607162,4.002451241607162,20260925T1525Z-s6607-branch-full500-p1-029-k5,1
030,1,p1_branch_refine_834d8c9,2808034,2792105,1.0057050146753077,2808034,2792105,1.0057050146753077,1.0,20260925T1525Z-s6607-branch-full500-p1-030-k1,1
030,2,p1_branch_refine_834d8c9,2808034,1398487,2.007908546879592,2808034,1398487,2.007908546879592,2.007908546879592,20260925T1525Z-s6607-branch-full500-p1-030-k2,1
030,3,p1_branch_refine_834d8c9,2808034,933857,3.0069207598165457,2808034,933857,3.0069207598165457,3.0069207598165457,20260925T1525Z-s6607-branch-full500-p1-030-k3,1
030,4,p1_branch_refine_834d8c9,2808034,700342,4.009518206818954,2808034,700342,4.009518206818954,4.009518206818954,20260925T1525Z-s6607-branch-full500-p1-030-k4,1
030,5,p1_branch_refine_834d8c9,2808034,561102,5.004498290863337,2808034,561102,5.004498290863337,5.004498290863337,20260925T1525Z-s6607-branch-full500-p1-030-k5,1
031,1,p1_branch_refine_834d8c9,1414369,1405775,1.006113353843965,1414369,1405775,1.006113353843965,1.0,20260925T1525Z-s6607-branch-full500-p1-031-k1,1
031,2,p1_branch_refine_834d8c9,1414369,737122,1.9187719264924938,1414369,737122,1.9187719264924938,1.9187719264924938,20260925T1525Z-s6607-branch-full500-p1-031-k2,1
031,3,p1_branch_refine_834d8c9,1414369,485202,2.9150106553559136,1414369,485202,2.9150106553559136,2.9150106553559136,20260925T1525Z-s6607-branch-full500-p1-031-k3,1
031,4,p1_branch_refine_834d8c9,1414369,390498,3.6219622123544806,1414369,390498,3.6219622123544806,3.6219622123544806,20260925T1525Z-s6607-branch-full500-p1-031-k4,1
031,5,p1_branch_refine_834d8c9,1414369,306213,4.618905794332703,1414369,306213,4.618905794332703,4.618905794332703,20260925T1525Z-s6607-branch-full500-p1-031-k5,1
032,1,p1_branch_refine_834d8c9,41443,41443,1.0,41443,41443,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-032-k1,1
032,2,p1_branch_refine_834d8c9,41443,21880,1.8941042047531993,41443,21880,1.8941042047531993,1.8941042047531993,20260925T1525Z-s6607-branch-full500-p1-032-k2,1
032,3,p1_branch_refine_834d8c9,41443,15402,2.690754447474354,41443,15402,2.690754447474354,2.690754447474354,20260925T1525Z-s6607-branch-full500-p1-032-k3,1
032,4,p1_branch_refine_834d8c9,41443,14274,2.9033907804399606,41443,14274,2.9033907804399606,2.9033907804399606,20260925T1525Z-s6607-branch-full500-p1-032-k4,1
032,5,p1_branch_refine_834d8c9,41443,10415,3.9791646663466156,41443,10415,3.9791646663466156,3.9791646663466156,20260925T1525Z-s6607-branch-full500-p1-032-k5,1
033,1,p1_branch_refine_834d8c9,1774196,1774196,1.0,1774196,1774196,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-033-k1,1
033,2,p1_branch_refine_834d8c9,1774196,900424,1.9704006112675807,1774196,900424,1.9704006112675807,1.9704006112675807,20260925T1525Z-s6607-branch-full500-p1-033-k2,1
