method,case,cores,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup
q2-adaptive-budget,020,2,532746.0,266828.0,1.996589563314195,1.996589563314195
q2-adaptive-budget,021,2,6560801.0,3253018.0,2.016835135864603,2.016835135864603
q2-adaptive-budget,022,2,54123.0,27951.0,1.9363529032950522,1.9363529032950522
q2-adaptive-budget,023,2,88278.0,45705.0,1.9314735805710534,1.9314735805710534
q2-adaptive-budget,024,2,2555343.0,1334375.0,1.9150111475409837,1.9150111475409837
q2-adaptive-budget,025,2,4703066.0,2351860.0,1.9997219222232616,1.9997219222232616
q2-adaptive-budget,026,2,95694.0,44946.0,2.129088239220398,2.129088239220398
q2-adaptive-budget,027,2,2363952.0,1120962.0,2.10886006840553,2.10886006840553
q2-adaptive-budget,028,2,40612073.0,20218697.0,2.0086394785974586,2.0086394785974586
q2-adaptive-budget,029,2,37555.0,20442.0,1.8371490069464826,1.8371490069464826
q2-adaptive-budget,030,2,2820990.0,1394113.0,2.0235016817144666,2.0235016817144666
q2-adaptive-budget,031,2,1421235.0,731691.0,1.942397815471285,1.942397815471285
q2-adaptive-budget,032,2,34103.0,18367.0,1.8567539609081505,1.8567539609081505
q2-adaptive-budget,033,2,1792938.0,882917.0,2.030698242303637,2.030698242303637
q2-adaptive-budget,034,2,805560.0,398818.0,2.01986871204409,2.01986871204409
q2-adaptive-budget,035,2,152994.0,88365.0,1.7313868613138685,1.7313868613138685
q2-adaptive-budget,036,2,931510.0,466068.0,1.998656848356892,1.998656848356892
q2-adaptive-budget,037,2,210533.0,105906.0,1.9879232526957868,1.9879232526957868
q2-adaptive-budget,038,2,1353582.0,669337.0,2.0222727863542582,2.0222727863542582
q2-adaptive-budget,039,2,1425374.0,710818.0,2.005258730082806,2.005258730082806
q2-adaptive-budget,040,2,244334.0,142525.0,1.7143238028416068,1.7143238028416068
q2-adaptive-budget,041,2,6000284.0,2974004.0,2.01757764952569,2.01757764952569
q2-adaptive-budget,042,2,1800662.0,925438.0,1.9457402873017966,1.9457402873017966
q2-adaptive-budget,043,2,616415.0,341549.0,1.8047630061865207,1.8047630061865207
q2-adaptive-budget,044,2,74523.0,43795.0,1.701632606461925,1.701632606461925
q2-adaptive-budget,045,2,125614.0,63245.0,1.9861491026958653,1.9861491026958653
q2-adaptive-budget,046,2,209667.0,105322.0,1.990723685459828,1.990723685459828
q2-adaptive-budget,047,2,314219.0,208546.0,1.5067131472193185,1.5067131472193185
q2-adaptive-budget,048,2,208057.0,138160.0,1.505913433700058,1.505913433700058
q2-adaptive-budget,049,2,176170.0,151811.0,1.1604560934319648,1.1604560934319648
q2-adaptive-budget,050,2,141465.0,102921.0,1.3745008307342526,1.3745008307342526
q2-adaptive-budget,051,2,607628.0,317840.0,1.9117417568587969,1.9117417568587969
q2-adaptive-budget,052,2,156852.0,79014.0,1.985116561621991,1.985116561621991
q2-adaptive-budget,053,2,1451270.0,982193.0,1.4775812900315926,1.4775812900315926
q2-adaptive-budget,054,2,796552.0,500695.0,1.590892659203707,1.590892659203707
q2-adaptive-budget,055,2,97795.0,48332.0,2.023400645535049,2.023400645535049
q2-adaptive-budget,056,2,260878.0,253173.0,1.0304337350349366,1.0304337350349366
q2-adaptive-budget,057,2,55200.0,33050.0,1.6701966717095311,1.6701966717095311
q2-adaptive-budget,058,2,4519395.0,2265259.0,1.9950897447046894,1.9950897447046894
q2-adaptive-budget,059,2,826573.0,369318.0,2.238106455683178,2.238106455683178
q2-adaptive-budget,060,2,864899.0,429368.0,2.014353654673846,2.014353654673846
q2-adaptive-budget,061,2,73918.0,38942.0,1.8981562323455394,1.8981562323455394
q2-adaptive-budget,062,2,2619177.0,1389508.0,1.8849671970222555,1.8849671970222555
q2-adaptive-budget,063,2,982413.0,520672.0,1.8868174205641939,1.8868174205641939
q2-adaptive-budget,064,2,17829.0,16621.0,1.0726791408459178,1.0726791408459178
q2-adaptive-budget,065,2,41549.0,17097.0,2.4301924314207173,2.4301924314207173
q2-adaptive-budget,066,2,346060.0,245616.0,1.4089472998501726,1.4089472998501726
q2-adaptive-budget,067,2,60623154.0,30540678.0,1.9849969931905245,1.9849969931905245
q2-adaptive-budget,068,2,341673.0,292111.0,1.1696683794858804,1.1696683794858804
q2-adaptive-budget,069,2,24009.0,18971.0,1.2655632280849718,1.2655632280849718
q2-adaptive-budget,070,2,98267.0,52465.0,1.8730010483179262,1.8730010483179262
q2-adaptive-budget,071,2,18205.0,16870.0,1.0791345583876704,1.0791345583876704
q2-adaptive-budget,072,2,23753369.0,12235759.0,1.941307359845842,1.941307359845842
q2-adaptive-budget,073,2,8210935.0,4236424.0,1.9381759238452052,1.9381759238452052
q2-adaptive-budget,074,2,1725175.0,812465.0,2.123383776531912,2.123383776531912
q2-adaptive-budget,075,2,1390602.0,788503.0,1.7635976020382929,1.7635976020382929
q2-adaptive-budget,076,2,6309740.0,3073638.0,2.052857233024839,2.052857233024839
q2-adaptive-budget,077,2,482049.0,241321.0,1.9975426920989057,1.9975426920989057
q2-adaptive-budget,078,2,2061245.0,1020602.0,2.0196364498599846,2.0196364498599846
q2-adaptive-budget,079,2,31304177.0,15593578.0,2.0075044354797855,2.0075044354797855
q2-adaptive-budget,080,2,295392.0,146585.0,2.015158440495276,2.015158440495276
q2-adaptive-budget,081,2,151795.0,77562.0,1.9570794976921688,1.9570794976921688
q2-adaptive-budget,082,2,703323.0,404131.0,1.7403341985643268,1.7403341985643268
q2-adaptive-budget,083,2,835336.0,419057.0,1.993370830221187,1.993370830221187
q2-adaptive-budget,084,2,1266708.0,634124.0,1.9975714529019561,1.9975714529019561
q2-adaptive-budget,085,2,3143505.0,2043346.0,1.5384105286133627,1.5384105286133627
q2-adaptive-budget,086,2,112029.0,89241.0,1.2553534810232965,1.2553534810232965
q2-adaptive-budget,087,2,4091707.0,2035072.0,2.010595693911567,2.010595693911567
q2-adaptive-budget,088,2,229958.0,197088.0,1.1667782919305083,1.1667782919305083
q2-adaptive-budget,089,2,589412.0,294992.0,1.9980609643651353,1.9980609643651353
q2-adaptive-budget,090,2,840883.0,453010.0,1.8562128871327344,1.8562128871327344
q2-adaptive-budget,091,2,9402402.0,4598678.0,2.0445880316038654,2.0445880316038654
q2-adaptive-budget,092,2,4180541.0,2053770.0,2.0355448760085113,2.0355448760085113
q2-adaptive-budget,093,2,74205.0,37827.0,1.9616940280751844,1.9616940280751844
q2-adaptive-budget,094,2,84458.0,39562.0,2.134826348516253,2.134826348516253
q2-adaptive-budget,095,2,1070301.0,535614.0,1.9982692760084688,1.9982692760084688
q2-adaptive-budget,096,2,75620.0,34329.0,2.202802295435346,2.202802295435346
q2-adaptive-budget,097,2,11491509.0,5617602.0,2.045625339780212,2.045625339780212
q2-adaptive-budget,098,2,163731.0,98115.0,1.6687662436936248,1.6687662436936248
q2-adaptive-budget,099,2,1599756.0,801851.0,1.9950788862269924,1.9950788862269924
q2-adaptive-budget,100,2,106726.0,64074.0,1.6656678215812966,1.6656678215812966
q2-adaptive-budget,001,3,233110.0,78545.0,2.9678528232223567,2.9678528232223567
q2-adaptive-budget,002,3,240813.0,86384.0,2.787703741433599,2.787703741433599
q2-adaptive-budget,003,3,566163.0,513160.0,1.1032874736924156,1.1032874736924156
q2-adaptive-budget,004,3,386417.0,130725.0,2.9559533371581566,2.9559533371581566
q2-adaptive-budget,005,3,90450.0,80167.0,1.1282697369241708,1.1282697369241708
q2-adaptive-budget,006,3,69275.0,32401.0,2.1380512947131263,2.1380512947131263
q2-adaptive-budget,007,3,979262.0,326994.0,2.9947399646476693,2.9947399646476693
q2-adaptive-budget,008,3,250437.0,84303.0,2.9706772000996406,2.9706772000996406
q2-adaptive-budget,009,3,139915.0,87297.0,1.6027469443394389,1.6027469443394389
q2-adaptive-budget,010,3,71470.0,29582.0,2.4159962139138664,2.4159962139138664
q2-adaptive-budget,011,3,184697.0,69625.0,2.6527396768402154,2.6527396768402154
q2-adaptive-budget,012,3,51401.0,17351.0,2.9624229151057575,2.9624229151057575
q2-adaptive-budget,013,3,263949.0,88351.0,2.98750438591527,2.98750438591527
q2-adaptive-budget,014,3,18021184.0,5955608.0,3.0259184284795104,3.0259184284795104
q2-adaptive-budget,015,3,160641.0,57529.0,2.7923482069912566,2.7923482069912566
q2-adaptive-budget,016,3,7715523.0,2888271.0,2.671329317782161,2.671329317782161
q2-adaptive-budget,017,3,130072.0,42600.0,3.0533333333333332,3.0533333333333332
q2-adaptive-budget,018,3,1020703.0,339568.0,3.0058868915798898,3.0058868915798898
q2-adaptive-budget,019,3,64148.0,25044.0,2.561411915029548,2.561411915029548
q2-adaptive-budget,020,3,532746.0,180314.0,2.9545459587164613,2.9545459587164613
q2-adaptive-budget,021,3,6560801.0,2170286.0,3.02301217443231,3.02301217443231
q2-adaptive-budget,022,3,54123.0,19220.0,2.8159729448491153,2.8159729448491153
q2-adaptive-budget,023,3,88278.0,30521.0,2.89236918842764,2.89236918842764
q2-adaptive-budget,024,3,2555343.0,957207.0,2.669582441415493,2.669582441415493
q2-adaptive-budget,025,3,4703066.0,1568824.0,2.9978289470329367,2.9978289470329367
q2-adaptive-budget,026,3,95694.0,42071.0,2.2745834422761524,2.2745834422761524
q2-adaptive-budget,027,3,2363952.0,837049.0,2.8241500796249683,2.8241500796249683
q2-adaptive-budget,028,3,40612073.0,13461846.0,3.016827929839637,3.016827929839637
q2-adaptive-budget,029,3,37555.0,14718.0,2.5516374507405897,2.5516374507405897
q2-adaptive-budget,030,3,2820990.0,931517.0,3.028382734829316,3.028382734829316
q2-adaptive-budget,031,3,1421235.0,534795.0,2.657532325470507,2.657532325470507
q2-adaptive-budget,032,3,34103.0,13907.0,2.452218307327245,2.452218307327245
q2-adaptive-budget,033,3,1792938.0,582998.0,3.0753759018041227,3.0753759018041227
q2-adaptive-budget,034,3,805560.0,262726.0,3.0661601820908473,3.0661601820908473
q2-adaptive-budget,035,3,152994.0,88438.0,1.7299577104864425,1.7299577104864425
q2-adaptive-budget,036,3,931510.0,311345.0,2.991890025534375,2.991890025534375
q2-adaptive-budget,037,3,210533.0,74570.0,2.82329354968486,2.82329354968486
q2-adaptive-budget,038,3,1353582.0,445815.0,3.0361966286464117,3.0361966286464117
q2-adaptive-budget,039,3,1425374.0,487917.0,2.9213452287991606,2.9213452287991606
q2-adaptive-budget,040,3,244334.0,103458.0,2.3616733360397455,2.3616733360397455
q2-adaptive-budget,041,3,6000284.0,1994157.0,3.008932596580911,3.008932596580911
q2-adaptive-budget,042,3,1800662.0,661704.0,2.7212499848875025,2.7212499848875025
q2-adaptive-budget,043,3,616415.0,262377.0,2.349348456610145,2.349348456610145
q2-adaptive-budget,044,3,74523.0,43795.0,1.701632606461925,1.701632606461925
q2-adaptive-budget,045,3,125614.0,42994.0,2.9216634879285484,2.9216634879285484
q2-adaptive-budget,046,3,209667.0,79308.0,2.6437055530337417,2.6437055530337417
q2-adaptive-budget,047,3,314219.0,173611.0,1.8099025983376629,1.8099025983376629
q2-adaptive-budget,048,3,208057.0,119601.0,1.7395924783237597,1.7395924783237597
q2-adaptive-budget,049,3,176170.0,151884.0,1.1598983434726502,1.1598983434726502
q2-adaptive-budget,050,3,141465.0,102989.0,1.3735932963714572,1.3735932963714572
q2-adaptive-budget,051,3,607628.0,228325.0,2.6612416511551515,2.6612416511551515
q2-adaptive-budget,052,3,156852.0,49446.0,3.172187841281398,3.172187841281398
q2-adaptive-budget,053,3,1451270.0,517838.0,2.8025560117256747,2.8025560117256747
q2-adaptive-budget,054,3,796552.0,500942.0,1.5901082360832193,1.5901082360832193
q2-adaptive-budget,055,3,97795.0,31572.0,3.0975231217534525,3.0975231217534525
q2-adaptive-budget,056,3,260878.0,253246.0,1.0301367050219945,1.0301367050219945
q2-adaptive-budget,057,3,55200.0,23815.0,2.3178668906151585,2.3178668906151585
q2-adaptive-budget,058,3,4519395.0,1509251.0,2.9944621537438105,2.9944621537438105
q2-adaptive-budget,059,3,826573.0,264422.0,3.1259615311887816,3.1259615311887816
q2-adaptive-budget,060,3,864899.0,288574.0,2.9971480452154386,2.9971480452154386
q2-adaptive-budget,061,3,73918.0,27307.0,2.7069249642948696,2.7069249642948696
q2-adaptive-budget,062,3,2619177.0,923516.0,2.8360927152317883,2.8360927152317883
q2-adaptive-budget,063,3,982413.0,367184.0,2.6755332476360625,2.6755332476360625
q2-adaptive-budget,064,3,17829.0,14782.0,1.2061290759031253,1.2061290759031253
q2-adaptive-budget,065,3,41549.0,11636.0,3.570728772774149,3.570728772774149
q2-adaptive-budget,066,3,346060.0,247573.0,1.3978099388867122,1.3978099388867122
q2-adaptive-budget,067,3,60623154.0,20263960.0,2.9916735919336594,2.9916735919336594
q2-adaptive-budget,068,3,341673.0,292959.0,1.1662826538867213,1.1662826538867213
q2-adaptive-budget,069,3,24009.0,20997.0,1.1434490641520216,1.1434490641520216
q2-adaptive-budget,070,3,98267.0,36663.0,2.680277118620953,2.680277118620953
q2-adaptive-budget,071,3,18205.0,15390.0,1.1829109811565952,1.1829109811565952
q2-adaptive-budget,072,3,23753369.0,8327225.0,2.8524951589515113,2.8524951589515113
q2-adaptive-budget,073,3,8210935.0,2854038.0,2.876953635515715,2.876953635515715
q2-adaptive-budget,074,3,1725175.0,568858.0,3.0326988457576407,3.0326988457576407
q2-adaptive-budget,075,3,1390602.0,633496.0,2.1951235682624675,2.1951235682624675
q2-adaptive-budget,076,3,6309740.0,2040164.0,3.0927611701804363,3.0927611701804363
q2-adaptive-budget,077,3,482049.0,182033.0,2.6481407217372674,2.6481407217372674
q2-adaptive-budget,078,3,2061245.0,766082.0,2.6906323343976233,2.6906323343976233
q2-adaptive-budget,079,3,31304177.0,10356963.0,3.0225247497746204,3.0225247497746204
q2-adaptive-budget,080,3,295392.0,99193.0,2.977952073230974,2.977952073230974
q2-adaptive-budget,081,3,151795.0,56714.0,2.6764996297210564,2.6764996297210564
q2-adaptive-budget,082,3,703323.0,297446.0,2.36454011820633,2.36454011820633
q2-adaptive-budget,083,3,835336.0,288419.0,2.896258568263533,2.896258568263533
q2-adaptive-budget,084,3,1266708.0,422652.0,2.9970472161494564,2.9970472161494564
q2-adaptive-budget,085,3,3143505.0,1340806.0,2.3444890610573044,2.3444890610573044
q2-adaptive-budget,086,3,112029.0,89994.0,1.2448496566437763,1.2448496566437763
q2-adaptive-budget,087,3,4091707.0,1526362.0,2.680692391451045,2.680692391451045
q2-adaptive-budget,088,3,229958.0,198944.0,1.1558931156506353,1.1558931156506353
q2-adaptive-budget,089,3,589412.0,206626.0,2.8525548575687476,2.8525548575687476
q2-adaptive-budget,090,3,840883.0,330540.0,2.5439674472075997,2.5439674472075997
q2-adaptive-budget,091,3,9402402.0,3051545.0,3.0811939525715664,3.0811939525715664
q2-adaptive-budget,092,3,4180541.0,1338578.0,3.1231209537285087,3.1231209537285087
q2-adaptive-budget,093,3,74205.0,25103.0,2.956021192686133,2.956021192686133
q2-adaptive-budget,094,3,84458.0,32353.0,2.61051525360863,2.61051525360863
q2-adaptive-budget,095,3,1070301.0,357591.0,2.9930870743391194,2.9930870743391194
