case,cores,makespan,extra_ddr,ddr_bytes,spill_bytes,solver_wall,evaluation_wall,e0_result_reused,platform,cpu,workers,timing_scope,attempt_id,revision,run_id,solver_commit,source_result_sha256
006,3,31153,30080,573428,0,0.35207800002535805,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-006-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,70216191ff74d347b0a3d5a73953c181cd5c9c06b84c3339312ecacf2b905a1a
006,4,30204,923392,1466740,0,0.345903042005375,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-006-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,711d63945891437cdcbdbb4a6dd2ba86563e5c0179c57c7287c08100cf8e2f9a
006,5,31153,30080,573428,0,0.34241425001528114,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-006-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,ee91ac761644165b579bc1f2977ed7bce40210c7c8357abc307df5f660e149cc
007,1,1012562,0,1732608,0,0.34687212499557063,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-007-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,488df4b59d9fb0d803e9967151461fb8322e04ce090ed0c9b4616e7f1418a4c4
007,2,507256,61440,1794048,0,2.342811625043396,2.0963757500285283,False,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-007-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,06e3cf7fb2046c9dd6b072155081131951c575ce2a377394e76ceedb0451b865
007,3,338094,55296,1787904,0,1.7763034580275416,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-007-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,895fbf62c3447a7f92b6ebade9a89e8d3fa7e821a8108d712588f1ab891c5f14
007,4,254398,82944,1815552,0,1.4962617920245975,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-007-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,5cf358e195d2862639141176b518c81f45b909d6c8fe2575e498cda1a9ee92e5
007,5,203834,110592,1843200,0,1.4938324579852633,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-007-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,d884b3cfc25259acf4fd2359e8a6bdfcb90a46b8c477bbaa3f773dce41a4af76
008,1,487605,0,2654424,0,0.34669754101196304,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-008-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,16db65f7e291edaacb7af8e0ea0ac7bbe73ce40d4ea49309c752325a97a8404e
008,2,194956,7962624,10617048,0,0.631372542004101,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-008-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,570181d619cf210aef28f35b70153250472187ab603d5fa32405fb1e6aa5ef50
