case,cores,status,makespan_cycles,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,solver_wall_seconds,evaluation_wall_seconds,extra_ddr_bytes,spill_bytes,base_selected,attempt_id,run_id,reused
013,5,ok,54363,263949,275461,4.855305998565201,5.067067674705222,0.07109933299943805,0.3372901249967981,32768,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-013-k5-r0,20260924T1459Z-bounded400,False
014,1,ok,17579821,17698626,19901610,1.0067580324054495,1.1320712537402968,0.8963606670149602,8.659889041999122,78349728,24469920,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-014-k1-r0,20260924T1459Z-bounded400,False
014,2,ok,8840007,17698626,12353344,2.002105428197059,1.3974359975054318,0.8816153340158053,16.112525457981974,87071160,14774880,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-014-k2-r0,20260924T1459Z-bounded400,False
014,3,ok,5963143,17698626,10175986,2.9680029474389595,1.7064802906789256,0.8917007909913082,23.33259075001115,95293608,11429880,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-014-k3-r0,20260924T1459Z-bounded400,False
014,4,ok,4517065,17698626,9393843,3.9181694308140353,2.0796342315198033,0.8368485000100918,26.232943499984685,102403992,12537744,component-pack,nikolastarx-20260924T1432Z-bounded014-P1-014-k4-r0,20260924T1432Z-bounded014,True
014,5,ok,3701658,17698626,9330264,4.781269906620222,2.5205634880369825,1.0306543330079876,36.521589417010546,103373832,14710104,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-014-k5-r0,20260924T1459Z-bounded400,False
015,1,ok,177362,177362,182209,1.0,1.027328289035983,0.07600304199149832,0.18852029199479148,180256,180256,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-015-k1-r0,20260924T1459Z-bounded400,False
015,2,ok,92810,177362,182209,1.9110225191250942,1.963247494882017,0.04138762500951998,0.2360623340064194,224536,114712,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-015-k2-r0,20260924T1459Z-bounded400,False
015,3,ok,61224,177362,182209,2.896935842153404,2.9761041421664705,0.04147912497865036,0.1857431669777725,306448,98320,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-015-k3-r0,20260924T1459Z-bounded400,False
015,4,ok,53474,177362,182209,3.3167894677787335,3.407431649025695,0.07653379198745824,0.22984733400517143,263936,32768,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-015-k4-r0,20260924T1439Z-boundedfull4-99,True
015,5,ok,43411,177362,182209,4.085646495127963,4.19730022344567,0.04135600000154227,0.1874066670134198,321536,8192,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-015-k5-r0,20260924T1459Z-bounded400,False
016,1,ok,7715523,7715523,8045701,1.0,1.042793988171638,0.3422533750126604,29.730471459013643,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-016-k1-r0,20260924T1459Z-bounded400,False
016,2,ok,7715523,7715523,8045701,1.0,1.042793988171638,0.4006025409908034,30.852262625005096,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-016-k2-r0,20260924T1459Z-bounded400,False
016,3,ok,7715523,7715523,8045701,1.0,1.042793988171638,0.40378166700247675,30.014588999998523,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-016-k3-r0,20260924T1459Z-bounded400,False
016,4,ok,7715523,7715523,8045701,1.0,1.042793988171638,0.3437127090001013,24.027952000004007,0,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-016-k4-r0,20260924T1439Z-boundedfull4-99,True
016,5,ok,7715523,7715523,8045701,1.0,1.042793988171638,0.4005312499939464,28.525124334002612,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-016-k5-r0,20260924T1459Z-bounded400,False
017,1,ok,162810,162810,161833,1.0,0.9939991401019593,0.07627112499903888,0.29302758298581466,22528,22528,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-017-k1-r0,20260924T1459Z-bounded400,False
017,2,ok,87680,162810,161833,1.8568658759124088,1.845723083941606,0.07757145899813622,0.3903901669837069,87552,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-017-k2-r0,20260924T1459Z-bounded400,False
017,3,ok,58579,162810,161833,2.7793236484064257,2.762645316581027,0.07573587499791756,0.34422233400982805,175104,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-017-k3-r0,20260924T1459Z-bounded400,False
017,4,ok,42384,162810,161833,3.841308040770102,3.8182568893922233,0.0778234580066055,0.2959057920088526,259200,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-017-k4-r0,20260924T1439Z-boundedfull4-99,True
017,5,ok,35496,162810,161833,4.586713995943205,4.5591897678611675,0.07364424999104813,0.2822001670137979,340992,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-017-k5-r0,20260924T1459Z-bounded400,False
018,1,ok,1004367,1004367,1127447,1.0,1.122544846654659,0.07599983300315216,1.1001784999971278,1970176,1970176,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-018-k1-r0,20260924T1459Z-bounded400,False
