case_id,cores,B,U,L0,L_plus,graph_sha256
035,5,169571,32994,28782,28782,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
036,1,931510,931510,931200,931352,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
036,2,931510,466068,465600,465752,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
036,3,931510,311345,310400,310788,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
036,4,931510,233584,232800,232952,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
036,5,931510,187182,186240,186392,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
037,1,210001,210001,209600,209828,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
037,2,210001,105374,104800,105028,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
037,3,210001,74038,69867,70216,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
037,4,210001,53320,52400,52628,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
037,5,210001,43013,41920,42148,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
038,1,1364555,1329688,1325000,1325041,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
038,2,1364555,666804,662500,662541,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
038,3,1364555,445306,441667,441708,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
038,4,1364555,334310,331250,331291,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
038,5,1364555,268556,265000,265041,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
039,1,1435262,1435262,1377880,1377994,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
039,2,1435262,705615,688940,689054,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
039,3,1435262,483226,459294,459466,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
039,4,1435262,368055,344470,344584,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
039,5,1435262,340476,275576,275690,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
040,1,253454,274949,185751,185751,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
040,2,253454,121100,92876,92876,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
040,3,253454,79061,61917,61917,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
040,4,253454,62640,46438,46438,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
040,5,253454,57815,37151,37151,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
041,1,6003957,5919382,5895240,5895481,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
041,2,6003957,2990555,2947620,2947861,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
041,3,6003957,2000288,1965080,1965600,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
041,4,6003957,1508203,1473810,1474200,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
041,5,6003957,1212656,1179048,1179360,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
042,1,1686740,1600513,1599076,1599150,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
