case_id,cores,graph_sha256,config_sha256,official_sha256,solver_commit,plan_sha256,B_published,U_feed_M3,CP,work_M,work_V,L0_recomputed,L_window,L_atomic,L1_proved,a,b,window_pipe,window_work,B_over_U,B_over_L0,B_over_L1,max_cycle_reduction_U_minus_L1,max_time_fraction_reduction,optimality_factor_at_most,mean_contribution_upper_L0,mean_contribution_upper_L1,scheduled_copy_bytes_feed,extra_copy_bytes_feed,spill_bytes_feed,case_byte_hit_rate_feed,solver_wall_seconds_feed,online_E0_calls_declared,same_plan_M2,CacheGain,cache_pair_numeric_status,U_evidence_scope,B_evidence_scope
005,1,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,4ead7f814b76f0ecb77bf1597e5d210058aa61267f2a2c309b5988bdcd259c7b,95618,73504,6894,63882,60930,63882,63918,31500,63918,0,36,PIPE_M,63882,1.300854375272094,1.4967909583294199,1.4959479332895271,9586,0.13041467131040485,1.149973403423136,0.001959365830573259,0.001950935580174331,333414,0,0,0.0,0.8734839159878902,1,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
005,2,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,70b5936498ced40c106fe371a351c460b81db400dda230efc998221e5a2f9157,95618,39844,6894,63882,60930,31941,32018,15750,32018,176,36,PIPE_M,63612,2.399809256098785,2.9935819166588398,2.9863826597538883,7826,0.19641602248770207,1.244425010931351,0.005937726605600546,0.005865734036551031,1043916,710502,0,0.21369063707331035,1.7381857500295155,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
005,3,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,32604643fce0c41085c8a70a7a854de819e8e903bc06735fc3bdb671e72aa373,95618,30855,6894,63882,60930,21294,21416,10500,21416,176,36,PIPE_M,63612,3.0989466861124617,4.490372874988259,4.464792678371311,9439,0.30591476259925454,1.4407452372058274,0.013914261888757978,0.013658459922588495,1362546,1029132,0,0.33517767737973647,1.7614272920181975,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
005,4,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,1ce45468ee6c58a0b0325df16cb1c8079bfd867613e2efef308596beb94b4c48,95618,28981,6894,63882,60930,15971,16115,7896,16115,176,36,PIPE_M,63612,3.2993340464442222,5.9869763947154215,5.933478125969594,12866,0.44394603360822604,1.7983865963388148,0.026876423482711992,0.026341440795253718,1784280,1450866,0,0.39892284004303485,1.772954165993724,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
005,5,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,271a969809500146111039bc4f327abe2a78f298177e99cbc9a9ecc637bb8eb6,95618,30642,6894,63882,60930,12777,12976,6300,12976,176,750,PIPE_M,60246,3.1204882187846747,7.483603349769116,7.36883477188656,17666,0.5765289471966581,2.3614364981504314,0.043631151309844414,0.04248346553101885,2136798,1803384,0,0.4589403333755121,2.878452249977272,3,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
006,1,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,a4482c2cb7df1ff33c42f646511a71f8cd1c4ece4fb1e79f6039d7cff204a1af,82837,69415,2836,18660,69000,69000,69000,38220,69000,0,0,PIPE_V,69000,1.1933587841244688,1.200536231884058,1.200536231884058,415,0.005978534898797072,1.0060144927536232,7.177447759589173e-05,7.177447759589173e-05,581274,37926,37926,0.0054526362094777245,0.36763008299749345,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
006,2,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,314a4a021d1f3b0ced8d780875abaff4f72672f5be4145f5f608d8674fcd5dfc,82837,37307,2836,18660,69000,34500,34500,19180,34500,0,0,PIPE_V,69000,2.220414399442464,2.401072463768116,2.401072463768116,2807,0.07524057147452223,1.0813623188405797,0.0018065806432565213,0.0018065806432565213,1067158,523810,0,0.2164824454535386,0.4129511250066571,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
006,3,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,6ace3bfebe7d64f4ff8369e3389aa887fd6d22e18b0cb95e91704e2fb983a536,82837,27285,2836,18660,69000,23000,23000,12740,23000,0,0,PIPE_V,69000,3.035990470954737,3.601608695652174,3.601608695652174,4285,0.1570459959684809,1.1863043478260868,0.005656182246974368,0.005656182246974368,1295944,752596,0,0.31371213234898654,0.410728833056055,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
006,4,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,cff8285b67bce02a258f64de60de294c507e6507fc75f7ecb79b21d7fc060798,82837,24049,2836,18660,69000,17250,17250,9660,17250,0,0,PIPE_V,69000,3.444509127198636,4.802144927536232,4.802144927536232,6799,0.28271445798162087,1.3941449275362319,0.01357635800337596,0.01357635800337596,1338648,795300,0,0.29410559531543584,0.44520883302902803,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
006,5,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,1edc21eea791cd6a9f4cbf406da15bf3b582f22ca5980bc9b2c2cb3fccbf1dec,82837,21118,2836,18660,69000,13800,13800,7700,13800,0,0,PIPE_V,69000,3.9225778956340562,6.00268115942029,6.00268115942029,7318,0.3465290273700161,1.5302898550724637,0.02080103263786234,0.02080103263786234,1343888,800540,0,0.37811726551164976,0.4754978750133887,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
