case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path
012,P1,4,q1_search_32_seed0,ok,15378,59088,3.8423722200546235,31.513025400000515,0.9380000000001019,"{""original_graph_copy_bytes"":554898,""scheduled_copy_bytes"":625170,""added_copy_bytes"":70272,""partition_added_copy_bytes"":70272,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/012/k4/search/e0_best/result.json.gz
012,P1,5,q1_search_32_seed0,ok,13766,59088,4.29231439779166,32.60685899999953,0.8590000000003783,"{""original_graph_copy_bytes"":554898,""scheduled_copy_bytes"":626898,""added_copy_bytes"":72000,""partition_added_copy_bytes"":72000,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/012/k5/search/e0_best/result.json.gz
013,P1,1,official_singlecore_baseline,ok,263949,263949,1.0,,,"{""original_graph_copy_bytes"": 2527232, ""scheduled_copy_bytes"": 2527232, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/013/e0/result.json.gz
013,P1,2,q1_search_32_seed0,ok,134977,263949,1.9555109389007017,43.741085399999974,1.4849999999996726,"{""original_graph_copy_bytes"":2527232,""scheduled_copy_bytes"":2650112,""added_copy_bytes"":122880,""partition_added_copy_bytes"":122880,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/013/k2/search/e0_best/result.json.gz
013,P1,3,q1_search_32_seed0,ok,90981,263949,2.901144194941801,42.53994390000025,1.4529999999995198,"{""original_graph_copy_bytes"":2527232,""scheduled_copy_bytes"":2666496,""added_copy_bytes"":139264,""partition_added_copy_bytes"":139264,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/013/k3/search/e0_best/result.json.gz
013,P1,4,q1_search_32_seed0,ok,68435,263949,3.856929933513553,44.22216149999986,1.610000000000582,"{""original_graph_copy_bytes"":2527232,""scheduled_copy_bytes"":2658304,""added_copy_bytes"":131072,""partition_added_copy_bytes"":131072,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/013/k4/search/e0_best/result.json.gz
013,P1,5,q1_search_32_seed0,ok,56789,263949,4.6478895560760005,44.58665219999966,1.639999999999418,"{""original_graph_copy_bytes"":2527232,""scheduled_copy_bytes"":2691072,""added_copy_bytes"":163840,""partition_added_copy_bytes"":163840,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/013/k5/search/e0_best/result.json.gz
014,P1,1,official_singlecore_baseline,timeout,,,,,,null,,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/014/e0/result.json.gz
014,P1,2,q1_search_32_seed0,error,,,,65.13213790000009,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
014,P1,3,q1_search_32_seed0,error,,,,65.0910430999993,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
014,P1,4,q1_search_32_seed0,error,,,,64.91309700000056,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
014,P1,5,q1_search_32_seed0,error,,,,65.22392479999962,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
