case_id,status,singlecore_cycles,bounded_cycles,overload_cycles,bounded_speedup,overload_speedup,delta_speedup,comparison,bounded_extra_ddr_bytes,overload_extra_ddr_bytes,bounded_spill_bytes,overload_spill_bytes,bounded_task_count,overload_task_count,plan_bytes_equal,selected,bounded_solver_wall_seconds,overload_solver_wall_seconds,bounded_attempt_id,overload_attempt_id,delta_common94_mean,delta_full100_known_contribution
048,ok,222220,222220,117606,1.0,1.889529445776576,0.889529445776576,win,0,725474,0,0,1,77,False,heavy-suffix-fallback,0.0750161659962032,0.28113266700529493,nikolastarx-20260924T1459Z-bounded400-P1-048-k5-r0,nikolastarx-s59ee-p1-overload-048-k5-r0,0.009463079210389106,0.00889529445776576
049,ok,196276,160260,57111,1.224734805940347,3.436745985887132,2.212011179946785,win,0,611708,0,0,5,52,False,overload-list,0.12735795800108463,0.1752207499812357,nikolastarx-20260924T1459Z-bounded400-P1-049-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-049-k5-r0,0.023532033829221116,0.02212011179946785
050,ok,149690,108160,42597,1.3839681952662721,3.514097236894617,2.130129041628345,win,13824,521036,0,0,5,54,False,overload-list,0.12895000001299195,0.18031683302251622,nikolastarx-20260924T1459Z-bounded400-P1-050-k5-r0,nikolastarx-20260924T1629Z-overload2-P1-050-k5-r0,0.02266094725136537,0.02130129041628345
051,ok,607628,607628,607628,1.0,1.0,0.0,tie,0,0,0,0,1,1,True,heavy-suffix-fallback,0.07834549999097362,0.2834609170095064,nikolastarx-20260924T1459Z-bounded400-P1-051-k5-r0,nikolastarx-s59ee-p1-overload-051-k5-r0,0.0,0.0
052,ok,180301,51654,51654,3.4905525225539162,3.4905525225539162,0.0,tie,328704,328704,0,0,5,5,True,heavy-suffix-fallback,0.07590483297826722,0.2864632499986328,nikolastarx-20260924T1459Z-bounded400-P1-052-k5-r0,nikolastarx-s59ee-p1-overload-052-k5-r0,0.0,0.0
053,ok,1472686,492699,417165,2.9890176355137723,3.5302242517948534,0.5412066162810812,win,6918912,11178746,3814656,3337824,5,64,False,overload-list,0.23945420800009742,0.4499109580065124,nikolastarx-20260924T1459Z-bounded400-P1-053-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-053-k5-r0,0.005757517194479588,0.005412066162810813
054,ok,815051,518133,211904,1.5730536368075378,3.8463219193597102,2.273268282552172,win,196608,2515734,0,0,5,84,False,overload-list,0.3947292920202017,0.6072827920143027,nikolastarx-20260924T1459Z-bounded400-P1-054-k5-r0,nikolastarx-20260924T1629Z-overload2-P1-054-k5-r0,0.024183705133533746,0.02273268282552172
055,ok,118835,26781,26781,4.437287629289422,4.437287629289422,0.0,tie,198656,198656,0,0,5,5,True,heavy-suffix-fallback,0.07391633299994282,0.29425795798306353,nikolastarx-20260924T1459Z-bounded400-P1-055-k5-r0,nikolastarx-s59ee-p1-overload-055-k5-r0,0.0,0.0
056,ok,277285,265764,77253,1.0433504914134344,3.5893104474907123,2.5459599560772777,win,0,1064220,0,0,5,74,False,overload-list,0.18685408399323933,0.38984820898622274,nikolastarx-20260924T1459Z-bounded400-P1-056-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-056-k5-r0,0.027084680383800828,0.025459599560772775
057,ok,59726,16538,16736,3.6114403192647235,3.5687141491395793,-0.04272617012514432,loss,27936,143424,0,0,5,13,False,overload-list,0.07369329102220945,0.07651062501827255,nikolastarx-20260924T1459Z-bounded400-P1-057-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-057-k5-r0,-0.0004545337247355779,-0.0004272617012514432
