group,label,case,problem,cores,assignment,method,gamma,makespan,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,wall_s,e0_cli_wall_s,graph_sha256,plan_sha256,result_sha256,trace_sha256
candidate,synthetic1_c10008_q2_k4_component_stage_tail_g0.5_h8,10008,2,4,component,stage_tail,0.5,1124,49280,49664,384,384,0,0.6603556999998546,0.6569891709998501,eb7b01364bc70b2304406256640d21f2524310a5518cc488cb9d17fb338279ea,c97b15116a689a5273757ce6ff33fda7d0440747c818b91307d3fc37650b0fa7,28fae2c9f62dd9cccd1f9a417b9ecd4dbc77b73ffb9ffcc4e38fb66b53b4e2c1,98d2f1de1c060f6853744368fb6822162ee4cf49387d09cfaa163c3056b9d8ef
candidate,synthetic1_c10008_q2_k4_component_unguarded_g1_h8,10008,2,4,component,unguarded,1,1124,49280,49664,384,384,0,0.6003843199998755,0.5973462169999948,eb7b01364bc70b2304406256640d21f2524310a5518cc488cb9d17fb338279ea,3b5ebec28879ce6026111ff484ad0c6fae36f8947b3a33da054445bcb03e06b4,52373b9441135825bffa8df7bdd191cfbf6d783d43fdf1070d05838d5cdb9059,1421bd3c0bf8e9eccdb1d4dfd3550487dc6a592590fc3d125e0942b987a84c72
candidate,synthetic1_c10009_q2_k4_component_coarse_g1_h8,10009,2,4,component,coarse,1,12172,655360,655360,0,0,0,0.6499171860000388,0.6490756159998909,74a051ab8cac1df0aa46baca79208dc7e27ea3972bf63f3570be55a864d8b68f,1abd1a125b79505ffeaa69ae833d8a69776179e7c33f35ba207e89bad6d30aab,1607463a2b1db674405854c6df7e7be3e1444686d13a5a4e4894f64ad441b427,ac2646ecdd21a2ab7cb83ff80119f215a36a35a37876514f2c2638b514484242
candidate,synthetic1_c10009_q2_k4_component_frontier_g1_h8,10009,2,4,component,frontier,1,11984,655360,655360,0,0,0,0.6233456679999563,0.6164295840001159,74a051ab8cac1df0aa46baca79208dc7e27ea3972bf63f3570be55a864d8b68f,bf52aedcc29ec58f409bffb7327be43e83133cb1641e9a3a349415a01f9981c1,119a0e3fa6593b81ffea7286a4d446dc363a52c09e249a7243f32106dfa123dc,b7ce07ca771c2fb4f35ccef75cce2f0acdabc5541ea85f6f59633b1f9c842ad5
candidate,synthetic1_c10009_q2_k4_component_id_g1_h8,10009,2,4,component,id,1,12172,655360,655360,0,0,0,0.6245429139999032,0.6230816089998825,74a051ab8cac1df0aa46baca79208dc7e27ea3972bf63f3570be55a864d8b68f,d0deb903db2ffd856915fbb2b35cde87e97e192d8b2e2bafc275d236c151dbc7,fd26628955fbd087ebe834b6a09ba865fed7d76521a07f13878a2263899eebf0,3574453e4f9a50bf02e15aa35d55f1128397a570773151928226a6c661c74831
candidate,synthetic1_c10009_q2_k4_component_stage_tail_g0.5_h8,10009,2,4,component,stage_tail,0.5,10960,655360,655360,0,0,0,0.628610473000208,0.6207181479999235,74a051ab8cac1df0aa46baca79208dc7e27ea3972bf63f3570be55a864d8b68f,33f13cab606a4ffe870c9c6d6e2c85b0e72e2bf35a3fdf55a153bbed223629a8,f27b751e29fe4171d3548fb75ff2834f06e0ad86a66fb8cc5a60842da45498c8,05ac8a3e14f315dea545052d8a9bb0e1c9ff3d6793c74ad0349fc2b7b490572a
candidate,synthetic1_c10009_q2_k4_component_unguarded_g1_h8,10009,2,4,component,unguarded,1,11984,655360,655360,0,0,0,0.7074223350000466,0.6937616549998893,74a051ab8cac1df0aa46baca79208dc7e27ea3972bf63f3570be55a864d8b68f,bf52aedcc29ec58f409bffb7327be43e83133cb1641e9a3a349415a01f9981c1,119a0e3fa6593b81ffea7286a4d446dc363a52c09e249a7243f32106dfa123dc,b7ce07ca771c2fb4f35ccef75cce2f0acdabc5541ea85f6f59633b1f9c842ad5
candidate,synthetic1_c10010_q2_k4_component_coarse_g1_h8,10010,2,4,component,coarse,1,3540,133120,139264,6144,6144,0,0.648573123999995,0.6480817019998995,24377e1739ac86efc6cae37ad4e34aac51ce453cd162097077eb7232795b5043,ca2f0b15cd39ba1939a6bea27b71f7120058ed9b1553bb8a4bcea69e17d57181,5c83a5bd2317d37ef40f551f87efbe1a465de1997ec47ca8e25fca8c5e520e9e,f91dee74649b99aca77e0561dea3aa41399b3a5cc6789d8b1a3c7c3e4da071dc
candidate,synthetic1_c10010_q2_k4_component_frontier_g1_h8,10010,2,4,component,frontier,1,3356,133120,139264,6144,6144,0,0.6124274100000093,0.6105593009999666,24377e1739ac86efc6cae37ad4e34aac51ce453cd162097077eb7232795b5043,c58281e97cd2e1459396b910e1ac18bb1022cfe3fdffb5d70f56c217d7b9fab4,abfd59062e0d736557463d1635dc3308db7410ce53a42413255ecc5a7ca3a828,b3d35af27d1441e19b55b5549885bc60eae09a7db9f4db76c3ca766b1a780178
candidate,synthetic1_c10010_q2_k4_component_id_g1_h8,10010,2,4,component,id,1,3540,133120,139264,6144,6144,0,0.6112724560000515,0.6104338800000733,24377e1739ac86efc6cae37ad4e34aac51ce453cd162097077eb7232795b5043,14be3444a574d1aed73ee12f4b58a022c7de1b29676b890784675d8befac3d2d,a50b8f5ffbf283d0d330bfee3eb04f6a49b9bf46d73c82714e1cc77ba6c9adbc,463a2c2c8ce539e8c0aef51ea74939d6b5431dfc072c7acedef718fd972581ed
