case_id,cores,full_contiguous_cycles,singlecore_cycles,speedup_B_over_M,speedup_over_k,known_reported_envelope_cycles,envelope_source,contiguous_over_known_envelope,extra_ddr_bytes,spill_bytes,eligible_ops,weak_components,max_component_ops,largest_component_fraction,homogeneous_word_guard,structure_class
060,2,688580,888789,1.290756339132708,0.645378169566354,688580,contiguous-full500,1.0,1553620,875520,5281,89,183,0.03465252793031623,False,multiple-components
012,2,45745,59088,1.29168215105476,0.64584107552738,45745,contiguous-full500,1.0,124936,0,972,50,98,0.10082304526748971,False,multiple-components
030,2,2173457,2808034,1.291966668767774,0.645983334383887,2173457,contiguous-full500,1.0,2482476,1712128,10070,486,57,0.005660377358490566,False,multiple-components
098,2,136861,177430,1.296424839800966,0.648212419900483,136861,contiguous-full500,1.0,245872,0,1365,27,389,0.28498168498168497,False,multiple-components
026,2,75205,99203,1.3191011235955057,0.6595505617977528,75205,contiguous-full500,1.0,163908,0,636,31,198,0.3113207547169811,False,multiple-components
017,2,122656,162810,1.3273708583355075,0.6636854291677537,122656,contiguous-full500,1.0,59444,6144,1373,60,162,0.11798980335032774,False,multiple-components
099,2,1216344,1622999,1.3343256512960149,0.6671628256480074,1216344,contiguous-full500,1.0,3919900,2871296,6296,202,117,0.01858322744599746,False,multiple-components
077,2,366012,495320,1.3532889632033922,0.6766444816016961,366012,contiguous-full500,1.0,172092,0,4486,41,2096,0.4672313865358894,False,multiple-components
032,2,30534,41443,1.3572738586493744,0.6786369293246872,30534,contiguous-full500,1.0,1128,0,827,25,189,0.22853688029020555,False,multiple-components
055,2,86823,118835,1.3687041452149775,0.6843520726074888,86823,contiguous-full500,1.0,221222,0,1236,24,183,0.14805825242718446,False,multiple-components
042,2,1208140,1686740,1.3961461420034103,0.6980730710017051,1208140,contiguous-full500,1.0,7343104,5677056,4733,104,258,0.054510881047961125,False,multiple-components
100,2,104992,151223,1.4403287869551966,0.7201643934775983,104992,contiguous-full500,1.0,76056,0,1394,43,275,0.19727403156384504,False,multiple-components
006,2,56475,82837,1.4667906153165118,0.7333953076582559,56475,contiguous-full500,1.0,37920,16400,678,27,136,0.20058997050147492,False,multiple-components
