case_id,cores,baseline_M,old_M,new_M,old_speedup,new_speedup,speedup_delta,old_solver_wall,new_solver_wall,old_extra_ddr,new_extra_ddr,old_spill,new_spill,old_byte_hit,new_byte_hit,selected_strategy
060,1,888789,854848,746296,1.0397041345361981,1.1909336241920097,0.1512294896558115,1.5683334170025773,2.493057415995281,3280896,8304798,3280896,8304798,0.44345098262549176,0.2045414808542475,dag_join_gap_list
060,2,888789,429487,405081,2.0694200290113556,2.1941019203566694,0.12468189134531382,1.0941429170197807,2.20499920801376,3457152,9329158,2248704,2112576,0.48959098294008363,0.1271115832742772,dag_join_gap_list
060,3,888789,288958,288958,3.075841471770984,3.075841471770984,0.0,1.1602098330040462,2.8259977079869714,3955840,3955840,1672192,1672192,0.5376785873356311,0.5376785873356311,affine_eighth
060,4,888789,221692,221692,4.009116251375783,4.009116251375783,0.0,1.2322678749915212,2.996331917005591,4322560,4322560,1383424,1383424,0.5403139994124752,0.5403139994124752,affine_eighth
060,5,888789,178553,178553,4.977732101952921,4.977732101952921,0.0,1.2258135000010952,3.3727317080192734,4344964,4344964,801796,801796,0.5732044432111749,0.5732044432111749,affine_eighth
061,1,77191,85980,73915,0.8977785531518958,1.0443211797334777,0.1465426265815819,0.3350217919796705,0.41240120798465796,0,0,0,0,0.0,0.0,dag_join_gap_list
061,2,77191,45014,37327,1.7148220553605544,2.0679668872397996,0.35314483187924517,0.3124827499850653,0.46699070901377127,34560,198712,0,0,0.043138908668570126,0.09697395659530988,dag_join_gap_list
061,3,77191,30669,25961,2.5169063223450387,2.973344632333115,0.45643830998807644,0.30388129100902006,0.5032387090031989,43008,345884,0,0,0.06781093069684725,0.16708216751672803,dag_join_gap_list
061,4,77191,24018,19735,3.213881255724873,3.9113757284013175,0.6974944726764445,0.3189522920001764,0.5633496670052409,70656,395574,0,0,0.1045336526260306,0.1974690066477099,dag_join_gap_list
061,5,77191,22473,17600,3.4348329106038356,4.385852272727273,0.9510193621234371,0.2872895000036806,0.6557466659869533,81408,422952,0,0,0.11112745505592826,0.18676652107861755,dag_join_gap_list
