case,cores,status,selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops
035,4,not_run,,,,,,,,169571,185073,,,nikolastarx-20260924T1427Z-treefull4-99-P1-035-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
036,4,not_run,,,,,,,,931510,1011715,,,nikolastarx-20260924T1427Z-treefull4-99-P1-036-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
037,4,not_run,,,,,,,,210001,240609,,,nikolastarx-20260924T1427Z-treefull4-99-P1-037-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
038,4,not_run,,,,,,,,1364555,1085379,,,nikolastarx-20260924T1427Z-treefull4-99-P1-038-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
039,4,not_run,,,,,,,,1435262,1393064,,,nikolastarx-20260924T1427Z-treefull4-99-P1-039-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
040,4,not_run,,,,,,,,253454,278611,,,nikolastarx-20260924T1427Z-treefull4-99-P1-040-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
041,4,not_run,,,,,,,,6003957,3681021,,,nikolastarx-20260924T1427Z-treefull4-99-P1-041-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
042,4,not_run,,,,,,,,1686740,1120543,,,nikolastarx-20260924T1427Z-treefull4-99-P1-042-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
043,4,not_run,,,,,,,,677656,726247,,,nikolastarx-20260924T1427Z-treefull4-99-P1-043-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
044,4,not_run,,,,,,,,154407,131407,,,nikolastarx-20260924T1427Z-treefull4-99-P1-044-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
045,4,not_run,,,,,,,,125614,204380,,,nikolastarx-20260924T1427Z-treefull4-99-P1-045-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
046,4,not_run,,,,,,,,276455,249868,,,nikolastarx-20260924T1427Z-treefull4-99-P1-046-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
047,4,not_run,,,,,,,,326508,358012,,,nikolastarx-20260924T1427Z-treefull4-99-P1-047-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
048,4,not_run,,,,,,,,222220,226990,,,nikolastarx-20260924T1427Z-treefull4-99-P1-048-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
049,4,not_run,,,,,,,,196276,215266,,,nikolastarx-20260924T1427Z-treefull4-99-P1-049-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
050,4,not_run,,,,,,,,149690,163376,,,nikolastarx-20260924T1427Z-treefull4-99-P1-050-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
051,4,not_run,,,,,,,,607628,634666,,,nikolastarx-20260924T1427Z-treefull4-99-P1-051-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
052,4,not_run,,,,,,,,180301,177263,,,nikolastarx-20260924T1427Z-treefull4-99-P1-052-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
053,4,not_run,,,,,,,,1472686,1424549,,,nikolastarx-20260924T1427Z-treefull4-99-P1-053-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
054,4,not_run,,,,,,,,815051,880054,,,nikolastarx-20260924T1427Z-treefull4-99-P1-054-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
055,4,not_run,,,,,,,,118835,110901,,,nikolastarx-20260924T1427Z-treefull4-99-P1-055-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
056,4,not_run,,,,,,,,277285,306807,,,nikolastarx-20260924T1427Z-treefull4-99-P1-056-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
057,4,not_run,,,,,,,,59726,59863,,,nikolastarx-20260924T1427Z-treefull4-99-P1-057-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
058,4,not_run,,,,,,,,4539717,4003378,,,nikolastarx-20260924T1427Z-treefull4-99-P1-058-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
059,4,not_run,,,,,,,,829473,598922,,,nikolastarx-20260924T1427Z-treefull4-99-P1-059-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
060,4,not_run,,,,,,,,888789,930345,,,nikolastarx-20260924T1427Z-treefull4-99-P1-060-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
061,4,not_run,,,,,,,,77191,90741,,,nikolastarx-20260924T1427Z-treefull4-99-P1-061-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
062,4,not_run,,,,,,,,2854809,2599121,,,nikolastarx-20260924T1427Z-treefull4-99-P1-062-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
063,4,not_run,,,,,,,,1070397,1045591,,,nikolastarx-20260924T1427Z-treefull4-99-P1-063-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
064,4,not_run,,,,,,,,19116,21512,,,nikolastarx-20260924T1427Z-treefull4-99-P1-064-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
065,4,not_run,,,,,,,,53068,50993,,,nikolastarx-20260924T1427Z-treefull4-99-P1-065-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
066,4,not_run,,,,,,,,359070,382085,,,nikolastarx-20260924T1427Z-treefull4-99-P1-066-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
067,4,not_run,,,,,,,,63834834,61673047,,,nikolastarx-20260924T1427Z-treefull4-99-P1-067-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
068,4,not_run,,,,,,,,362095,383777,,,nikolastarx-20260924T1427Z-treefull4-99-P1-068-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
069,4,not_run,,,,,,,,25144,29730,,,nikolastarx-20260924T1427Z-treefull4-99-P1-069-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
070,4,not_run,,,,,,,,117300,120549,,,nikolastarx-20260924T1427Z-treefull4-99-P1-070-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
