case_id,baseline_cycles,baseline_source_commit,result_path,result_sha256,graph_sha256,config_sha256,official_sha256
038,1364555,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/038/result.json.gz,50f873b908c2a3ad3793460157a5ecc0eaa78ea2869a526df08641958199cd3a,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
039,1435262,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/039/result.json.gz,2ced870a72f4320712e1504395f368aeb252b1a2658ee5cf6537756f29c50b13,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
040,253454,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/040/result.json.gz,b2df4357e74547401079de3ee1798601ad868b4cc7f6201785932a05e56f3836,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
041,6003957,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/041/result.json.gz,7773f09663e0b7b7c002e6bc3a3de5b62066e68be164eb63d166e1a5a78abdb1,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
042,1686740,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/042/result.json.gz,5f5a5ec562c5182f4808167006154bb253b60e186aecd424e35a46c07810639c,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
043,677656,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/043/result.json.gz,a5c02eaee725ae66596ff383f4aac6ac9abe463a51153e8e0724b753e531c6de,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
044,154407,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/044/result.json.gz,73f1d15fdea4f706b22099d2339a0e74a76c4114a68672077a98a8e15faa913c,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
045,125614,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/045/result.json.gz,d7191930aeeff0d9833c8c8dae19189ccb932ec95975cb53ceb8e4af42a5a9bf,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
046,276455,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/046/result.json.gz,d34869c92f2f414dfe9c6f1bf715e0c26f4f2438c8f8cb4840868b9199b6997f,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
047,326508,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/047/result.json.gz,570a60d5927e1e07c82e7d77157af33eee1296a339ccaa2d2bba19bd60a4b310,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
048,222220,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/048/result.json.gz,7a2592e8a0ef214f44e7ca0ceccfc779491b693a8f454ba2dbf183e6b7ac01fa,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
049,196276,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/049/result.json.gz,7042c3d480194b513f6f904d47491b43ee019e6424eb1abe00a047a7a39351e7,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
