case_id,cores,kind,makespan_cycles,reference_cycles,relative_increase
085,3,slower_than_official_singlecore,3434060,3187899,0.0772173146012467
085,4,slower_than_official_singlecore,3434060,3187899,0.0772173146012467
085,5,slower_than_official_singlecore,3434060,3187899,0.0772173146012467
086,1,slower_than_official_singlecore,150350,118403,0.26981579858618443
086,2,slower_than_official_singlecore,150350,118403,0.26981579858618443
086,3,slower_than_official_singlecore,150350,118403,0.26981579858618443
086,4,slower_than_official_singlecore,150350,118403,0.26981579858618443
086,5,slower_than_official_singlecore,150350,118403,0.26981579858618443
087,1,slower_than_official_singlecore,4468171,3974071,0.1243309442634517
088,1,slower_than_official_singlecore,254309,243623,0.043862853671451374
088,2,slower_than_official_singlecore,254309,243623,0.043862853671451374
088,3,slower_than_official_singlecore,254309,243623,0.043862853671451374
088,4,slower_than_official_singlecore,254309,243623,0.043862853671451374
088,5,slower_than_official_singlecore,254309,243623,0.043862853671451374
091,1,slower_than_official_singlecore,10219865,9186769,0.11245477055099573
091,5,slower_than_previous_core_count,5294852,5285730,0.0017257786530904262
093,1,slower_than_official_singlecore,84508,74205,0.1388450913011252
093,2,slower_than_official_singlecore,84508,74205,0.1388450913011252
093,3,slower_than_official_singlecore,84508,74205,0.1388450913011252
093,4,slower_than_official_singlecore,84508,74205,0.1388450913011252
093,5,slower_than_official_singlecore,84508,74205,0.1388450913011252
094,1,slower_than_official_singlecore,100704,94892,0.06124857733001732
094,2,slower_than_official_singlecore,100704,94892,0.06124857733001732
094,3,slower_than_official_singlecore,100704,94892,0.06124857733001732
094,4,slower_than_official_singlecore,100704,94892,0.06124857733001732
094,5,slower_than_official_singlecore,100704,94892,0.06124857733001732
097,1,slower_than_official_singlecore,11749293,11491509,0.022432563034149755
098,1,slower_than_official_singlecore,188015,177430,0.05965732965113002
098,2,slower_than_official_singlecore,188015,177430,0.05965732965113002
098,3,slower_than_official_singlecore,188015,177430,0.05965732965113002
098,4,slower_than_official_singlecore,188015,177430,0.05965732965113002
098,5,slower_than_official_singlecore,188015,177430,0.05965732965113002
099,1,slower_than_official_singlecore,1809478,1622999,0.11489779106456632
100,1,slower_than_official_singlecore,152874,151223,0.010917651415459195
100,2,slower_than_official_singlecore,152874,151223,0.010917651415459195
100,3,slower_than_official_singlecore,152874,151223,0.010917651415459195
100,4,slower_than_official_singlecore,152874,151223,0.010917651415459195
100,5,slower_than_official_singlecore,152874,151223,0.010917651415459195
