case_id,official_singlecore_cycles,k1_cycles,k1_speedup,k2_cycles,k2_speedup,k3_cycles,k3_speedup,k4_cycles,k4_speedup,k5_cycles,k5_speedup
056,277285,306807,0.9037766413412992,306807,0.9037766413412992,306807,0.9037766413412992,306807,0.9037766413412992,306807,0.9037766413412992
057,59726,59863,0.9977114411238995,59863,0.9977114411238995,59863,0.9977114411238995,59863,0.9977114411238995,59863,0.9977114411238995
058,4539717,5455810,0.8320885441391838,4076654,1.1135889874392086,3983112,1.139741237504745,4003378,1.133971610974532,4003693,1.1338823930805884
059,829473,921703,0.8999352285931586,661507,1.2539141687087212,627871,1.321088249019305,598922,1.3849432814289673,609081,1.361843498647963
060,888789,1083824,0.8200491961794535,934808,0.9507717092707807,930345,0.9553326991599891,930345,0.9553326991599891,930345,0.9553326991599891
061,77191,90741,0.8506738960337664,90741,0.8506738960337664,90741,0.8506738960337664,90741,0.8506738960337664,90741,0.8506738960337664
062,2854809,2805215,1.017679215318612,2599121,1.0983747967101185,2599121,1.0983747967101185,2599121,1.0983747967101185,2599121,1.0983747967101185
063,1070397,1045591,1.0237243817133086,1045591,1.0237243817133086,1045591,1.0237243817133086,1045591,1.0237243817133086,1045591,1.0237243817133086
064,19116,21512,0.8886203049460766,21512,0.8886203049460766,21512,0.8886203049460766,21512,0.8886203049460766,21512,0.8886203049460766
065,53068,50993,1.0406918596670132,50993,1.0406918596670132,50993,1.0406918596670132,50993,1.0406918596670132,50993,1.0406918596670132
066,359070,382085,0.9397647120405146,382085,0.9397647120405146,382085,0.9397647120405146,382085,0.9397647120405146,382085,0.9397647120405146
067,63834834,61673047,1.0350523787157784,61673047,1.0350523787157784,61673047,1.0350523787157784,61673047,1.0350523787157784,61673047,1.0350523787157784
068,362095,383777,0.9435036492546452,383777,0.9435036492546452,383777,0.9435036492546452,383777,0.9435036492546452,383777,0.9435036492546452
069,25144,29730,0.8457450386814666,29730,0.8457450386814666,29730,0.8457450386814666,29730,0.8457450386814666,29730,0.8457450386814666
070,117300,120549,0.9730483040091581,120549,0.9730483040091581,120549,0.9730483040091581,120549,0.9730483040091581,120549,0.9730483040091581
071,18919,21586,0.876447697581766,21586,0.876447697581766,21586,0.876447697581766,21586,0.876447697581766,21586,0.876447697581766
072,23897828,26073866,0.9165433311653899,16105465,1.4838334689498254,13240669,1.8048807050459459,11916637,2.0054171323671266,11311455,2.112710345397652
073,10081626,9487920,1.0625749373940758,9487920,1.0625749373940758,9487920,1.0625749373940758,9487920,1.0625749373940758,9487920,1.0625749373940758
074,1682239,1861293,0.903801282226925,1340446,1.2549845349980528,1272452,1.3220451537661146,1274993,1.319410381076602,1285102,1.309031501001477
