batch,problem,case_id,cores,status,makespan_cycles,singlecore_cycles,speedup,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,cache_speedup,algorithm_id,source,case_no
A-farmer-q1-v3,P1,016,4,ok,8142981.0,,,106.43,,170495382.0,170102164.0,,,,q1-propose-e0,703fed17 (feed 638c565a),16
A-farmer-q1-v3,P1,016,5,ok,8155581.0,,,114.14,,170495382.0,170102164.0,,,,q1-propose-e0,703fed17 (feed 638c565a),16
A-farmer-q1-v3,P1,016,1,timeout,,,,,,,,,,,official-singlecore,703fed17 (feed 638c565a),16
A-farmer-q1-v3,P1,017,2,ok,81653.0,,1.9939255140656191,26.18,,738326.0,94464.0,,,,q1-propose-e0,703fed17 (feed 638c565a),17
A-farmer-q1-v3,P1,017,3,ok,56859.0,,2.8633989342056667,28.82,,818966.0,175104.0,,,,q1-propose-e0,703fed17 (feed 638c565a),17
A-farmer-q1-v3,P1,017,4,ok,42461.0,,3.834342102164339,28.23,,915768.0,271906.0,,,,q1-propose-e0,703fed17 (feed 638c565a),17
A-farmer-q1-v3,P1,017,5,ok,36330.0,,4.481420313790256,28.65,,1000102.0,356240.0,,,,q1-propose-e0,703fed17 (feed 638c565a),17
A-farmer-q1-v3,P1,017,1,ok,162810.0,,1.0,,0.571,,,,,,official-singlecore,703fed17 (feed 638c565a),17
A-farmer-q1-v3,P1,018,2,ok,503714.0,,1.993923138924072,56.06,,9187088.0,7594240.0,,,,q1-propose-e0,703fed17 (feed 638c565a),18
A-farmer-q1-v3,P1,018,3,ok,338035.0,,2.9711923321549545,59.8,,9970192.0,8377344.0,,,,q1-propose-e0,703fed17 (feed 638c565a),18
A-farmer-q1-v3,P1,018,4,ok,254745.0,,3.94263675440146,60.14,,10093596.0,8500748.0,,,,q1-propose-e0,703fed17 (feed 638c565a),18
A-farmer-q1-v3,P1,018,5,ok,203840.0,,4.927232142857143,61.09,,10380564.0,8787716.0,,,,q1-propose-e0,703fed17 (feed 638c565a),18
A-farmer-q1-v3,P1,018,1,ok,1004367.0,,1.0,,1.473,,,,,,official-singlecore,703fed17 (feed 638c565a),18
A-farmer-q1-v3,P1,019,2,ok,39311.0,,2.0641550710996923,18.63,,238728.0,51744.0,,,,q1-propose-e0,703fed17 (feed 638c565a),19
A-farmer-q1-v3,P1,019,3,ok,28665.0,,2.830769230769231,17.96,,265896.0,78912.0,,,,q1-propose-e0,703fed17 (feed 638c565a),19
A-farmer-q1-v3,P1,019,4,ok,24099.0,,3.3671106684924688,18.26,,443112.0,256128.0,,,,q1-propose-e0,703fed17 (feed 638c565a),19
A-farmer-q1-v3,P1,019,5,ok,24134.0,,3.362227562774509,18.61,,465640.0,278656.0,,,,q1-propose-e0,703fed17 (feed 638c565a),19
A-farmer-q1-v3,P1,019,1,ok,81144.0,,1.0,,0.34,,,,,,official-singlecore,703fed17 (feed 638c565a),19
A-farmer-q1-v3,P1,020,2,ok,320348.0,,1.6630227127998303,63.53,,2359296.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),20
A-farmer-q1-v3,P1,020,3,ok,226780.0,,2.349175412293853,61.3,,2359296.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),20
A-farmer-q1-v3,P1,020,4,ok,142720.0,,3.7328054932735424,60.74,,2371584.0,12288.0,,,,q1-propose-e0,703fed17 (feed 638c565a),20
A-farmer-q1-v3,P1,020,5,ok,115829.0,,4.599418107727771,60.81,,2359296.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),20
A-farmer-q1-v3,P1,020,1,ok,532746.0,,1.0,,8.876,,,,,,official-singlecore,703fed17 (feed 638c565a),20
A-farmer-q1-v3,P1,021,2,ok,3129300.0,,2.0988518198958235,60.83,,15319040.0,11980800.0,,,,q1-propose-e0,703fed17 (feed 638c565a),21
A-farmer-q1-v3,P1,021,3,ok,2117981.0,,3.101036789281868,60.1,,17315840.0,13977600.0,,,,q1-propose-e0,703fed17 (feed 638c565a),21
A-farmer-q1-v3,P1,021,4,ok,1572140.0,,4.1777049117763045,60.95,,15319040.0,11980800.0,,,,q1-propose-e0,703fed17 (feed 638c565a),21
A-farmer-q1-v3,P1,021,5,ok,1260708.0,,5.209721045634675,60.75,,19005440.0,15667200.0,,,,q1-propose-e0,703fed17 (feed 638c565a),21
A-farmer-q1-v3,P1,021,1,ok,6567937.0,,1.0,,4.095,,,,,,official-singlecore,703fed17 (feed 638c565a),21
