kind,stage,case_id,cores,attempt_id,bound_cycles,e0_cycles,margin_cycles,u_over_l,bound_le_e0,artifact_commit,result_sha256
official_singlecore,existing,013,1,official-singlecore-20260924-013,263712,263949,237,1.0008987076811067,True,f16746ff2ab112ae8e802711e90d74829c419eb9,d13795b90eabc12696762bd537e1dd17f1139071b459d71e2c29f668c1b4ada8
official_singlecore,existing,014,1,official-singlecore-20260924-014,17225748,17698626,472878,1.027451812252217,True,f16746ff2ab112ae8e802711e90d74829c419eb9,131db064f7aa2f8488edfa65921b970d116baf246ad4f0865e685ae2e857aff6
official_singlecore,existing,015,1,official-singlecore-20260924-015,101497,177362,75865,1.7474605160743668,True,f16746ff2ab112ae8e802711e90d74829c419eb9,0f65e80076cbbd5f6185017902d3d87df8d7df11d8972fd2c208d1aa78a5ffaa
official_singlecore,existing,016,1,official-singlecore-20260924-016,7714975,7715523,548,1.0000710306903133,True,f16746ff2ab112ae8e802711e90d74829c419eb9,a161e763c0166f60b6f890528a96bcea8284bee60a13d3116b04cf5e0260bb55
official_singlecore,existing,017,1,official-singlecore-20260924-017,110600,162810,52210,1.4720614828209766,True,f16746ff2ab112ae8e802711e90d74829c419eb9,70ab34f0ea087f321cfdb3aa671873a2ec642b332c373df9a34f412661717723
official_singlecore,existing,018,1,official-singlecore-20260924-018,971320,1004367,33047,1.034022773133468,True,f16746ff2ab112ae8e802711e90d74829c419eb9,4afb388588618d99458185a774cf9754e9391622f6b7172b1fb7e2b737a94319
official_singlecore,existing,019,1,official-singlecore-20260924-019,48436,81144,32708,1.6752828474688248,True,f16746ff2ab112ae8e802711e90d74829c419eb9,e041fe86b83c2acca01309c851ade25a21e45f772130dfdfa709ad29d2743951
official_singlecore,existing,020,1,official-singlecore-20260924-020,532608,532746,138,1.0002591023792358,True,f16746ff2ab112ae8e802711e90d74829c419eb9,2ff3f23b6898de026de8d6d2da382a5d2b19cad415b91d9ed68009d83419e366
official_singlecore,existing,021,1,official-singlecore-20260924-021,6192000,6567937,375937,1.0607133397932818,True,f16746ff2ab112ae8e802711e90d74829c419eb9,5526e3c9a3bdc49c23af912b88a8c34bc6f4661abefb581a405bd6cd3a347864
official_singlecore,existing,022,1,official-singlecore-20260924-022,54087,56780,2693,1.0497901529018063,True,f16746ff2ab112ae8e802711e90d74829c419eb9,50c8c608fa7475c07b693001653bf6233f1235ffad3eb0f8a2894bf6388cb59a
official_singlecore,existing,023,1,official-singlecore-20260924-023,69558,122614,53056,1.762759136260387,True,f16746ff2ab112ae8e802711e90d74829c419eb9,6a526a1b43f4b420491f10c853b7512d2f326c04f598728fc55b40c3c39631de
official_singlecore,existing,024,1,official-singlecore-20260924-024,2554795,2555343,548,1.000214498619263,True,f16746ff2ab112ae8e802711e90d74829c419eb9,0b8f7446004cce0a19cb2356e5d138e09d498a3464446051414dee3196e60af8
official_singlecore,existing,025,1,official-singlecore-20260924-025,4702824,4863026,160202,1.0340650638850188,True,f16746ff2ab112ae8e802711e90d74829c419eb9,962955c8c2f962f7a6188be15c65ab3fec5f34ac6e307612aa2500a048ff87b6
official_singlecore,existing,026,1,official-singlecore-20260924-026,70768,99203,28435,1.4018059009721908,True,f16746ff2ab112ae8e802711e90d74829c419eb9,035e9307f0658371b62cb554c56d09d9a5231345042f76816cfda13b7803df08
official_singlecore,existing,027,1,official-singlecore-20260924-027,2229120,2363952,134832,1.0604866494401377,True,f16746ff2ab112ae8e802711e90d74829c419eb9,f40049272ec2bbb619f546977b13204b16db6d50a46f0eff11977681edaea59c
official_singlecore,existing,028,1,official-singlecore-20260924-028,38974608,43836040,4861432,1.1247333135460913,True,f16746ff2ab112ae8e802711e90d74829c419eb9,09fb5713f8624071500ab48f3369fd37114e769a0aa4c3a3ade7de59e64169ef
official_singlecore,existing,029,1,official-singlecore-20260924-029,37485,37555,70,1.0018674136321195,True,f16746ff2ab112ae8e802711e90d74829c419eb9,004522c1e6738c62aded4c69a6f362db8c90f97ea7d10c823651ec8cfe216095
official_singlecore,existing,030,1,official-singlecore-20260924-030,2776480,2808034,31554,1.0113647496110183,True,f16746ff2ab112ae8e802711e90d74829c419eb9,f219a9e53f2e7e0a3427a2458658e215ec90aa8c8d71c18222ef87861ebacd69
official_singlecore,existing,031,1,official-singlecore-20260924-031,1334492,1414369,79877,1.059855735365967,True,f16746ff2ab112ae8e802711e90d74829c419eb9,936adb04741dbe24c0100098b90baf21c5520a3a1e8fc4e0b96823432b50072d
official_singlecore,existing,032,1,official-singlecore-20260924-032,33995,41443,7448,1.2190910428004118,True,f16746ff2ab112ae8e802711e90d74829c419eb9,5e83151e1c60cc28757e96f01dad294e542c307b5ea9d48bd338aef979569da9
official_singlecore,existing,033,1,official-singlecore-20260924-033,1728108,1774196,46088,1.026669629444456,True,f16746ff2ab112ae8e802711e90d74829c419eb9,438a9ef8c1ee43f03d9c59e9a273789d7cd2c4d44e568f48eafa517a3126ce6e
official_singlecore,existing,034,1,official-singlecore-20260924-034,749160,842996,93836,1.1252549522131454,True,f16746ff2ab112ae8e802711e90d74829c419eb9,9d9d53cc1096e85eb833c1d3a45bbdb415dae45334b305607ef80addccb47b41
official_singlecore,existing,035,1,official-singlecore-20260924-035,143909,169571,25662,1.1783210223127114,True,f16746ff2ab112ae8e802711e90d74829c419eb9,0c8721de33cc15df4ac6ecee89769b35ed44b2a2296e1b5766ba7c90a5373f45
official_singlecore,existing,036,1,official-singlecore-20260924-036,931200,931510,310,1.0003329037800688,True,f16746ff2ab112ae8e802711e90d74829c419eb9,9d58016fbb1440c6597362bf47410a0409cbc4e75128d169674a3105990e750e
official_singlecore,existing,037,1,official-singlecore-20260924-037,209600,210001,401,1.0019131679389313,True,f16746ff2ab112ae8e802711e90d74829c419eb9,80bbe5f15194df474c6b2cc84ca41b03615a63251e7181e8385bf61de547596e
official_singlecore,existing,038,1,official-singlecore-20260924-038,1325000,1364555,39555,1.0298528301886793,True,f16746ff2ab112ae8e802711e90d74829c419eb9,50f873b908c2a3ad3793460157a5ecc0eaa78ea2869a526df08641958199cd3a
official_singlecore,existing,039,1,official-singlecore-20260924-039,1377880,1435262,57382,1.0416451360060384,True,f16746ff2ab112ae8e802711e90d74829c419eb9,2ced870a72f4320712e1504395f368aeb252b1a2658ee5cf6537756f29c50b13
