case,cores,baseline,no_cache,cache,plan_no,plan_cache,config_shared_no,config_shared_cache,hit_bytes,miss_bytes,cache_gain,hit_rate,graph_sha256,no_result_sha256,cache_result_sha256
005,1,95618,73504,73504,4ead7f814b76f0ecb77bf1597e5d210058aa61267f2a2c309b5988bdcd259c7b,4ead7f814b76f0ecb77bf1597e5d210058aa61267f2a2c309b5988bdcd259c7b,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,318822,1.0,0.0,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,e88fd1ba72fecb923a78c9eb7438603e7ad371960210810f13984a5cf5d83e38,f48697c32efb2f45747c9fe703701715060b55884d0a20c0e0a1de01e79b8a64
005,2,95618,39888,39844,70b5936498ced40c106fe371a351c460b81db400dda230efc998221e5a2f9157,70b5936498ced40c106fe371a351c460b81db400dda230efc998221e5a2f9157,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,161286,593478,1.0011043067965064,0.21369063707331035,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,1ef056d0fd221bcd7f5b1659a8c1e51644105056b94db985afc8efcc70a2e9bf,784736b17d291fa3e2758e91371ac29625b61b0696574b22fdc1e80454c939b4
005,3,95618,31950,30855,32604643fce0c41085c8a70a7a854de819e8e903bc06735fc3bdb671e72aa373,32604643fce0c41085c8a70a7a854de819e8e903bc06735fc3bdb671e72aa373,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,320940,636582,1.0354885755955274,0.33517767737973647,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,1b98014912e7cdc2ebba4fe8f6ab59d7eb2241f33fcd60f4cf9301c2a07ffd3c,d60ff496ade832cd4c7587b1d5a0c0f6045995c9974baa4553db2ff524a6824f
005,4,95618,32723,28981,1ce45468ee6c58a0b0325df16cb1c8079bfd867613e2efef308596beb94b4c48,1ce45468ee6c58a0b0325df16cb1c8079bfd867613e2efef308596beb94b4c48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,495376,746408,1.1291190780166316,0.39892284004303485,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,80c424c8c9fb2306ddb9e15aeff943fc38c9ded90ee101526cbacc579e5c511c,f3b52c751376ea5ac58abe07a37e3d1a58cc16d3c7d9a36d1d104672fb73c4a1
005,5,95618,37327,30642,271a969809500146111039bc4f327abe2a78f298177e99cbc9a9ecc637bb8eb6,271a969809500146111039bc4f327abe2a78f298177e99cbc9a9ecc637bb8eb6,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,674612,795322,1.2181646106651003,0.4589403333755121,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,5d665df590c4f93b12529d3837234888901c1b525f083219445a04a3d51075f3,161f6c00a3c406c3e11d9aead620c9652bdce4c8999ce1039c83000dd859f631
006,1,82837,69415,69415,a4482c2cb7df1ff33c42f646511a71f8cd1c4ece4fb1e79f6039d7cff204a1af,a4482c2cb7df1ff33c42f646511a71f8cd1c4ece4fb1e79f6039d7cff204a1af,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,3074,560690,1.0,0.0054526362094777245,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,4cb2b8ad80b2d30b8cd12817be10f9a78cecb233397fccfc0df6b16dd24f000e,d48c00f08dcf4fce4fc7091f327fe53b03459cfdfc9c88d0c5757a91b8a640d6
006,2,82837,37863,37307,314a4a021d1f3b0ced8d780875abaff4f72672f5be4145f5f608d8674fcd5dfc,314a4a021d1f3b0ced8d780875abaff4f72672f5be4145f5f608d8674fcd5dfc,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,195462,707438,1.0149033693408744,0.2164824454535386,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,7442344afb830101ccd785d6c3d6400d91055c15f4ca5b1645e184f44091b2f5,1f02a63c65600b34bf2c3ab5bd2d3e1b2c681c686e2536b6aa50904dc902cb8e
006,3,82837,28486,27285,6ace3bfebe7d64f4ff8369e3389aa887fd6d22e18b0cb95e91704e2fb983a536,6ace3bfebe7d64f4ff8369e3389aa887fd6d22e18b0cb95e91704e2fb983a536,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,349976,765620,1.0440168590800807,0.31371213234898654,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,4da32d1ee95d1e2cff3b004071b9d3dc942b8a259055ecc6599111cf3600f0f1,8b8bf8dbcb462509d291c13b26b77de95decb95fffe5033135576d5ccb4222b5
006,4,82837,26888,24049,cff8285b67bce02a258f64de60de294c507e6507fc75f7ecb79b21d7fc060798,cff8285b67bce02a258f64de60de294c507e6507fc75f7ecb79b21d7fc060798,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,335908,806226,1.118050646596532,0.29410559531543584,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,8200528730b12e8073dc66fbaadeae662e14db88279fb27cd7c067c7da5eb12d,1dbd3a6444e07f00c38e35aa4a116a3edbe26d2293404e8a35a258135c6955e4
006,5,82837,25613,21118,1edc21eea791cd6a9f4cbf406da15bf3b582f22ca5980bc9b2c2cb3fccbf1dec,1edc21eea791cd6a9f4cbf406da15bf3b582f22ca5980bc9b2c2cb3fccbf1dec,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,443040,728660,1.2128515957950563,0.37811726551164976,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,e648ea77102938958e43ae4e33a1babf565175aeed7a20d2e7322e8b5257fd9d,40719e22faf5a9c38fe3c04453431de1ee526da374e9822ee19ad7aa87f5e16c
