case,cores,plan_sha256,p2_sha256,p3_sha256,no_l2_makespan,cache_makespan,cache_gain,hit_bytes,miss_bytes,byte_hit_rate,category
055,1,2ddc73fdb993b63906db35c7d47ecd7b8467ea93b3f7686353e635d933cd55dc,617359fd42e9ff4b6d3661f94bcf70cf4bf3ea542bb39d72e3078fc4459221c8,12b9d8d5ffcf7fc1059750711441ca2ac23142fa2b72e1bdaaebad4ca4fb5dee,70981,70981,1.0,110592,650306,0.1453440539993534,parity
056,1,bf710caac059d9ca4cf498a6ac2c8bedc5b4b878bd8ecaa6a5fcd19bb471ba35,f8aa4d35b635c8819191d70d11828c111e887861f577eda30550eabffd5f8ff6,a106ad5a1b6716b53da2c66b941919d335ff92b60785bf01939df51b115f49c7,246016,246016,1.0,20480,255830,0.07411964822120083,parity
057,1,f3ee919968e9ad42a21b7fc65e85d284fb0c9d778b80299dc9e11a96ed862696,d3dbc787a14a8f92a1008ab1333a6e68a23ffc1ff1a1fcb29f0bd80a1adb7e39,b2d45da70acdc12da08d9e0b9e9b68c9555dfc119f5db8cff2c8955ce90dcf6e,51663,51663,1.0,151562,363244,0.29440604810355747,parity
058,1,7c7f5f1f76cab8a41e1abc7eb29bfe4cc962d8a35cb874c129ee449d9975429f,e829e97b4711317992e1adccf5e9975cc6f71590a5e135f79aaa7a1d45678e72,fa1554fb3896b5153d4cd7b405611609830ae7d37c081b2c051b7a40698e43a0,4465061,4465061,1.0,0,53039104,0.0,parity
059,1,301facd87ff89a6bd3d68e9478fcf60893c698a47558cbaa1445c9f9562a0264,a28ef8437495464dc2816ac19a405572935ea91efb4829b562902862513a82fa,bc68c184d5ec26bfdb8e5e6ee2c84eef838229a354a9d1120d64757910559c92,765830,765830,1.0,1970176,1081344,0.6456375838926175,parity
060,1,8dda29bd37f6bc994187332f47f2f57c6ef59ad10b8f4050878f684b942eb124,2643814113ae2383a8b671186efba4bb66d84085a65d660436ffc5134139d7dc,8e852d80b44eccd5a6e4a1daaa1499d935f7c41cb220d3676e052677024f06c5,751981,746296,1.0076176208903707,1609730,6260214,0.2045414808542475,positive
061,1,d7a31a8a569ff7092e658bf7890bf14ea8705636ee1939920d9bbf1d50bb6566,ddd9b0b16b816895395289acb20236fe129fc4b24ff054382ea029146e4311cc,0e1a681aba293f1462f525b03098a2f8dde04bca9e0a8c5144cdfb201339eb0c,73915,73915,1.0,0,544036,0.0,parity
062,1,9c936cadf86ab01fe6ea215bfb9e56af7bda4a68b9334521b4c54cec01a564c7,9461d94a6f78670c0f48722cc415c22d774661421f1eeed7d26ea22b54fa973f,a07343a5c1e2ba59227216d4cb75e6766dcb43353751fbc29766e519b313c21c,2855025,2855025,1.0,0,13400064,0.0,parity
063,1,4d3edd585b235b6ddc5f7a76a2dc52e2846b36db5487c8cc27a25cfb43cc4305,883b03c5c54b085459a1cf681025a8fa52420f8ca05824d20dc72a8c7fd461e6,82f08a8bef71b48e15157a038912cd305c75c6280ab0df3634bc7c78a62d6f9a,1070589,1070589,1.0,0,5019648,0.0,parity
064,1,2e850abb96541f680166ca2b4897046208a001e077a8655ef05a7be741659e79,77948c82fd370b966cd2704220ace8acf39a4ea8740715d221701587e73bef2e,7479a17ccb0b5dc28a53bbc12dabb50cda73f7cf45171399c5e3ed1b117b6cf7,16128,16128,1.0,0,35622,0.0,parity
065,1,a553a48ffc9b3a95927ebf4eda9e620c1d58e261df4559f0a277078c27c171c7,0dc484a1cd9460b7cdcb806bf9c20b051c4cea058098d8ce8f323adffbc57fa0,adcb9d1674a0e09d451ee0bade78680c78ccdebc029bc7dfa2fb7b6c6628a5ee,32594,32594,1.0,0,299720,0.0,parity
066,1,2b225d2a88f3573272f91b63390db11f90510902ee2516dcc625bd11c91a1920,42242a0725344f9aca6e47662290b6e75bacb03c2b1cb66bfa5fe195b3f0ae13,029d876ce8a7ecd9d4ad7144ebc4cbab28af23e4317097c11598821d04531a0f,282276,282276,1.0,0,1027116,0.0,parity
067,1,815b92a271ba714d9b4ed762503e131e2033c2db13729e428c60d219542d7b52,bd4b2c8030df91e21e5422ca3e1c62225c2766f1387b62781f7b2dcbd0770263,1be1ca75ca05ab45201e5a4e698815e55f673091676a678654d6e71d73aa2627,60434601,60434601,1.0,118912,266930560,0.0004452807905195933,parity
068,1,ee32bd54b5fb157138a5a4b721043e771e95c414598719084ccc635d2eaea917,4f55a4e588f0612404b3719d9478e70ccd9b6705689201c613dd21f052e4d1a0,ee0e1fcf52fe9138021b4fa17c75175de52dfd1f4ebae6e9d4b7a1dc23ecfdfb,262159,262159,1.0,58114,3033942,0.01879461432781295,parity
069,1,9c0caddb66be689d2ce2dcf093506c518c740b892ffecc2fc5fcf2533aac983c,80607f456ac5bbdc48ca9680805f4859ca65f27b147a40d75c99a19efecdda73,32a99c54f766819b2e3ced60e4ee6e4b57cc63a5259e9174be781224c75e82f2,19742,19742,1.0,0,113766,0.0,parity
070,1,fba0615d75955e9d496f5a525b1df84bd55eed1df9e880c039c43b59208e0963,41d4cbcf466c56f3f0475d154a9bd2c353fef85865dbffc954bf297d8ebaada3,b2100ebdd9e247212179550b6cf5605c72fdbbb924ff717fd2773100e4ff4bd5,93082,93082,1.0,0,419858,0.0,parity
071,1,6bbdda9996d7098c1840d184a7c415a09e7198c272ef4e187c8fe56bba278432,37addd7752416a7b847d437c29e70a61f548090529bf342e072a51df0f063e8c,4e5a3c16b352cbd613072e555e2ecd3536669453056ef6f81bbc6ba5e614772e,14543,14543,1.0,0,111462,0.0,parity
072,1,fffef464429f2ae1d74dac80ce2328864a8c60937f19acb89a6b2e4b026df0b3,d99c964ead5b6844caf47a360e9f5dba4bbc671462ef9057c1bef7f36e9519a9,5fbd155e4d80d1b065f68d12990accfd23a53175e6ca495ae1a2b782bb6886f9,22954169,22953928,1.0000104992923216,1916928,98427502,0.019103481877369776,positive
073,1,88728788116330d35abe011afb15c19f729747e27ee0ee36ad4eb1228c562524,cd033c7177c1399bc4c5e3a1e1f315041f499e73f9f2e6b4e40bd1a3ae2f8bba,c46bab9e426e3482f962e244622ba62e82f91650334b4423f330e68eb43e0c87,9975265,8697220,1.1469486801529685,103379200,4239744,0.9606041107409491,positive
074,1,8445b1665410a31691fb2bf0c90a2fa64d2790e5bc636182e1776f8966cb8645,9a52640f3ba5425d84fa45b9f5e160649a16a6aa8c82f0df79b3e29ba286f2ee,a5c07b7876a6f844c091d97a2547d9a921ea9bf39ddcc2cb8dc026ed1bef8294,1579934,1579934,1.0,262144,3932204,0.062499344355785455,parity
075,1,21e646c4c61084f144cff9358ba44fe7c5b3f2324646f65ed32db24327003820,e211e7588418ff2a76ac62c7e9f6b2b44ce5fdc372d7962c36cc25aea98de0ac,392ed46702e9ea9bf878fc0a42ba10f1e16a04df3a2cc9fe048037cf195e8dcc,1124605,1124605,1.0,0,1819782,0.0,parity
076,1,2b31d78aa8bff99bfc54039b648558daa3add86fa22bd795c012647177605592,d5daa270e330dc94e1d8490d190bca7d9407985eb9ec67ed689d4b6d9465e40d,c30396d8813e22ef11335c9c92e2563ad81426a575c5b2e87fc1e0672246a3a4,6090538,6087717,1.0004633921057762,3122176,28955648,0.09733129030198558,positive
077,1,d15cfd5ffde5dc95f79061c3728b19d3df072ed99f990e4bfa283437512980f8,acd82b240a254f2a4068713c1cb81417d9a9476322e8b555b21c00bcb1bbef0d,50513a407d3172b89bff7978e166698ccbcd087bb2e31fe1bb9c45bc18f033c5,434257,433422,1.0019265288794754,147464,2670322,0.05233328577826705,positive
078,1,cdb4241ba3fbbec54e9b2eb1c4efeec0ce51040a78c56999fd4db3baaf1799a2,8474e4466b8ae8c6621dbb05040060999b9d6f49ff48315ac3a641f8f050489e,011f6cc6f87e2cf25cff9cf611673f84c3aaca96a72fa0b541782fd5adc7f6d2,2058994,2058994,1.0,44064,15166392,0.002896954568620428,parity
079,1,f5da5715f67f42856714d79fe86676c394f04f7e72492244397f81fd6842bec7,3b96898af6e9e6a5862e4b16277f983fbb018eaff76db0ed8a8cbabe879ead88,e7db87a544b99e75896525b3044cf5cdd63134a7102fccd771c42d3a0c5f2c4f,29922768,29922768,1.0,6144,126332928,4.863103632738414e-05,parity
080,1,24f59c3c144402086e8b43d3eb79875d301aadd432e993d197ec9974770fe80a,29ad090b8c5f36d83cc0285856dbfdd2534b823d1a4be4ff5688caa714766f1e,07cd17a10c8e8c3440b3c0fe0b0935a98e13437546924a73643f4a5bf116b83a,292138,291826,1.0010691302351402,413696,2039808,0.1686143572621035,positive
081,1,026937095879b4415df200a791d05e882a4278f4376d66ed5ec8f9a572bf3f43,7679c0a5f8873b6a29d80c791ca78a5492aa8badd4018a37e6b56273a6c5cad9,b4efe857300555ef1dac04632684caf17f3a6e187d56e06cf484a6d9e9de6130,151795,151795,1.0,0,1044820,0.0,parity
082,1,b0a045c3504cad1adabfb30955a251090c326e4388b0ef693418c434aae19fd9,2588163cf51bbec9b8fbbc58335ffb6e1a6423ecfeec4badf85b2d5928c8923c,97add2008f2fae988aaaa1361e41336fd48067d064c621e8d07d5a3a073b355d,596380,596380,1.0,12,1041990,1.1516292675062043e-05,parity
083,1,0ab72aab20b4b4393372ff527272050d5cf744c1acf47e699e34c6240440b159,4dafaa91dacd98c4f4ab2de16644d9a5fb370c870dad6f3d75ce72445c7870d3,bd025610452e33765dfb3a58134cfe7785ec8aac8392e96fabf32b3c56f194b5,836631,836631,1.0,0,1397344,0.0,parity
084,1,f45e0140adffa126b3824f030ce65445f5c074ed4320580721f8ff24cc894b54,cbb60106280d2be43f106cc501810b6680c6ef745c351b60ed68281440adde5d,df2df06ffa83d1ce04ec55244da19e947de90a11427b7402182afb805b325f63,1266708,1266708,1.0,0,9927786,0.0,parity
