case,current_speedup,lower_bound,speedup_ceiling,mean_gain_ceiling,cluster,components,giant_ops,giant_dominant_pipe_share,spill_bytes
040,2.2970898248094476,37170,6.81877858488028,0.04521688760070832,indivisible-component-imbalance,28,409,0.5063606656222578,0
046,2.10971542823129,42264,6.541146129093319,0.04431430700862029,DDR-spill-and-replication,8,124,0.125,1292064
064,1.0,3546,5.3908629441624365,0.04390862944162437,single-component-multisink,1,906,1.0,0
050,1.3839681952662721,26689,5.608677732399116,0.04224709537132844,indivisible-component-imbalance,23,4011,0.7176244837382225,0
055,4.437287629289422,13846,8.582623140257114,0.041453355109676925,other-or-balanced,24,53,0.018045156338252544,0
083,2.3910527029470257,162582,6.507442398297474,0.04116389695350449,DDR-spill-and-replication,31,124,0.03225806451612903,11336448
035,1.7763565891472868,28792,5.889517921644901,0.04113161332497615,indivisible-component-imbalance,16,2430,0.5408556796308779,0
043,2.5134489562779105,103639,6.5386196316058625,0.04025170675327952,other-or-balanced,38,3117,0.4013813563250359,49160
016,1.0,1543543,4.9985798905505066,0.03998579890550506,single-sink-gates,1,17995,1.0,0
024,1.0,511507,4.995714623651289,0.03995714623651289,single-sink-gates,1,5959,1.0,0
051,1.0,121964,4.982027483519727,0.03982027483519727,single-sink-gates,1,1416,1.0,0
023,4.91635926222935,13948,8.790794379122454,0.03874435116893104,loose-bound-already-near-five,43,20,0.043589522412950346,0
092,2.89878126741928,743245,6.479093703960336,0.03580312436541056,DDR-spill-and-replication,142,124,0.007042253521126761,63258656
098,1.9677712714044895,32611,5.440802183312379,0.0347303091190789,indivisible-component-imbalance,27,389,0.5482879638109169,0
006,2.6104370844231557,13819,5.9944279615022795,0.03383990877079124,other-or-balanced,27,136,0.439536231884058,0
073,2.8661216796516857,1632881,6.17413393872548,0.03308012259073794,DDR-spill-and-replication,39,124,0.02564102564102564,124886400
019,3.357358599859324,12312,6.590643274853801,0.03233284674994477,other-or-balanced,31,170,0.4211743331406392,0
053,2.9890176355137723,242789,6.065703141410855,0.030766855058970824,other-or-balanced,39,9853,0.28816896809336984,3814656
052,3.4905525225539162,28381,6.352876924703146,0.0286232440214923,other-or-balanced,52,16,0.043327115482448705,0
094,3.804353926953454,14320,6.626536312849162,0.028221823858957086,other-or-balanced,40,16,0.08643437077131258,0
017,4.586713995943205,22180,7.340396753832281,0.027536827578890765,other-or-balanced,60,11,0.06282097649186257,0
057,3.6114403192647235,9583,6.232495043305854,0.026210547240411306,other-or-balanced,21,193,0.2722379901187848,0
080,2.574923978669957,58167,5.02240101775921,0.024474770390892533,other-or-balanced,18,61,0.05555555555555555,0
078,3.458353980248245,408804,5.616733202219156,0.02158379221970911,other-or-balanced,8,128,0.125,5026104
