case,cores,method,baseline,makespan,speedup,source_commit,result_sha256
045,1,tensor,125614,125614,1.0,178a3673bd238b20772211427b8134b6db35f5af,cef31d8f5325ba5ee6507f8171a2a36495234682306ac01d7f0e74be9580b61f
046,1,tensor,276455,212006,1.3039961133175477,178a3673bd238b20772211427b8134b6db35f5af,1b170f1a14aa3fee2b5623778af9378f5e6124b8b00abc4833655bf58c404195
047,1,tensor,326508,314219,1.0391096655517331,178a3673bd238b20772211427b8134b6db35f5af,31eecf30255582bd7b1ae869cffac3b7d1b7047b6ab7b7137706cbbc75aec8c9
048,1,tensor,222220,208057,1.0680726916181624,178a3673bd238b20772211427b8134b6db35f5af,35429585a2e59cba05db8c25a73c510dd826b33c85b9213db4ea06712b247aff
049,1,tensor,196276,182571,1.075066686385023,178a3673bd238b20772211427b8134b6db35f5af,5349367ae68ea893cb01f60d10bba4a33dc1c1fa291b6ff41c8e8f6640285bf9
050,1,tensor,149690,143391,1.0439288379326457,178a3673bd238b20772211427b8134b6db35f5af,e1b5ace463ed43e7522d30352b2851c8c41dc87a74be8bc6cc212d91b4188c52
051,1,tensor,607628,607628,1.0,178a3673bd238b20772211427b8134b6db35f5af,1faf9eb913082b234b9e109f11643affae3e9784c6b552931d9dba7483bea641
052,1,tensor,180301,177940,1.0132685174778016,178a3673bd238b20772211427b8134b6db35f5af,faafc1809d692a81aae102d2baba146ab23df9ddeb3e8946e5030fecb2a95a0a
053,1,tensor,1472686,1338490,1.100259247360832,178a3673bd238b20772211427b8134b6db35f5af,43619c11e79724398912fe8e2453fe70bc43a4a6d152ee1ab86c493ef248881d
054,1,tensor,815051,801398,1.0170364787533785,178a3673bd238b20772211427b8134b6db35f5af,68a3d31bf8c0b014373adf482dcfc76cb66b7ae1a37cfa3d925d33a51481216e
055,1,tensor,118835,110972,1.070855711350611,178a3673bd238b20772211427b8134b6db35f5af,1705212052279467bd203dfa530d8d5be4151431fa442d9a3346299a114ddf37
056,1,tensor,277285,260916,1.0627366662067486,178a3673bd238b20772211427b8134b6db35f5af,b5dd81f6ec9e591f4159064d4e9d08ffa25ab97bdb24269f2fc66f4dcb841a92
057,1,tensor,59726,59044,1.0115507079466162,178a3673bd238b20772211427b8134b6db35f5af,9752e27991cde068f4d9c402637553c8941aea10e177dfd39e174aaadcfb0cf6
058,1,tensor,4539717,4458067,1.0183151128056174,178a3673bd238b20772211427b8134b6db35f5af,c8ffe6e744ba0f4a73fae4ad4877043a9728987a27cb016397da790e5c895b05
059,1,tensor,829473,759651,1.0919132601681563,178a3673bd238b20772211427b8134b6db35f5af,c93befb89a2896bdc8f7a8b4fcb3fe777badb3fa2a4daceee7b6d1cb9e7c27b3
060,1,tensor,888789,884424,1.0049354155925212,178a3673bd238b20772211427b8134b6db35f5af,45ac9c53cd6f07df216463730753d94aba5abe94544f1f8a88530671434f0233
061,1,tensor,77191,85673,0.9009956462362705,178a3673bd238b20772211427b8134b6db35f5af,c5a25742e5cb23cd3ccaa208239f0c71b1c45a67d238cf21ee50493a34b861fe
062,1,tensor,2854809,3066597,0.9309371267238571,178a3673bd238b20772211427b8134b6db35f5af,ec95f96825fdee8da9858fed0146f84b6fab983b93e99e03406ba7fa53bbc71e
063,1,tensor,1070397,1136021,0.9422334622335327,178a3673bd238b20772211427b8134b6db35f5af,0658f04929453c8324e1d6a243f4be4830f23abe644a79af55361964cb0770aa
064,1,tensor,19116,17829,1.0721857647652702,178a3673bd238b20772211427b8134b6db35f5af,f5cc785997a894bce3a0c2b43fb73150bf8c65f92928e684ac87efbfda12c6b3
065,1,tensor,53068,52711,1.0067727798751684,178a3673bd238b20772211427b8134b6db35f5af,987c32a2e30c510ced5a1e1d20b1f955928ed498c64f6fcf56be3d8d5de85a3e
066,1,tensor,359070,349025,1.0287801733400186,178a3673bd238b20772211427b8134b6db35f5af,e2dcb23a1a3d8c7fd5bf2633fe0b0e9ed9caaaf3069c12bcdc7680d20673c15c
067,1,tensor,63834834,61679114,1.0349505668969239,178a3673bd238b20772211427b8134b6db35f5af,9df3d279491bc1ab6b41ba34778b0491d1b4e605adc5c0e5f94c84f69a8a80cd
068,1,tensor,362095,348358,1.0394335712112253,178a3673bd238b20772211427b8134b6db35f5af,377b1d784afeb0476a3493ca4115942993b816b802d3d9ec95659c109926b538
069,1,tensor,25144,24009,1.0472739389395642,178a3673bd238b20772211427b8134b6db35f5af,9e0bb0f339723b1ba67ea9109772688c08f909938a51b9cdf93dc1edbf5f93e6
070,1,tensor,117300,105921,1.1074291217039114,178a3673bd238b20772211427b8134b6db35f5af,241da1cdfe75af63bc2b41dda8380d9eabfac43d305c2a9bb0e0ab7182a10a21
071,1,tensor,18919,18205,1.0392199945070035,178a3673bd238b20772211427b8134b6db35f5af,5f1468e16b511dce913d20db919b35574da41097b3bd406fe3f6fd800ed9c619
072,1,tensor,23897828,23723206,1.0073608094959847,178a3673bd238b20772211427b8134b6db35f5af,76465f7f14cf40d118ece4c5b8588d6b95fc6ea8ef37f658c2f54bc007fb0695
073,1,tensor,10081626,8227767,1.2253173917054287,178a3673bd238b20772211427b8134b6db35f5af,dda01697c8f837d5aa9a8aa8522960d39a7540f582b3dbfd9925f487eb592be4
074,1,tensor,1682239,1746915,0.9629770194886415,178a3673bd238b20772211427b8134b6db35f5af,9b0420909b32c7d8adb0a164dc17189be021019719c2cfe23a718b2227605417
075,1,tensor,1441809,1390602,1.0368236202738095,178a3673bd238b20772211427b8134b6db35f5af,36b987c69881473e88b5d7e71107aaac815f902a265437f31b738223c98b90f3
076,1,tensor,6185113,6285532,0.984023786689814,178a3673bd238b20772211427b8134b6db35f5af,baedc2f0c26f9b478a2b3a43ba1309be19cebd211a6675b930b07ca3e71802c2
077,1,tensor,495320,507178,0.9766196483285947,178a3673bd238b20772211427b8134b6db35f5af,bc75bc9b4385ce2a1311d116d3f7c60329dfff0d75df8719ab22142098bae8fb
078,1,tensor,2296143,2071445,1.1084740362404022,178a3673bd238b20772211427b8134b6db35f5af,d7a0abfe4ed3c54e3e3932c9ed59ac53555bea0031fd6e6695f876b9b2924518
079,1,tensor,31052251,30018275,1.034444883991502,178a3673bd238b20772211427b8134b6db35f5af,097e1aae8f19859cd740fc43a538d9660e4a864c510d7f4531486b4310ef493d
080,1,tensor,292138,290369,1.0060922481394363,178a3673bd238b20772211427b8134b6db35f5af,d77d1645e2b78631908ba66e492791dc4387f0adff4806f7ed4476cecfe4fc67
081,1,tensor,151795,151795,1.0,178a3673bd238b20772211427b8134b6db35f5af,3b770c19e2173ce9388ad591be7ee5c8be029430914fdaddc252515514270f15
082,1,tensor,721041,703323,1.0251918393113832,178a3673bd238b20772211427b8134b6db35f5af,4fc94200fd5daf9d7afc32bec5cb1ca39b74ebcf003c60ffff7655d3720eff51
083,1,tensor,1057993,849286,1.2457440720793702,178a3673bd238b20772211427b8134b6db35f5af,751c9887dbba796344f8437af62eb72aca09c5ccd2f33dfb26f8d9061a416294
084,1,tensor,2507412,1266708,1.9794711962030713,178a3673bd238b20772211427b8134b6db35f5af,20c5dd4b879404eb18f0337990a7b6849b3c97353bb5c6a7f15559987e522c0e
085,1,tensor,3187899,3143505,1.0141224524853627,178a3673bd238b20772211427b8134b6db35f5af,9837ebe06c97db601660f68fe0df3c5f9627b39ed4ff955435bfa302ec324e31
086,1,tensor,118403,112029,1.0568959822903,178a3673bd238b20772211427b8134b6db35f5af,f3d44457c2d56fad8c0b2c0888ad451c0f13a99c39ede10acd6c0e14ee01e6a4
087,1,tensor,3974071,3669875,1.0828900166899418,178a3673bd238b20772211427b8134b6db35f5af,dd936b662cc8f41473692d5f94c2db824374e1e0c7de81abd8bb36ef798b989e
088,1,tensor,243623,236317,1.030916099984343,178a3673bd238b20772211427b8134b6db35f5af,fa13827bf0b5a861f5bf938c4606cdce593e31cd7b30a520dfe956d9b15772e3
089,1,tensor,693092,596316,1.1622897926602673,178a3673bd238b20772211427b8134b6db35f5af,34f8ad87e68dff2b8aa0d8a7df11f9c8edaf70ed60696bb0e2b7dc74584d95e7
090,1,tensor,1178363,845083,1.3943754637118484,178a3673bd238b20772211427b8134b6db35f5af,810baba1cca4c211470357f75bc8a35042bca4badf12e5bbd53cc494501c2436
091,1,tensor,9186769,9343023,0.9832758626410317,178a3673bd238b20772211427b8134b6db35f5af,ba542af6a5b7474fa851683dae746cab48b1e5a03f2e39b74360ed5a543bf0fc
092,1,tensor,4815554,4749303,1.0139496258714173,178a3673bd238b20772211427b8134b6db35f5af,e743d5666a43ccc36065f5a8a9640683e9031353134ae99042368bd55d35b277
093,1,tensor,74205,86917,0.853745527342177,178a3673bd238b20772211427b8134b6db35f5af,de1b4e49c317b9585106dd87065ec5c977354cebb680a8934affc9ef55cef4c4
094,1,tensor,94892,94422,1.0049776535129524,178a3673bd238b20772211427b8134b6db35f5af,a4483da856a08391b0721f065b51c996e2baace12e106c75b833b51508ad6dcd
095,1,tensor,2084853,1070301,1.9479127834132641,178a3673bd238b20772211427b8134b6db35f5af,a0c7fbdd934e762e5b6af33bc9eacda737abe6d3542c5afec84371cafe7da36d
096,1,tensor,84194,80704,1.043244448850119,178a3673bd238b20772211427b8134b6db35f5af,0e3dd5df29562b695b700e49b999f6db900324a9b73a21abfce025c22c668772
097,1,tensor,11491509,10977203,1.046852189943103,178a3673bd238b20772211427b8134b6db35f5af,0b1849b6f9d30440ebec402a8ca1412932877177234457833b68447f1abb9722
098,1,tensor,177430,162771,1.090059040000983,178a3673bd238b20772211427b8134b6db35f5af,5daf48ed460c9dd7005b8e341bf5fb6abf10968a7f535d8419ce34e9036f5e0d
099,1,tensor,1622999,1599149,1.014914182480807,178a3673bd238b20772211427b8134b6db35f5af,90d6dc99a6709830c0246d026ed6e746ca75c1891ad7fa4cd7e08606e9ca8230
100,1,tensor,151223,140537,1.0760369155453724,178a3673bd238b20772211427b8134b6db35f5af,52053fcbd69c254d52f9dd58895a3e1e754dbb00436e830eeb08023af282a0ab
001,2,tensor,233110,149436,1.5599320110281325,178a3673bd238b20772211427b8134b6db35f5af,625cb7c4748895ad6c8d0937ab14c06d2f099adf2ff1e73ad09c282dfda68b60
002,2,tensor,261945,126790,2.065975234639956,178a3673bd238b20772211427b8134b6db35f5af,22ffcd7028223b1e6cc5bcc6e4d1c6b46bf1354a304423ed3657f1e878fd5302
003,2,tensor,602212,511949,1.176312484251361,178a3673bd238b20772211427b8134b6db35f5af,c291cb0c693408037a83d17c5ce1a9e3bea9f577e2c97d2595dfb93cb2b8a1a9
004,2,tensor,392357,251460,1.5603157559850473,178a3673bd238b20772211427b8134b6db35f5af,7d2eece46c8db1b9233e59ff0b667ca40744a779936d431c581014ca3ddac14c
