case_id,cores,graph_sha256,B,U,L,window_L,separator_L,current_speedup,speedup_upper,max_makespan_reduction,max_relative_speedup_gain,extra_ddr_bytes,spill_bytes,selected,old_conditional_scalar,old_scalar_certified_by_domination
012,1,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,59088,59088,35613,35613,35572,1.0,1.6591694044309662,0.39728878960194963,0.6591694044309662,0,0,bounded,35632,False
012,2,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,59088,30094,17827,17827,17786,1.9634478633614674,3.31452291467998,0.4076227819498903,0.6881135356481741,28800,0,bounded,17846,False
012,3,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,59088,21894,11899,11899,11858,2.6988215949575225,4.965795444995377,0.4565177674248653,0.8399865534918901,20160,0,bounded,11918,False
012,4,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,59088,17253,8934,8934,8893,3.424795687706486,6.6138347884486235,0.4821770126934446,0.9311618535930154,39168,0,bounded,9528,False
012,5,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,59088,14300,7156,7156,7115,4.132027972027972,8.257126886528788,0.4995804195804196,0.9983230855226384,49536,0,bounded,9528,False
013,1,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,263949,263949,263844,263844,263712,1.0,1.0003979624323465,0.00039780412125069614,0.0003979624323463865,0,0,bounded,263914,False
013,2,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,263949,132198,131988,131988,131856,1.9966187083011846,1.9997954359487227,0.0015885263014569055,0.0015910537321574688,8192,0,bounded,132058,False
013,3,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,263949,88351,88036,88036,87904,2.98750438591527,2.9981939206688173,0.0035653246709148735,0.003578081693852515,16384,0,bounded,88106,False
013,4,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,263949,66982,66060,66060,65928,3.9405959810098237,3.995594913714805,0.013764892060553582,0.013957008779897064,24576,0,bounded,66130,False
013,5,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,263949,54363,52875,52875,52743,4.855305998565201,4.991943262411348,0.027371557861045195,0.028141843971631206,32768,0,bounded,52945,False
014,1,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,17698626,17579821,17225868,17225868,17225748,1.0067580324054495,1.0274446547483123,0.02013405028412974,0.020547759915494533,78349728,24469920,bounded,17225972,False
014,2,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,17698626,8752017,8612994,8612994,8612874,2.02223396046877,2.0548749946882583,0.01588468121119966,0.01614107707494049,84650712,8305152,shared-input,8613098,False
014,3,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,17698626,5882800,5742036,5742036,5741916,3.008537771129394,3.082291020118996,0.023928061467328482,0.02451464950759626,97191984,6428160,shared-input,5742140,False
014,4,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,17698626,4500863,4306557,4306557,4306437,3.9322738772542065,4.109692731339676,0.04317083190490357,0.04511864117902074,83812344,54417408,fork-frontier,4306661,False
014,5,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,17698626,3642307,3445270,3445270,3445150,4.859180184427068,5.137079532228244,0.05409675790645874,0.05719058303122832,105360432,9870336,shared-input,3445374,False
