unit,slot,charged_index,phase,status,makespan,best_so_far,added_copy_bytes,spill_bytes,wall_seconds,timeout_seconds,completed_elapsed,plan,plan_sha256,output
002-M2,16,16,explore,ok,243010,132209,500736,15360,0.6869999999998981,120,23.76600000000053,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-18/plan.json,b5593c825a7dd1783b025ff4e67cc5eec7c6c775f8535ff0d98b3956fdd76811,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-16-explore
002-M2,17,17,explore,ok,167800,132209,546816,61440,0.8130000000001019,120,25.73400000000038,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-20/plan.json,cdf03b3eb3bd879bdd1014ea91e021705efdf993f2f875cbf9dac23dfcfc2471,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-17-explore
002-M2,18,18,explore,ok,204992,132209,595968,110592,0.7340000000003783,120,26.84400000000005,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-21/plan.json,cefbea0cef796fb6b260f6d9ce735be6535202d45f94e112e66f3aad7356cdd4,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-18-explore
002-M2,19,19,explore,ok,202456,132209,574464,89088,0.9369999999998981,120,28.14100000000053,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-22/plan.json,85ae640384e7e439527b4854b89e547506aa9ddb67784cba7cca07738d17a9e7,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-19-explore
002-M2,20,20,explore,ok,240562,132209,500736,15360,0.6090000000003783,120,29.09400000000005,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-23/plan.json,b45f5b5bdaacfe6e35704e84fec73827d6a7adca1edb11f582a3a91aeea79a69,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-20-explore
002-M2,21,21,explore,ok,166946,132209,546816,61440,0.6720000000004802,120,30.688000000000102,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-25/plan.json,a84cf713e2439d24e0a7acf70440bdf32ad88981c8080e9e7f32744c2c148a17,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-21-explore
002-M2,22,22,explore,ok,193380,132209,595968,110592,1.280999999999949,120,32.48400000000038,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-26/plan.json,86735aea18afcde97e29ce3a23ad3fbd39d2de2b9bd18c3a8734b18beb2459f4,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-22-explore
002-M2,23,23,explore,ok,188144,132209,552960,67584,0.7030000000004293,120,33.76600000000053,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-27/plan.json,a70aeb4546f9cdd037962d6002c0cc91267243a5a4bebd00b89b126ee27b9df1,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-23-explore
002-M2,24,24,explore,ok,226540,132209,485376,0,0.8130000000001019,120,35.23400000000038,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-28/plan.json,cdf222d0d9fcc7a44450379eb894c321e4bc179fa4f0e6bc80b4dadbe92e947c,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-24-explore
002-M2,25,25,explore,ok,155108,132209,497664,12288,0.8440000000000509,120,36.90599999999995,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-30/plan.json,679ba0475f9479515c4a7d4ba0728f70ccb58bcf5918352fd927ce75a567619d,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-25-explore
002-M2,32,26,final,ok,132209,132209,485376,0,1.030999999999949,105,38.01600000000053,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/baseline/plan.json,41c18c428c094bf2a07223ec2deffd3d174e3c26b3cef35064fd54c430c6b07e,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-26-final
008-D,1,1,initial,ok,123060,123060,0,0,0.5159999999996217,120,1.8429999999998472,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-D/baseline/plan.json,03eb9d26abdf010393909da7ca77da4d48ce4f990d276ebd1ed3b4a692d00208,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-D/eval-01-initial
008-D,32,2,final,ok,123060,123060,0,0,0.4219999999995707,105,2.311999999999898,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-D/baseline/plan.json,03eb9d26abdf010393909da7ca77da4d48ce4f990d276ebd1ed3b4a692d00208,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-D/eval-02-final
008-M1,1,1,initial,ok,123060,123060,0,0,0.4219999999995707,120,1.6409999999996217,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/baseline/plan.json,03eb9d26abdf010393909da7ca77da4d48ce4f990d276ebd1ed3b4a692d00208,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-01-initial
008-M1,2,2,explore,ok,375521,123060,8223744,0,0.5940000000000509,120,2.5159999999996217,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-01/plan.json,b4d17cba44e5db6ccf420bdf236d1596c3e4926e9a84b64c98d10ded53bd519b,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-02-explore
008-M1,3,3,explore,ok,375521,123060,8223744,0,1.094000000000051,120,4.234999999999673,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-02/plan.json,cd104f8d2d7c0f60d91656b8995d235167b3c164a5507361e8ea71b02263c100,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-03-explore
008-M1,4,4,explore,ok,302934,123060,4092288,0,0.5309999999999491,120,5.171999999999571,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-03/plan.json,7ce96755d45dfdc8a6f7cc34ae1adf9e4b7c140e768c96bf831548535c55cd0b,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-04-explore
008-M1,5,5,explore,ok,302934,123060,4092288,0,0.48399999999946886,120,5.938000000000102,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-04/plan.json,14c63cf716c73d64afc405eff0e49e35f6783ee22edc4f221849f3a4a843e477,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-05-explore
008-M1,6,6,explore,ok,233922,123060,9560064,9560064,0.875,120,7.155999999999949,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-05/plan.json,8ec0cd5d05b546889a3a1f6cc9ad2096c1a966bf4a4635c918b8a020237e687f,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-06-explore
008-M1,7,7,explore,ok,233922,123060,9560064,9560064,0.5309999999999491,120,8.015999999999622,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-06/plan.json,06ee67df5097ec3aafee555c1c1cb608585243dbb1b5e8bb2a723a7b0483176c,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-07-explore
008-M1,8,8,explore,ok,123060,123060,0,0,0.7650000000003274,120,9.67199999999957,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-09/plan.json,f2853882ba0b5e560c628416d6f16b7fbc3f1a425b3a04900c1a7ddac5cfbadf,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-08-explore
008-M1,9,9,explore,ok,123060,123060,0,0,1.094000000000051,120,11.32799999999952,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-10/plan.json,51de97493716be31d5d68fdd3cfad9ad7757f935a8f75b11d8b5441021b5fac2,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-09-explore
008-M1,10,10,explore,ok,145311,123060,0,0,0.5150000000003274,120,13.765999999999622,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-17/plan.json,40ecc25b173280f9cdf308ead5dba535d76bae915a343c68406b325aed28c2fa,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-10-explore
