case,cores,upper,lower,certified,domain,gap
034,1,755680,749233,1,at most one eligible producer per original tensor,0.008604799841971822
034,2,388399,374653,1,at most one eligible producer per original tensor,0.03668995043413514
034,3,262726,249793,1,at most one eligible producer per original tensor,0.051774869592022155
034,4,193847,187363,1,at most one eligible producer per original tensor,0.03460661923645536
034,5,164609,149905,1,at most one eligible producer per original tensor,0.09808878956672551
035,1,144188,143909,1,at most one eligible producer per original tensor,0.0019387251665983207
035,2,74267,71955,1,at most one eligible producer per original tensor,0.0321311931068029
035,3,51825,47970,1,at most one eligible producer per original tensor,0.0803627267041902
035,4,44023,35978,1,at most one eligible producer per original tensor,0.22360887208849856
035,5,43168,28782,1,at most one eligible producer per original tensor,0.49982628031408516
036,1,931510,931352,1,at most one eligible producer per original tensor,0.00016964584818635053
036,2,466068,465752,1,at most one eligible producer per original tensor,0.0006784726635633564
036,3,311345,310788,1,at most one eligible producer per original tensor,0.0017922184897742888
036,4,233584,232952,1,at most one eligible producer per original tensor,0.002713005254301404
036,5,187182,186392,1,at most one eligible producer per original tensor,0.00423837932958504
037,1,210533,209828,1,at most one eligible producer per original tensor,0.0033598947709552185
037,2,105906,105028,1,at most one eligible producer per original tensor,0.00835967551510075
037,3,74570,70216,1,at most one eligible producer per original tensor,0.062008658995100774
037,4,57428,52628,1,at most one eligible producer per original tensor,0.09120620202173746
037,5,46194,42148,1,at most one eligible producer per original tensor,0.09599506500901578
038,1,1329688,1325041,1,at most one eligible producer per original tensor,0.0035070612909335885
038,2,666070,662541,1,at most one eligible producer per original tensor,0.005326462815131494
038,3,445815,441708,1,at most one eligible producer per original tensor,0.009297997772284017
038,4,336414,331291,1,at most one eligible producer per original tensor,0.015463746374033693
038,5,270889,265041,1,at most one eligible producer per original tensor,0.02206451077380489
039,1,1425374,1377994,1,at most one eligible producer per original tensor,0.03438331371544434
039,2,710818,689054,1,at most one eligible producer per original tensor,0.0315853329347191
039,3,487917,459466,1,at most one eligible producer per original tensor,0.06192188322966219
039,4,409739,344584,1,at most one eligible producer per original tensor,0.18908306827943266
039,5,449653,275690,1,at most one eligible producer per original tensor,0.6310094671551381
040,1,189623,185751,1,at most one eligible producer per original tensor,0.020845109851360233
040,2,100596,92876,1,at most one eligible producer per original tensor,0.08312158146345672
040,3,70548,61917,1,at most one eligible producer per original tensor,0.13939628857987296
040,4,63489,46438,1,at most one eligible producer per original tensor,0.36717774236616574
040,5,59117,37151,1,at most one eligible producer per original tensor,0.5912626847191194
041,1,5919556,5895481,1,at most one eligible producer per original tensor,0.004083636263097157
041,2,2974004,2947861,1,at most one eligible producer per original tensor,0.008868464286477584
041,3,1994157,1965600,1,at most one eligible producer per original tensor,0.014528388278388205
041,4,1498613,1474200,1,at most one eligible producer per original tensor,0.016560168226834815
041,5,1204582,1179360,1,at most one eligible producer per original tensor,0.021386175552842168
042,1,1600513,1599150,1,at most one eligible producer per original tensor,0.0008523277991432376
042,2,802463,799612,1,at most one eligible producer per original tensor,0.0035654792574397742
042,3,537381,533100,1,at most one eligible producer per original tensor,0.00803038829487912
042,4,407648,399843,1,at most one eligible producer per original tensor,0.01952016166345283
042,5,336550,319890,1,at most one eligible producer per original tensor,0.052080402638406964
043,1,523799,517819,1,at most one eligible producer per original tensor,0.011548436809000862
043,2,271046,258943,1,at most one eligible producer per original tensor,0.04674001614254886
043,3,204584,172651,1,at most one eligible producer per original tensor,0.1849569362471113
043,4,167862,129505,1,at most one eligible producer per original tensor,0.29618161460947445
043,5,149013,103618,1,at most one eligible producer per original tensor,0.43809955799185474
044,1,74523,74448,1,at most one eligible producer per original tensor,0.001007414571244425
044,2,43795,37246,1,at most one eligible producer per original tensor,0.17583096171400947
044,3,43795,24846,1,at most one eligible producer per original tensor,0.7626579731143845
044,4,43795,18645,1,at most one eligible producer per original tensor,1.3488871010994905
044,5,43795,14925,1,at most one eligible producer per original tensor,1.9343383584589615
045,1,125614,125476,1,at most one eligible producer per original tensor,0.0010998119162231035
045,2,63245,62776,1,at most one eligible producer per original tensor,0.007471008028545834
045,3,42994,41876,1,at most one eligible producer per original tensor,0.02669786990161427
045,4,33079,31388,1,at most one eligible producer per original tensor,0.05387409200968518
045,5,29103,25156,1,at most one eligible producer per original tensor,0.15690093814596917
046,1,209667,209388,1,at most one eligible producer per original tensor,0.001332454581924436
046,2,105322,104764,1,at most one eligible producer per original tensor,0.005326257111221366
046,3,79308,69890,1,at most one eligible producer per original tensor,0.1347546143940479
046,4,77846,52452,1,at most one eligible producer per original tensor,0.48413787844124156
046,5,77846,41990,1,at most one eligible producer per original tensor,0.8539175994284354
047,1,275911,259370,1,at most one eligible producer per original tensor,0.06377375949415898
047,2,145662,129753,1,at most one eligible producer per original tensor,0.12260988185244281
047,3,107851,86610,1,at most one eligible producer per original tensor,0.24524881653388753
047,4,104047,65039,1,at most one eligible producer per original tensor,0.599763218991682
047,5,100166,52157,1,at most one eligible producer per original tensor,0.9204708859788715
048,1,152582,139616,1,at most one eligible producer per original tensor,0.09286901214760479
048,2,106510,76794,1,at most one eligible producer per original tensor,0.38695731437351877
048,3,95762,75960,1,at most one eligible producer per original tensor,0.2606898367561874
048,4,95148,75960,1,at most one eligible producer per original tensor,0.25260663507109005
048,5,95213,75960,1,at most one eligible producer per original tensor,0.25346234860452865
049,1,166132,165715,1,at most one eligible producer per original tensor,0.0025163684639291084
049,2,85275,82858,1,at most one eligible producer per original tensor,0.029170387892539118
049,3,61553,55239,1,at most one eligible producer per original tensor,0.1143033002045657
049,4,55135,41429,1,at most one eligible producer per original tensor,0.3308310603683411
049,5,47658,33143,1,at most one eligible producer per original tensor,0.43795069848836854
050,1,133811,133411,1,at most one eligible producer per original tensor,0.002998253517326077
050,2,70491,66706,1,at most one eligible producer per original tensor,0.05674152250172404
050,3,49868,44471,1,at most one eligible producer per original tensor,0.12135998740752396
