cores,gap,cdf
3,0.0017922184897742888,0.029999999999999999
3,0.0018935215824693596,0.040000000000000001
3,0.0025990848529708899,0.050000000000000003
3,0.0035780816938524307,0.059999999999999998
3,0.0050611207411948023,0.070000000000000007
3,0.0061621581919439894,0.080000000000000002
3,0.0071421244293994324,0.089999999999999997
3,0.0080303882948791205,0.10000000000000001
3,0.0092979977722840168,0.11
3,0.0096572884962760064,0.12
3,0.011118307426597474,0.13
3,0.011964832799576497,0.14000000000000001
3,0.012707761820235586,0.14999999999999999
3,0.012798092058916799,0.16
3,0.014528388278388205,0.17000000000000001
3,0.014600388479033555,0.17999999999999999
3,0.015647530641672569,0.19
3,0.016777114056374831,0.20000000000000001
3,0.018684607683043142,0.20999999999999999
3,0.019206490227251516,0.22
3,0.02210400631413667,0.23000000000000001
3,0.026403925804339146,0.23999999999999999
3,0.026697869901614268,0.25
3,0.027906735751295431,0.26000000000000001
3,0.031740701828436135,0.27000000000000002
3,0.038693679681327531,0.28000000000000003
3,0.045191086174041883,0.28999999999999998
3,0.046764189089061547,0.29999999999999999
3,0.047207579444528358,0.31
3,0.048957818784842289,0.32000000000000001
3,0.050969670203657946,0.33000000000000002
3,0.051392691043424366,0.34000000000000002
3,0.051774869592022155,0.34999999999999998
3,0.055913237204818333,0.35999999999999999
3,0.057788099209005184,0.37
3,0.057864833906071,0.38
3,0.05817383928900699,0.39000000000000001
3,0.061921883229662189,0.40000000000000002
3,0.062008658995100774,0.40999999999999998
3,0.065152070675326579,0.41999999999999998
3,0.066060236285983676,0.42999999999999999
3,0.073249223839056077,0.44
3,0.073664122137404586,0.45000000000000001
3,0.077152529266845349,0.46000000000000002
3,0.077375904215515101,0.46999999999999997
3,0.080362726704190202,0.47999999999999998
3,0.082825450429381275,0.48999999999999999
3,0.084496933315933775,0.5
3,0.087747758736354209,0.51000000000000001
3,0.087846321252197157,0.52000000000000002
3,0.10153578672848451,0.53000000000000003
3,0.10492196878751492,0.54000000000000004
3,0.1113573242784045,0.55000000000000004
3,0.11430330020456569,0.56000000000000005
3,0.12135998740752396,0.56999999999999995
3,0.1213840830449826,0.57999999999999996
3,0.12143275996872549,0.58999999999999997
3,0.1222060978227395,0.59999999999999998
3,0.12399426029694283,0.60999999999999999
3,0.12590120627131962,0.62
3,0.12603506275067922,0.63
3,0.12823845078147778,0.64000000000000001
3,0.1347546143940479,0.65000000000000002
3,0.13939628857987296,0.66000000000000003
3,0.14145984610382567,0.67000000000000004
3,0.15426312817617172,0.68000000000000005
3,0.15622466079247532,0.68999999999999995
3,0.15950797539877004,0.69999999999999996
3,0.16282608695652168,0.70999999999999996
3,0.17518248175182483,0.71999999999999997
3,0.17622703355473135,0.72999999999999998
3,0.17874871619308452,0.73999999999999999
3,0.18252032520325212,0.75
3,0.18428686045793996,0.76000000000000001
3,0.18495693624711129,0.77000000000000002
3,0.20175573758885923,0.78000000000000003
3,0.20370390429098317,0.79000000000000004
3,0.2065744643991454,0.80000000000000004
3,0.21028944581715492,0.81000000000000005
3,0.21706908213981113,0.81999999999999995
3,0.22167706085774253,0.82999999999999996
3,0.24524881653388753,0.83999999999999997
3,0.2495111952065594,0.84999999999999998
3,0.2606898367561874,0.85999999999999999
3,0.26119842003529703,0.87
3,0.33257040569531182,0.88
3,0.35061041838641005,0.89000000000000001
3,0.35409741292094243,0.90000000000000002
3,0.35960152607036888,0.91000000000000003
3,0.36667832879902673,0.92000000000000004
3,0.47678013229020944,0.93000000000000005
3,0.61132443395885749,0.93999999999999995
3,0.62418916880374109,0.94999999999999996
3,0.74869256630556591,0.95999999999999996
3,0.76265797311438455,0.96999999999999997
3,0.77508710801393721,0.97999999999999998
3,1.1133884919142534,0.98999999999999999
3,1.1252293577981654,1
4,0.0011870748299320777,0.01
4,0.0027040208862303405,0.02
4,0.0027130052543014038,0.029999999999999999
4,0.0027360253903156995,0.040000000000000001
4,0.0033319450229070124,0.050000000000000003
4,0.0034013605442175798,0.059999999999999998
4,0.0037501896772236254,0.070000000000000007
4,0.0037983612784198151,0.080000000000000002
4,0.006883477739880739,0.089999999999999997
4,0.0081795004074796118,0.10000000000000001
4,0.0097382821018647814,0.11
4,0.010830819851933127,0.12
4,0.012134324146364506,0.13
4,0.013412049651831737,0.14000000000000001
4,0.014982246470944816,0.14999999999999999
4,0.015463746374033693,0.16
4,0.016560168226834815,0.17000000000000001
4,0.019520161663452829,0.17999999999999999
4,0.019651590665610952,0.19
4,0.019765879869506842,0.20000000000000001
4,0.020856476338591445,0.20999999999999999
4,0.023704206416746088,0.22
4,0.02450150895698755,0.23000000000000001
4,0.02734741393783624,0.23999999999999999
4,0.028805822847273621,0.25
4,0.033493626209629923,0.26000000000000001
4,0.034375300616168225,0.27000000000000002
4,0.03460661923645536,0.28000000000000003
4,0.036362440545308461,0.28999999999999998
4,0.036401999979339017,0.29999999999999999
4,0.03706205108233207,0.31
4,0.039854110836104129,0.32000000000000001
4,0.045030678017569103,0.33000000000000002
4,0.051973056767181891,0.34000000000000002
4,0.053874092009685182,0.34999999999999998
4,0.060083762886598002,0.35999999999999999
4,0.063094565233348554,0.37
4,0.072162414884434645,0.38
4,0.072792935135287617,0.39000000000000001
4,0.089137171350505806,0.40000000000000002
4,0.091206202021737459,0.40999999999999998
4,0.097362412881518923,0.41999999999999998
4,0.1101908001774885,0.42999999999999999
4,0.12897972748421394,0.44
4,0.12903879266686924,0.45000000000000001
4,0.12963418231881207,0.46000000000000002
4,0.1300513239457699,0.46999999999999997
4,0.13816763569390766,0.47999999999999998
4,0.14493480441323969,0.48999999999999999
4,0.1665510483419399,0.5
4,0.17229280665085356,0.51000000000000001
4,0.17764797582732705,0.52000000000000002
4,0.18420940092616345,0.53000000000000003
4,0.18519513614954675,0.54000000000000004
4,0.18908306827943266,0.55000000000000004
4,0.19982607206150726,0.56000000000000005
4,0.2025629209303359,0.56999999999999995
4,0.20456930411057472,0.57999999999999996
4,0.22046774177594153,0.58999999999999997
4,0.22360887208849856,0.59999999999999998
4,0.23702349430504777,0.60999999999999999
4,0.24130022144890861,0.62
4,0.24316795904539634,0.63
4,0.25260663507109005,0.64000000000000001
4,0.25599700759485433,0.65000000000000002
4,0.28201226140266966,0.66000000000000003
4,0.29618161460947445,0.67000000000000004
4,0.32239086951406049,0.68000000000000005
4,0.33083106036834109,0.68999999999999995
4,0.35892967564225087,0.69999999999999996
4,0.36104347826086958,0.70999999999999996
4,0.36717774236616574,0.71999999999999997
4,0.37405881720815271,0.72999999999999998
