case,cores,upper,lower,certified,domain,gap,applicability
050,1,133811,133411,1,global,0.002998253517326077,at most one eligible producer per original tensor
050,2,70491,66706,1,global,0.05674152250172404,at most one eligible producer per original tensor
050,3,49868,44471,1,global,0.12135998740752396,at most one eligible producer per original tensor
050,4,40176,33353,1,global,0.20456930411057472,at most one eligible producer per original tensor
050,5,35268,26683,1,global,0.3217404339841847,at most one eligible producer per original tensor
051,1,607628,607080,1,global,0.0009026816893984435,at most one eligible producer per original tensor
051,2,317840,303547,1,global,0.047086612616827006,at most one eligible producer per original tensor
051,3,228325,202373,1,global,0.12823845078147778,at most one eligible producer per original tensor
051,4,182118,151787,1,global,0.19982607206150726,at most one eligible producer per original tensor
051,5,168773,121437,1,global,0.38979882572856717,at most one eligible producer per original tensor
052,1,142046,141589,1,global,0.0032276518656111364,at most one eligible producer per original tensor
052,2,72917,70825,1,global,0.029537592657959744,at most one eligible producer per original tensor
052,3,49446,47237,1,global,0.04676418908906155,at most one eligible producer per original tensor
052,4,38023,35443,1,global,0.07279293513528762,at most one eligible producer per original tensor
052,5,32160,28367,1,global,0.13371170726548454,at most one eligible producer per original tensor
053,1,1228587,1212831,1,global,0.012991092740868293,at most one eligible producer per original tensor
053,2,633140,606468,1,global,0.04397923715678331,at most one eligible producer per original tensor
053,3,449374,404347,1,global,0.1113573242784045,at most one eligible producer per original tensor
053,4,370152,303287,1,global,0.22046774177594153,at most one eligible producer per original tensor
053,5,337612,242651,1,global,0.39134806780108056,at most one eligible producer per original tensor
054,1,675266,574313,1,global,0.17578045421225008,at most one eligible producer per original tensor
054,2,359271,287205,1,global,0.2509218154280044,at most one eligible producer per original tensor
054,3,261723,191503,1,global,0.36667832879902673,at most one eligible producer per original tensor
054,4,210483,143651,1,global,0.4652386687179344,at most one eligible producer per original tensor
054,5,190685,114941,1,global,0.6589815644548072,at most one eligible producer per original tensor
055,1,70981,69049,1,global,0.027980130052571273,at most one eligible producer per original tensor
055,2,38196,34525,1,global,0.10632874728457642,at most one eligible producer per original tensor
055,3,31087,23017,1,global,0.35061041838641005,at most one eligible producer per original tensor
055,4,28242,17263,1,global,0.6359844754677635,at most one eligible producer per original tensor
055,5,21144,13810,1,global,0.5310644460535843,at most one eligible producer per original tensor
056,1,246382,245953,1,global,0.0017442356873060838,at most one eligible producer per original tensor
056,2,126755,122977,1,global,0.03072119176756627,at most one eligible producer per original tensor
056,3,89179,81985,1,global,0.08774775873635421,at most one eligible producer per original tensor
056,4,77230,61489,1,global,0.25599700759485433,at most one eligible producer per original tensor
056,5,69685,49191,1,global,0.4166209265922629,at most one eligible producer per original tensor
057,1,51663,47565,1,global,0.08615578681803848,at most one eligible producer per original tensor
057,2,25986,23783,1,global,0.092629188916453,at most one eligible producer per original tensor
057,3,19811,15855,1,global,0.2495111952065594,at most one eligible producer per original tensor
057,4,16939,11892,1,global,0.4244029599730912,at most one eligible producer per original tensor
057,5,16210,9513,1,global,0.7039840218648166,at most one eligible producer per original tensor
058,1,4519395,4359008,1,global,0.036794380739838095,at most one eligible producer per original tensor
058,2,2265259,2179744,1,global,0.03923167124212745,at most one eligible producer per original tensor
058,3,1509251,1453028,1,global,0.03869367968132753,at most one eligible producer per original tensor
058,4,1158637,1089872,1,global,0.06309456523334855,at most one eligible producer per original tensor
058,5,1082199,871832,1,global,0.2412930472843391,at most one eligible producer per original tensor
059,1,826573,737868,1,global,0.12021797936758327,at most one eligible producer per original tensor
