cores,gap,cdf
1,0.03193040024786642,0.7
1,0.0321287408243931,0.71
1,0.03370393678763728,0.72
1,0.03438331371544434,0.73
1,0.03591044962076606,0.74
1,0.036794380739838095,0.75
1,0.03747459349593485,0.76
1,0.03838524273266608,0.77
1,0.03942626495603285,0.78
1,0.04401060141805768,0.79
1,0.044572616639373175,0.8
1,0.047309518426407404,0.81
1,0.05020703635662094,0.82
1,0.05942127135700459,0.83
1,0.060172089729853884,0.84
1,0.060292582107064785,0.85
1,0.06377375949415898,0.86
1,0.06387079983437105,0.87
1,0.06563833955416243,0.88
1,0.08615578681803848,0.89
1,0.09286901214760479,0.9
1,0.1042076021410665,0.91
1,0.11525863615083076,0.92
1,0.1189805688538439,0.93
1,0.12021797936758327,0.94
1,0.12879198399952707,0.95
1,0.13546967997929782,0.96
1,0.13669405815423508,0.97
1,0.14761796561387563,0.98
1,0.15057156465825194,0.99
1,0.17578045421225008,1.0
2,0.0001752111890205299,0.01
2,0.0006784726635633564,0.02
2,0.0008256844747784875,0.03
2,0.0008615691174429507,0.04
2,0.0009377405331569832,0.05
2,0.0009500800781780949,0.06
2,0.0011551488235426177,0.07
2,0.001339068589367054,0.08
2,0.0015910537321575102,0.09
2,0.0018914313349656098,0.1
2,0.001967676039413613,0.11
2,0.002711236186423216,0.12
2,0.0035654792574397742,0.13
2,0.0037486457204767287,0.14
2,0.0038989670965920986,0.15
2,0.0040005530917686105,0.16
2,0.004092442831143073,0.17
2,0.004941469967376655,0.18
2,0.005134737789532107,0.19
2,0.005326257111221366,0.2
2,0.005326462815131494,0.21
2,0.0053759390404028995,0.22
2,0.00649766425852305,0.23
2,0.007309395507656191,0.24
2,0.007384195339890098,0.25
2,0.007471008028545834,0.26
2,0.00835967551510075,0.27
2,0.008868464286477584,0.28
2,0.00898136029245844,0.29
2,0.013209007838312248,0.3
2,0.01582597178170575,0.31
2,0.01722166906368705,0.32
2,0.017369157354855336,0.33
2,0.018008920306319842,0.34
2,0.019156159068865142,0.35
2,0.02239563423539792,0.36
2,0.024611047866861746,0.37
2,0.025224492513745478,0.38
2,0.029170387892539118,0.39
2,0.029537592657959744,0.4
2,0.030050205812648167,0.41
2,0.03072119176756627,0.42
2,0.0315853329347191,0.43
2,0.0321311931068029,0.44
2,0.033285004857505074,0.45
2,0.0335379381748262,0.46
2,0.03404678302035391,0.47
2,0.03549597099898549,0.48
2,0.03668995043413514,0.49
2,0.03669133760763832,0.5
