case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path
001,P2,1,official_singlecore_baseline,ok,233110,233110,1.0,,,"{""original_graph_copy_bytes"": 1639552, ""scheduled_copy_bytes"": 1639552, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/001/e0/result.json.gz
001,P2,2,q2_contiguous_baseline,ok,116868,233110,1.9946435294520313,0.3709954000005382,0.6553737000003821,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1640704,""added_copy_bytes"":1152,""partition_added_copy_bytes"":1152,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/001/k2/e0/result.json.gz
001,P2,3,q2_contiguous_baseline,ok,81054,233110,2.8759839119599278,0.3306466999993063,0.6609879999996338,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1666432,""added_copy_bytes"":26880,""partition_added_copy_bytes"":26880,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/001/k3/e0/result.json.gz
001,P2,4,q2_contiguous_baseline,ok,58984,233110,3.952088702020887,0.3145491999994192,0.616540800000621,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1643008,""added_copy_bytes"":3456,""partition_added_copy_bytes"":3456,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/001/k4/e0/result.json.gz
001,P2,5,q2_contiguous_baseline,ok,47502,233110,4.9073723211654245,0.32464640000034706,0.6654533000000811,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1644160,""added_copy_bytes"":4608,""partition_added_copy_bytes"":4608,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/001/k5/e0/result.json.gz
002,P2,1,official_singlecore_baseline,ok,261945,261945,1.0,,,"{""original_graph_copy_bytes"": 1224192, ""scheduled_copy_bytes"": 1224192, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/002/e0/result.json.gz
002,P2,2,q2_contiguous_baseline,ok,263397,261945,0.9944874087404184,0.38653700000031677,1.1369236000000456,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":1542144,""added_copy_bytes"":317952,""partition_added_copy_bytes"":317952,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/002/k2/e0/result.json.gz
002,P2,3,q2_contiguous_baseline,ok,166834,261945,1.5700936259994964,0.407876700000088,1.1845428000005995,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":1649664,""added_copy_bytes"":425472,""partition_added_copy_bytes"":425472,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/002/k3/e0/result.json.gz
002,P2,4,q2_contiguous_baseline,ok,132209,261945,1.9812947681322755,0.4044443000002502,1.0357511000001978,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":1709568,""added_copy_bytes"":485376,""partition_added_copy_bytes"":485376,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/002/k4/e0/result.json.gz
002,P2,5,q2_contiguous_baseline,ok,108100,261945,2.423172987974098,0.37497259999963717,0.9995771000003515,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":1755648,""added_copy_bytes"":531456,""partition_added_copy_bytes"":531456,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/002/k5/e0/result.json.gz
003,P2,1,official_singlecore_baseline,ok,602212,602212,1.0,,,"{""original_graph_copy_bytes"": 1284264, ""scheduled_copy_bytes"": 1284264, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/003/e0/result.json.gz
003,P2,2,q2_contiguous_baseline,ok,600717,602212,1.0024886926789154,0.8931373999994321,7.249953900000037,"{""original_graph_copy_bytes"":1284264,""scheduled_copy_bytes"":1383214,""added_copy_bytes"":98950,""partition_added_copy_bytes"":98950,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/003/k2/e0/result.json.gz
003,P2,3,q2_contiguous_baseline,ok,599323,602212,1.004820439062075,0.870073300000513,6.0493918999991365,"{""original_graph_copy_bytes"":1284264,""scheduled_copy_bytes"":1541620,""added_copy_bytes"":257356,""partition_added_copy_bytes"":257356,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/003/k3/e0/result.json.gz
003,P2,4,q2_contiguous_baseline,ok,595214,602212,1.0117571159280527,0.864858799999638,5.381572600000254,"{""original_graph_copy_bytes"":1284264,""scheduled_copy_bytes"":1593272,""added_copy_bytes"":309008,""partition_added_copy_bytes"":309008,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/003/k4/e0/result.json.gz
003,P2,5,q2_contiguous_baseline,ok,594167,602212,1.0135399643534562,0.9015410000001793,5.045024600000033,"{""original_graph_copy_bytes"":1284264,""scheduled_copy_bytes"":1719422,""added_copy_bytes"":435158,""partition_added_copy_bytes"":435158,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/003/k5/e0/result.json.gz
004,P2,1,official_singlecore_baseline,ok,392357,392357,1.0,,,"{""original_graph_copy_bytes"": 792576, ""scheduled_copy_bytes"": 792576, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/004/e0/result.json.gz
004,P2,2,q2_contiguous_baseline,ok,199780,392357,1.9639453398738613,0.3824082000000999,0.7012803999996322,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":930816,""added_copy_bytes"":138240,""partition_added_copy_bytes"":138240,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/004/k2/e0/result.json.gz
004,P2,3,q2_contiguous_baseline,ok,134043,392357,2.927098020784375,0.35170749999997497,0.6692570999994132,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1013760,""added_copy_bytes"":221184,""partition_added_copy_bytes"":221184,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/004/k3/e0/result.json.gz
004,P2,4,q2_contiguous_baseline,ok,113282,392357,3.463542310340566,0.3418924999996307,0.6587093999996796,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1176576,""added_copy_bytes"":384000,""partition_added_copy_bytes"":384000,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/004/k4/e0/result.json.gz
004,P2,5,q2_contiguous_baseline,ok,97615,392357,4.019433488705629,0.358579999999165,0.6614304000004267,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1327104,""added_copy_bytes"":534528,""partition_added_copy_bytes"":534528,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/004/k5/e0/result.json.gz
005,P2,1,official_singlecore_baseline,ok,95618,95618,1.0,,,"{""original_graph_copy_bytes"": 333414, ""scheduled_copy_bytes"": 333414, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/005/e0/result.json.gz
005,P2,2,q2_contiguous_baseline,ok,95477,95618,1.0014767954585921,0.49280459999954473,1.8215812000007645,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":432972,""added_copy_bytes"":99558,""partition_added_copy_bytes"":99558,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/005/k2/e0/result.json.gz
005,P2,3,q2_contiguous_baseline,ok,91156,95618,1.0489490543683355,0.5805320999998003,1.666506799999297,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":391986,""added_copy_bytes"":58572,""partition_added_copy_bytes"":58572,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/005/k3/e0/result.json.gz
005,P2,4,q2_contiguous_baseline,ok,95087,95618,1.005584359586484,0.5742902000001777,1.6881012000003466,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":604054,""added_copy_bytes"":270640,""partition_added_copy_bytes"":270640,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/005/k4/e0/result.json.gz
005,P2,5,q2_contiguous_baseline,ok,95825,95618,0.9978398121575789,0.48020869999982096,1.6180936000000656,"{""original_graph_copy_bytes"":333414,""scheduled_copy_bytes"":681242,""added_copy_bytes"":347828,""partition_added_copy_bytes"":347828,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/005/k5/e0/result.json.gz
006,P2,1,official_singlecore_baseline,ok,82837,82837,1.0,,,"{""original_graph_copy_bytes"": 543348, ""scheduled_copy_bytes"": 559748, ""added_copy_bytes"": 16400, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 16400}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/006/e0/result.json.gz
006,P2,2,q2_contiguous_baseline,ok,56475,82837,1.4667906153165118,0.3571590000001379,0.679502599999978,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":581268,""added_copy_bytes"":37920,""partition_added_copy_bytes"":21520,""spill_added_copy_bytes"":16400}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/006/k2/e0/result.json.gz
006,P2,3,q2_contiguous_baseline,ok,43259,82837,1.9149078804410642,0.3432284000000436,0.6526585000001432,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":797360,""added_copy_bytes"":254012,""partition_added_copy_bytes"":254012,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/006/k3/e0/result.json.gz
006,P2,4,q2_contiguous_baseline,ok,49336,82837,1.6790376195881305,0.3373154999999315,0.6474175000003015,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":892576,""added_copy_bytes"":349228,""partition_added_copy_bytes"":349228,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/006/k4/e0/result.json.gz
006,P2,5,q2_contiguous_baseline,ok,47039,82837,1.7610280830799974,0.3495138999996925,0.6678138999996008,"{""original_graph_copy_bytes"":543348,""scheduled_copy_bytes"":835836,""added_copy_bytes"":292488,""partition_added_copy_bytes"":292488,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/006/k5/e0/result.json.gz
007,P2,1,official_singlecore_baseline,ok,1012562,1012562,1.0,,,"{""original_graph_copy_bytes"": 1732608, ""scheduled_copy_bytes"": 1732608, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/007/e0/result.json.gz
007,P2,2,q2_contiguous_baseline,ok,508114,1012562,1.9927850836623278,0.4784911999995529,1.9069343000001027,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":1774080,""added_copy_bytes"":41472,""partition_added_copy_bytes"":41472,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/007/k2/e0/result.json.gz
007,P2,3,q2_contiguous_baseline,ok,338094,1012562,2.994912657426633,0.4739846000002217,1.8999113999998372,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":1787904,""added_copy_bytes"":55296,""partition_added_copy_bytes"":55296,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/007/k3/e0/result.json.gz
007,P2,4,q2_contiguous_baseline,ok,259822,1012562,3.8971372709008474,0.5148302999996304,1.7059089999993375,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":1841664,""added_copy_bytes"":109056,""partition_added_copy_bytes"":109056,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/007/k4/e0/result.json.gz
007,P2,5,q2_contiguous_baseline,ok,203834,1012562,4.967581463347626,0.4961396999997305,1.8495430999992095,"{""original_graph_copy_bytes"":1732608,""scheduled_copy_bytes"":1843200,""added_copy_bytes"":110592,""partition_added_copy_bytes"":110592,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/007/k5/e0/result.json.gz
008,P2,1,official_singlecore_baseline,ok,487605,487605,1.0,,,"{""original_graph_copy_bytes"": 2654424, ""scheduled_copy_bytes"": 2654424, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/008/e0/result.json.gz
008,P2,2,q2_contiguous_baseline,ok,244266,487605,1.9962049568912579,0.33679579999989073,0.8019344000003912,"{""original_graph_copy_bytes"":2654424,""scheduled_copy_bytes"":2654424,""added_copy_bytes"":0,""partition_added_copy_bytes"":0,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/008/k2/e0/result.json.gz
008,P2,3,q2_contiguous_baseline,ok,163359,487605,2.984867684057811,0.3847651999994923,0.7834234999991168,"{""original_graph_copy_bytes"":2654424,""scheduled_copy_bytes"":2654424,""added_copy_bytes"":0,""partition_added_copy_bytes"":0,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/008/k3/e0/result.json.gz
008,P2,4,q2_contiguous_baseline,ok,123060,487605,3.962335446123842,0.3328372000005402,0.7784362000002147,"{""original_graph_copy_bytes"":2654424,""scheduled_copy_bytes"":2654424,""added_copy_bytes"":0,""partition_added_copy_bytes"":0,""spill_added_copy_bytes"":0}",,,,,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cells/P2/008/k4/e0/result.json.gz
