case_id,cores,graph_sha256,compute_ops,critical_path_cycles,max_op_cycles,pipe_work_lower_cycles,M_work_cycles,V_work_cycles,lower_bound_cycles,official_baseline_cycles,speedup_upper,speedup_upper_exact,snapshot_best_cycles,snapshot_best_speedup,single_solver_cycles,single_solver_speedup,relaxed_headroom_speedup,relaxed_mean_contribution_div100,best_algorithm,best_solver_commit,best_record_id,best_result_sha256,single_solver_record_id,baseline_result_sha256
005,1,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,6894,438,63882,63882,60930,63882,95618,1.4967909583294199,47809/31941,90450,1.0571365395245993,90450,1.0571365395245993,0.43965441880482065,0.004396544188048207,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,537004c1c2e6d7fe828e74b1877456aaff4be067904456faa98ce935b0707753,f5108f54abb76c1728e93303b2e0523abdcaaafe0fd758cba5de4746d6afd7bb,537004c1c2e6d7fe828e74b1877456aaff4be067904456faa98ce935b0707753,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
005,2,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,6894,438,31941,63882,60930,31941,95618,2.9935819166588398,95618/31941,90450,1.0571365395245993,90450,1.0571365395245993,1.9364453771342405,0.019364453771342403,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,2783efee7aaa64ad7bd586ea0dd71ab2170a84ac171e1f0f39cd3ab322510668,726229d4ccee749b9f2a1762d5aabea3597bca3d07a6c2ed35a2370db294033c,5df5e103f9fbd3230c21c9e4632b337f8e62bccf4f88a7d11908d3d1b741971d,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
005,3,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,6894,438,21294,63882,60930,21294,95618,4.490372874988259,47809/10647,90450,1.0571365395245993,90450,1.0571365395245993,3.4332363354636604,0.0343323633546366,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,6bf8652d33aef9e49f5103b69eb38fefb182d7873e758ea6eff2c6f9788e040a,da4d20dee088b9fadb43719cfe2683fb3dbcfd55805429286d993ea0d1208eff,6bf8652d33aef9e49f5103b69eb38fefb182d7873e758ea6eff2c6f9788e040a,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
005,4,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,6894,438,15971,63882,60930,15971,95618,5.9869763947154215,95618/15971,90450,1.0571365395245993,90450,1.0571365395245993,4.9298398551908225,0.04929839855190823,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,4fd33db0b528f762e39dd3e53d5daa894bff34649cf67bd7043aa0bf8212dd51,f9a5fbffc9cfa9f428b5dc32b72f5e3e23186215aa31c73bb9e10e97e48480f1,80227f73023b4d0615b38e63a77feb532fb8f98d5acfc07c776a1e41252c0cf2,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
005,5,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,4113,6894,438,12777,63882,60930,12777,95618,7.483603349769116,95618/12777,90450,1.0571365395245993,90450,1.0571365395245993,6.426466810244517,0.06426466810244517,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,759265f9c8d58a27b0b23dee4ff856aa6d582bd2827838f6a20dfbfe7aabb66c,eb969ff46174dc4b95e8bdc35217425bb636560d543c3b3c58fa422e24573b6c,79b87793e4a19b25a0f7395d3a8ecf3cbb26250e12359d0ec65927c5cd6fdce8,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
006,1,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,2836,588,69000,18660,69000,69000,82837,1.200536231884058,82837/69000,71842,1.1530441802845133,71842,1.1530441802845133,0.047492051599544734,0.0004749205159954473,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,a2e7b94caa26a8d212f517496190578eb61ba1ff0324e87d244ae2baeff14454,63092510336529a0730cfcb551178d6e10888a06231b75d73c3f9d5cc311c70a,a2e7b94caa26a8d212f517496190578eb61ba1ff0324e87d244ae2baeff14454,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,2,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,2836,588,34500,18660,69000,34500,82837,2.401072463768116,82837/34500,38633,2.14420314239122,38633,2.14420314239122,0.256869321376896,0.00256869321376896,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,8d173882dd7764605d3e2d5463bd529ad6ed1178d733690bb451b8080c68a7c6,049af12392f9d9a365d0aefd5a40a4b1baa66ca0fb0fd184e29ed21a36775e56,97c39810c6bc2bd617f8cb4e721096ca26d729b6bdac8aa25421e8b90268cfe8,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,3,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,2836,588,23000,18660,69000,23000,82837,3.601608695652174,82837/23000,32079,2.5822812431808972,32079,2.5822812431808972,1.0193274524712768,0.010193274524712767,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,103aa9535572d6ebdfb6d16c99797133db779265a8fb15b60dbd4db63ca4ef5b,71d6974738334f203e56b06272d36207beee8871de0784572f07404112397f10,103aa9535572d6ebdfb6d16c99797133db779265a8fb15b60dbd4db63ca4ef5b,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,4,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,2836,588,17250,18660,69000,17250,82837,4.802144927536232,82837/17250,31425,2.636022275258552,31425,2.636022275258552,2.16612265227768,0.021661226522776796,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,32b596301227acdef055287c2ed33a0d483484ba384366e0bd9ccf526bf4e519,1c794ee3f829a49746d7a11c1df5fb49e8103fe0dcf57696b70a9c33da87c47e,363555e5a8814563cb0f84ce7ce681738a4ee33787e0a2eec32043c124aaadb7,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,5,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,678,2836,588,13800,18660,69000,13800,82837,6.00268115942029,82837/13800,31775,2.6069866247049567,31775,2.6069866247049567,3.395694534715333,0.03395694534715333,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,37e6ed62ec93a7209916ff2b3f6781eaa69b7cb2adce3918d5a4b35acc2adabf,f6d1eef503d77f24ce0012caccecadadbf9e59a1e1e07c2e9e44183ab508d7ae,37e6ed62ec93a7209916ff2b3f6781eaa69b7cb2adce3918d5a4b35acc2adabf,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
