case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
096,2,28547,84194,2.9493116614705572,398656,0,0.9528866000000562,1.1523856999992859,results/a/q2-yuanzhifang/feedback-20260924/round14f/096-gap_packet/run.json,15d81eb1c093a81d390ac30ddad47ec6991054e8412b292fb9d4d7d9d7de84fc,5bd2a3ebf801607eab8b99ec67a22e8859b01541d4f098b0df41f7a96ec06b1f
097,2,5282518,11491509,2.1753847312967034,12210176,9654272,1.1327055000001565,5.698327900001459,results/a/q2-yuanzhifang/feedback-20260924/round14f/097-gap_packet/run.json,7423545fe418d3cc46bdf790caeb2e62d2540833f720a46c7e066853e01bc224,b194336330993e9137a6d37e0b80e5efc1db21a952b040af7a3a59c468a79f2c
098,2,82752,177430,2.1441173627223513,1018810,0,1.4191354000031424,1.181112900001608,results/a/q2-yuanzhifang/feedback-20260924/round14f/098-gap_packet/run.json,9a562ae8bb0a2ad01ef3444725299f5bf534a3df381c48d623df3895d1a25bc3,93b5de964add3ccb7c612daa07599e7cbf0de5393c68fbc2b9df5a659e2f1088
099,2,801077,1622999,2.02602121893401,4488196,638976,3.03066310000213,3.7267403999976523,results/a/q2-yuanzhifang/feedback-20260924/round14f/099-gap_packet/run.json,508e2da1a8c1d061e215704bbe148e3c1bb7b9cd72d6aaf88f53cfbdd9af14cc,2a8a3d062bf4fccc1433993f5b7a02d64f71a35b10fd69b139cc44873b6094da
100,2,56525,151223,2.675329500221141,991474,66568,1.1231642000020656,1.13404680000167,results/a/q2-yuanzhifang/feedback-20260924/round14f/100-gap_packet/run.json,9d34ebaa57331753b23d9cd4cdecc1789082e7cdf623f6ef403b134b24620eff,b34c83d16a1321aa894b3765e676a3b3032786a3df17b0ffa1b1514c8c5eaf14
001,3,78545,233110,2.9678528232223567,2304,0,0.8115068000006431,1.1460087000014028,results/a/q2-yuanzhifang/feedback-20260924/round14g/001-gap_packet/run.json,2d70a1c9b7708339eed5b506f1245f8af8ee97202b26ce7b78189a346e35d6aa,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202
002,3,86935,261945,3.013113245528268,666624,0,1.002409600001556,2.060179699998116,results/a/q2-yuanzhifang/feedback-20260924/round14g/002-gap_packet/run.json,5abb40adbd08718ee1999155b210a3ce8ce953f70b68a96b5c521bbc67f2d29c,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754
003,3,206623,602212,2.914544847379043,7437764,0,5.318768199998885,10.031262699998479,results/a/q2-yuanzhifang/feedback-20260924/round13b/003-gap_packet/run.json,886b935643919f0563f47fe60c2c4180fca46c293825a3901494abdd6a5ca34b,ef488a35e99ccd3cd797e8b0dbf2c7d1a9d5bc6feff8206e071747dc01c8b36b
004,3,130926,392357,2.9967844431205415,1474560,1253376,0.7730759999976726,1.3355220000012196,results/a/q2-yuanzhifang/feedback-20260924/round14g/004-gap_packet/run.json,f818fadb5788f7b99a14116595ecfbaa753d5f33165179e8eaae015f90a58180,a2fb836bdffe6f71dc4464a8670ac68aaa201a6a561b1eebef97dd42ac09148c
005,3,49426,95618,1.9345688504026222,2394028,0,2.3280744000003324,3.5094468999996025,results/a/q2-yuanzhifang/feedback-20260924/round13b/005-gap_packet/run.json,5c32653ea862654b727d0e0adde4ecf1ce50356e38787d84308680c14199a546,bda37a23605f3460f42810691f801e1fa334195c1b8f78f72c34200ac5360668
006,3,28486,82837,2.9079898897704135,752596,0,0.9579602999983763,1.13217319999967,results/a/q2-yuanzhifang/feedback-20260924/round14g/006-gap_packet/run.json,7d691a996647456d02ab06f9fd3df778d7824a1dbbbcd130fabd7a0b10a317f0,ac73c133b6828c9e4eaa9fb3430b84183eb9907055ee2c3de0df346759affc0c
