case_id,cores,graph_sha256,config_sha256,B,U,L_safe_compute_window,L_safe_global,L_safe_separator,L_safe_compute_base,L_safe_compute_min_window,L_conditional_archived,A_cell,C_cell_safe,C_cell_safe_global,C_cell_conditional,safe_global_max_makespan_reduction,safe_global_max_relative_speed_gain,safe_max_makespan_reduction,safe_max_relative_speed_gain,conditional_max_makespan_reduction,conditional_max_relative_speed_gain,compute_window_dominant,conditional_dominant,extra_ddr_bytes,spill_bytes,selected,solver_wall_seconds,external_E0_wall_seconds,official_curve_point,L_conditional_combined,C_cell_conditional_combined,old_integer_scalar_certified_by_domination,safe_global_dominant,safe_global_max_makespan_cycles_reduction,mean_speedup_gap_contribution_cap
003,1,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,602212,602382,438894,438894,438792,438792,438894,439032,0.9997177870520699,1.372112628561794,1.372112628561794,1.3716813353012993,0.27140253194816577,0.3724999658231829,0.27140253194816577,0.3724999658231829,0.2711734414374931,0.372068550811786,PIPE_M,PIPE_M_rmin_work_qmin,98304,0,bounded,0.3937439169967547,15.523602083005244,1.0,439032,1.3716813353012993,False,PIPE_M,163488,0.0037239484150972404
003,2,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,602212,340580,219498,219498,219396,219396,219498,219636,1.7681954313230372,2.7435876408896664,2.7435876408896664,2.7418638110327995,0.3555170591344178,0.5516314499448742,0.3555170591344178,0.5516314499448742,0.3551118679898996,0.5506565408220874,PIPE_M,PIPE_M_rmin_work_qmin,1711302,0,heavy-or-sink,7.574130624998361,2.87257945901365,1.7681954313230372,219636,2.7418638110327995,False,PIPE_M,121082,0.009753922095666293
003,3,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,602212,225604,146366,146366,146264,146264,146366,146504,2.6693321040407083,4.114425481327631,4.114425481327631,4.110549882597062,0.35122604209145225,0.5413688971482449,0.35122604209145225,0.5413688971482449,0.35061435080938286,0.5399169988532737,PIPE_M,PIPE_M_rmin_work_qmin,2525292,0,heavy-or-sink,9.081176665989915,2.642867666989332,2.6693321040407083,146504,4.110549882597062,False,PIPE_M,79238,0.014450933772869226
003,4,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,602212,206064,109800,109800,109698,109698,109800,109938,2.92245127727308,5.484626593806921,5.484626593806921,5.477742000036384,0.4671558350803634,0.8767213114754098,0.4671558350803634,0.8767213114754098,0.4664861402282786,0.8743655514926596,PIPE_M,PIPE_M_rmin_work_qmin,3264914,0,heavy-or-sink,9.211889583006268,2.1685346670274157,2.92245127727308,109938,5.477742000036384,False,PIPE_M,96264,0.025621753165338414
003,5,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,602212,165184,87861,87861,87759,87759,87861,87999,3.6457041844246416,6.854144614789269,6.854144614789269,6.843395947681223,0.46810223750484303,0.8800605501872276,0.46810223750484303,0.8800605501872276,0.4672668055017435,0.8771122399118172,PIPE_M,PIPE_M_rmin_work_qmin,4026936,0,overload,8.90661616701982,2.472185625025304,3.6457041844246416,87999,6.843395947681223,False,PIPE_M,77323,0.03208440430364627
004,1,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,392357,392357,385644,385644,385614,385614,385644,386311,1.0,1.017407246061134,1.017407246061134,1.0156506027527044,0.017109418208417382,0.017407246061134085,0.017109418208417382,0.017407246061134085,0.015409435794442317,0.015650602752704357,PIPE_M,PIPE_M_rmin_work_qmin,0,0,bounded,0.14890595900942571,0.2706264170119539,1.0,386311,1.0156506027527044,False,PIPE_M,6713,0.00017407246061134084
004,2,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,392357,199074,192837,192837,192807,192807,192837,193504,1.9709103147573264,2.0346562122414267,2.0346562122414267,2.027642839424508,0.03133005816932399,0.03234337808615573,0.03133005816932399,0.03234337808615573,0.02797954529471458,0.028784934678352858,PIPE_M,PIPE_M_rmin_work_qmin,110592,0,bounded,0.4019887500035111,0.15146904200082645,1.9709103147573264,193504,2.027642839424508,False,PIPE_M,6237,0.0006374589748410031
004,3,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,392357,134043,128568,128568,128538,128538,128568,129235,2.927098020784375,3.051746935473835,3.051746935473835,3.0359964405927187,0.04084510194489832,0.042584468919171226,0.04084510194489832,0.042584468919171226,0.03586908678558376,0.037203543931597416,PIPE_M,PIPE_M_rmin_work_qmin,221184,0,bounded,0.3941963340039365,0.15111612499458715,2.927098020784375,129235,3.0359964405927187,False,PIPE_M,5475,0.0012464891468945982
004,4,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,392357,104188,96434,96434,96404,96404,96434,97101,3.765855952700887,4.068658357011013,4.068658357011013,4.040710188360573,0.07442315813721345,0.08040732521724703,0.07442315813721345,0.08040732521724703,0.06802126924405882,0.07298586008383023,PIPE_M,PIPE_M_rmin_work_qmin,331776,0,bounded,0.399784292007098,0.15156087497598492,3.765855952700887,97101,4.040710188360573,False,PIPE_M,7754,0.0030280240431012607
004,5,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,392357,88341,77153,77153,77123,77123,77153,77820,4.441391879195391,5.08544061799282,5.08544061799282,5.041852994088923,0.12664561189028878,0.14501056342592,0.12664561189028878,0.14501056342592,0.1190953238020851,0.13519660755589813,PIPE_M,PIPE_M_rmin_work_qmin,442368,0,bounded,0.3979171669925563,0.14843724999809638,4.441391879195391,77820,5.041852994088923,False,PIPE_M,11188,0.0064404873879742915
