case_id,cores,B,U,L_safe_global,safe_global_max_makespan_reduction,safe_global_max_relative_speed_gain,safe_global_dominant,spill_bytes,mean_speedup_gap_contribution_cap,category,rank
015,4,177362,53474,25375,0.5254703220256574,1.107349753694581,PIPE_V,32768,0.036728460002015614,largest_mean_cap_contribution,5
036,5,931510,187182,186392,0.004220491286555328,0.00423837932958504,PIPE_M,0,0.00021092267041177058,closest,1
021,5,6567937,1250168,1239216,0.008760422599202622,0.008837845863836513,PIPE_M,2011136,0.0004643089156768454,closest,2
030,5,2808034,561102,555614,0.009780752875591214,0.009877360901633159,PIPE_M,4015104,0.0004943123575046293,closest,3
020,5,532746,107650,106522,0.010478402229447292,0.01058936182197101,PIPE_V,0,0.0005240538925413673,closest,4
041,5,6003957,1196379,1179289,0.0142847709630477,0.014491782760629457,PIPE_M,22609920,0.0007272615161931207,closest,5
044,5,154407,64624,14925,0.769048650656103,3.3299162479061977,PIPE_M,0,0.07956214070476174,widest,1
069,5,25144,14135,3770,0.7332861690838344,2.749336870026525,PIPE_V,0,0.04890649187120407,widest,2
071,5,18919,10760,3033,0.7181226765799256,2.5476425980877018,PIPE_V,0,0.04479447055132085,widest,3
064,5,19116,13028,3699,0.7160730733804115,2.5220329818869964,PIPE_V,0,0.03700582014257893,widest,4
005,5,95618,42487,12976,0.6945889330854144,2.274275585696671,PIPE_M,0,0.05118311082287388,widest,5
044,5,154407,64624,14925,0.769048650656103,3.3299162479061977,PIPE_M,0,0.07956214070476174,largest_mean_cap_contribution,1
005,5,95618,42487,12976,0.6945889330854144,2.274275585696671,PIPE_M,0,0.05118311082287388,largest_mean_cap_contribution,2
086,5,118403,48800,16152,0.669016393442623,2.0212976721149083,PIPE_V,0,0.04904256317037326,largest_mean_cap_contribution,3
008,5,487605,100603,50026,0.5027384869238491,1.0110142725782594,PIPE_M,0,0.049002078902271505,largest_mean_cap_contribution,4
069,5,25144,14135,3770,0.7332861690838344,2.749336870026525,PIPE_V,0,0.04890649187120407,largest_mean_cap_contribution,5
