case,cores,baseline_cycles,lower_bound_cycles,makespan_cycles,speedup,speedup_ceiling,possible_speedup_gain,possible_mean_gain_contribution,possible_relative_makespan_reduction_pct,relative_suboptimality_upper_bound_pct,certified_within_5pct,graph_sha256
022,1,56780,54087,54123,1.0490918833028473,1.0497901529018063,0.0006982695989590226,6.982695989590226e-06,0.06651515991352719,0.06655943202618086,True,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,2,56780,27044,27951,2.0314121140567423,2.09954148794557,0.06812937388882778,0.0006812937388882778,3.244964401989192,3.35379381748262,True,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,3,56780,18029,19220,2.9542143600416235,3.149370458705419,0.19515609866379569,0.0019515609866379569,6.196670135275751,6.606023628598368,False,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,4,56780,13522,15012,3.782307487343459,4.19908297589114,0.4167754885476813,0.0041677548854768135,9.925393018918193,11.01908001774885,False,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,5,56780,10818,12863,4.414211303739408,5.24865964133851,0.8344483375991025,0.008344483375991025,15.898312990748664,18.903679053429467,False,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
023,1,122614,69558,78981,1.55244932325496,1.762759136260387,0.21030981300542684,0.0021030981300542684,11.930717514338895,13.546967997929782,False,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,2,122614,34779,38173,3.2120608807272157,3.525518272520774,0.31345739179355814,0.0031345739179355816,8.891101040002091,9.758762471606431,False,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,3,122614,23186,27272,4.4959665591082425,5.288277408781161,0.7923108496729183,0.007923108496729184,14.982399530654156,17.622703355473135,False,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,4,122614,17390,24256,5.0549967018469655,7.05083381253594,1.9958371106889743,0.019958371106889743,28.306398416886548,39.48246118458884,False,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,5,122614,13912,19530,6.278238607270866,8.813542265669925,2.5353036583990596,0.025353036583990594,28.766001024065535,40.38240368027601,False,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
024,1,2555343,2554795,2555343,1.0,1.000214498619263,0.00021449861926292613,2.1449861926292613e-06,0.021445261947217187,0.021449861926292613,True,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
