case,cores,status,base_selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops,oversized_tasks_processed,oversized_task_splits,indivisible_oversize_count
031,4,ok,component-pack,400883,0.12579058299888857,4.026939667004626,9826640,7641600,2718720,1414369,1373307,3.5281341438773905,3.4257052556481566,nikolastarx-20260924T1439Z-boundedfull4-99-P1-031-k4-r0,20260924T1439Z-boundedfull4-99,False,6135,107,2147,4,enough independent components or one core,,,0,0,0
032,4,ok,component-pack,14274,0.04095254099229351,0.12383933298406191,305448,12360,0,41443,42166,2.9033907804399606,2.9540423146980523,nikolastarx-20260924T1439Z-boundedfull4-99-P1-032-k4-r0,20260924T1439Z-boundedfull4-99,False,827,25,189,4,enough independent components or one core,,,0,0,0
033,4,ok,component-pack,461829,0.07518200000049546,1.7083582920022309,10150734,7177824,1953792,1774196,1493259,3.8416730001797204,3.233359100446269,nikolastarx-20260924T1439Z-boundedfull4-99-P1-033-k4-r0,20260924T1439Z-boundedfull4-99,False,3465,95,64,4,enough independent components or one core,,,0,0,0
034,4,ok,component-pack,211980,0.07728162498096935,1.8041787080001086,5396930,3116544,57344,842996,842370,3.976771393527691,3.9738182847438437,nikolastarx-20260924T1439Z-boundedfull4-99-P1-034-k4-r0,20260924T1439Z-boundedfull4-99,False,3745,155,94,4,enough independent components or one core,,,0,0,0
035,4,ok,component-pack,95442,0.07557537499815226,0.942188500019256,415462,4608,0,169571,185073,1.7766916032773832,1.939114855095241,nikolastarx-20260924T1439Z-boundedfull4-99-P1-035-k4-r0,20260924T1439Z-boundedfull4-99,False,3857,16,2430,4,enough independent components or one core,,,0,0,0
036,4,ok,component-pack,233584,0.07769654100411572,0.39870237500872463,6558208,3456,0,931510,1011715,3.987901568600589,4.331268408795123,nikolastarx-20260924T1439Z-boundedfull4-99-P1-036-k4-r0,20260924T1439Z-boundedfull4-99,False,2400,800,3,4,enough independent components or one core,,,0,0,0
037,4,ok,component-pack,53320,0.039802541985409334,0.12923454100382514,1228800,614400,0,210001,240609,3.938503375843961,4.5125468867216805,nikolastarx-20260924T1439Z-boundedfull4-99-P1-037-k4-r0,20260924T1439Z-boundedfull4-99,False,780,20,39,4,enough independent components or one core,,,0,0,0
038,4,ok,component-pack,345206,0.12372570901061408,5.50253724999493,12098822,9295872,2781696,1364555,1085379,3.9528716186856543,3.1441487112043243,nikolastarx-20260924T1439Z-boundedfull4-99-P1-038-k4-r0,20260924T1439Z-boundedfull4-99,False,5907,130,116,4,enough independent components or one core,,,0,0,0
039,4,ok,component-pack,395323,0.1281240840035025,4.185909749998245,22093824,17604608,4997120,1435262,1393064,3.6306058590064327,3.5238627653842554,nikolastarx-20260924T1439Z-boundedfull4-99-P1-039-k4-r0,20260924T1439Z-boundedfull4-99,False,5250,70,75,4,enough independent components or one core,,,0,0,0
040,4,ok,component-pack,110202,0.07082404100219719,0.7207701670122333,964998,53760,0,253454,278611,2.2999038129979494,2.528184606449974,nikolastarx-20260924T1439Z-boundedfull4-99-P1-040-k4-r0,20260924T1439Z-boundedfull4-99,False,3083,28,2194,4,enough independent components or one core,,,0,0,0
041,4,ok,component-pack,1493783,0.3464745410019532,26.655014291987754,44176348,39226368,15461376,6003957,3681021,4.019296644827261,2.4642274011687104,nikolastarx-20260924T1439Z-boundedfull4-99-P1-041-k4-r0,20260924T1439Z-boundedfull4-99,False,16594,494,182,12,enough independent components or one core,,,2,2,0
042,4,ok,component-pack,446658,0.12623058300232515,2.9061518749804236,11233540,8844576,2841600,1686740,1120543,3.77635685468524,2.5087270350021718,nikolastarx-20260924T1439Z-boundedfull4-99-P1-042-k4-r0,20260924T1439Z-boundedfull4-99,False,4733,104,258,4,enough independent components or one core,,,0,0,0
043,4,ok,component-pack,269194,0.1834459160163533,5.997220874996856,2079322,648200,49160,677656,726247,2.517351798331315,2.6978573073694063,nikolastarx-20260924T1439Z-boundedfull4-99-P1-043-k4-r0,20260924T1439Z-boundedfull4-99,False,9309,38,4910,4,enough independent components or one core,,,1,0,1
044,4,ok,component-pack,124268,0.07505979199777357,0.17879095900570974,6654080,5678624,2887424,154407,131407,1.2425322689670713,1.05744841793543,nikolastarx-20260924T1439Z-boundedfull4-99-P1-044-k4-r0,20260924T1439Z-boundedfull4-99,False,1364,11,124,4,enough independent components or one core,,,0,0,0
045,4,ok,component-pack,31878,0.07575325001380406,0.18805337499361485,557056,0,0,125614,204380,3.940460505677897,6.411318150448586,nikolastarx-20260924T1439Z-boundedfull4-99-P1-045-k4-r0,20260924T1439Z-boundedfull4-99,False,1651,68,28,4,enough independent components or one core,,,0,0,0
046,4,ok,component-pack,124612,0.040011667006183416,0.13171804198645987,5575424,4513952,1722752,276455,249868,2.218526305652746,2.00516804160113,nikolastarx-20260924T1439Z-boundedfull4-99-P1-046-k4-r0,20260924T1439Z-boundedfull4-99,False,992,8,124,4,enough independent components or one core,,,0,0,0
