case_id,cores,graph_sha256,current_solver_commit,current_plan_sha256,baseline_B,published_global_lower_L,current_official_M3_U,current_B_over_U,relaxed_B_over_L,max_cycle_reduction_U_minus_L,max_fraction_of_U_reduction,certified_ratio_if_L_valid,max_mean_speedup_contribution,old_bound_baseline_sha,current_feed_baseline_sha
005,2,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,70b5936498ced40c106fe371a351c460b81db400dda230efc998221e5a2f9157,95618,31941,39844,2.399809256098785,2.9935819166588398,7903,0.19834855938158824,1.247424939732632,0.005937726605600546,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
005,3,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,32604643fce0c41085c8a70a7a854de819e8e903bc06735fc3bdb671e72aa373,95618,21294,30855,3.0989466861124617,4.490372874988259,9561,0.30986874088478367,1.4489997182304875,0.013914261888757978,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
005,4,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,1ce45468ee6c58a0b0325df16cb1c8079bfd867613e2efef308596beb94b4c48,95618,15971,28981,3.2993340464442222,5.9869763947154215,13010,0.44891480625237223,1.8146014651555946,0.026876423482711992,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
005,5,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,271a969809500146111039bc4f327abe2a78f298177e99cbc9a9ecc637bb8eb6,95618,12777,30642,3.1204882187846747,7.483603349769116,17865,0.5830233013510868,2.398215543554825,0.043631151309844414,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
006,1,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,a4482c2cb7df1ff33c42f646511a71f8cd1c4ece4fb1e79f6039d7cff204a1af,82837,69000,69415,1.1933587841244688,1.200536231884058,415,0.005978534898797072,1.0060144927536232,7.177447759589173e-05,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,2,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,314a4a021d1f3b0ced8d780875abaff4f72672f5be4145f5f608d8674fcd5dfc,82837,34500,37307,2.220414399442464,2.401072463768116,2807,0.07524057147452223,1.0813623188405797,0.0018065806432565213,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,3,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,6ace3bfebe7d64f4ff8369e3389aa887fd6d22e18b0cb95e91704e2fb983a536,82837,23000,27285,3.035990470954737,3.601608695652174,4285,0.1570459959684809,1.1863043478260868,0.005656182246974368,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,4,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,cff8285b67bce02a258f64de60de294c507e6507fc75f7ecb79b21d7fc060798,82837,17250,24049,3.444509127198636,4.802144927536232,6799,0.28271445798162087,1.3941449275362319,0.01357635800337596,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
006,5,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,1edc21eea791cd6a9f4cbf406da15bf3b582f22ca5980bc9b2c2cb3fccbf1dec,82837,13800,21118,3.9225778956340562,6.00268115942029,7318,0.3465290273700161,1.5302898550724637,0.02080103263786234,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
007,1,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,89971b78ef1fd4cc6d0055e312fa762a47a73c13c559b78a02db5b08ff638375,1012562,979020,979262,1.0340051998341608,1.0342607914036486,242,0.0002471248756716893,1.0002471859614717,2.5559156948773423e-06,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b
007,2,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,a798d625b472ece4af73b88c924f00e707af0cd0bd4da0131bb53ca32d19e76f,1012562,489510,490466,2.0644896893974303,2.068521582807297,956,0.0019491667108423316,1.0019529733815449,4.031893409866871e-05,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b
007,3,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,704d7fedb299e3ec2388eb8ceb319a7bb52056d21003abd1a03a877a8804d3ec,1012562,326340,326994,3.096576695596861,3.1027823742109457,654,0.002000036697921037,1.0020040448611878,6.205678614084497e-05,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b
007,4,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,b459e0f8f2a446df943dab333641807abf55788584d29f13dbf073061c8ad687,1012562,244755,246030,4.115603788155916,4.137043165614594,1275,0.0051822948420924275,1.0052092909235766,0.0002143937745867852,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b
007,5,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,39930cb38954f892db54da9ac9fa86f8084fa3e6bd4fa618d5013dba594cb7ba,1012562,195804,196870,5.14330268705237,5.171303957018242,1066,0.005414740691827125,1.005444219729934,0.0002800126996587249,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b
008,1,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,9a09ed07495acbe2f73c914661fca756b96e31cffaa3c194bcb86a9f14a05511,487605,250128,250437,1.9470166149570551,1.9494218959892535,309,0.001233843242012922,1.0012353674918442,2.405281032198392e-05,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee
008,2,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,e8eca3e27bfd006270404ca5ad96fd790dd8329340926195b0c5aa07016cf631,487605,125064,125682,3.8796725068028834,3.898843791978507,618,0.004917171910058693,1.0049414699673767,0.0001917128517562361,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee
008,3,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,7103c670026f0c68205fbb96908dcd8cb68e3bb8abf81e699977a3a55c746cba,487605,83376,84303,5.783957866268104,5.848265687967761,927,0.010996049962634813,1.0111183074265975,0.000643078216996562,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee
